Uma, ﻿Uma
novidade, novidade
futurística, futurístico
é, ser
a, o
atração, atração
da, de o
Copa, Copa
Hopman, Hopman
de, de
tênis, tênis
,, ,
cuja, cujo
abertura, abertura
estava, estar
programada, programado
para, para
ontem, ontem
em, em
Perth, Perth
(, (
Austrália, Austrália
), )
., .
Pela, pela
primeira, primeira
vez, vez
,, ,
partidas, partida
de, de
tênis, tênis
serão, ser
disputadas, disputar
sem, sem
juiz, juiz
de, de
linha, linha
., .
Todas, todo
as, o
marcações, marcação
serão, ser
realizadas, realizar
por, por
um, um
sistema, sistema
eletrônico, eletrônico
., .
Restam, Restam
apenas, apenas
o, o
juiz, juiz
de, de
cadeira, cadeira
,, ,
o, o
de, de
rede, rede
e, e
o, o
que, que
controla, controlar
o, o
pé, pé
dos, de o
tenistas, tenista
no, em o
saque, saque
., .

, 

O, o
TEL, TEL
(, (
Tennis, Tennis
Electronic, Electronic
Lines, Lines
,, ,
ou, ou
seja, ser
,, ,
linhas, linha
eletrônicas, eletrônico
de, de
tênis, tênis
), )
,, ,
criado, criar
pelo, por o
inventor, inventor
australiano, australiano
Brian, Brian
Williams, Williams
,, ,
seria, ser
cinco, cinco
vezes, vez
mais, mais
preciso, preciso
que, que
o, o
olho, olho
humano, humano
., .
O, o
sistema, sistema
apresentou, apresentar
defeitos, defeito
nos, em o
testes, teste
já, já
realizados, realizar
,, ,
mas, mas
seu, seu
criador, criador
afirmaue, afirmaue
ele, ele
vai, ir
revolucionar, revolucionar
o, o
esporte, esporte
., .

, 

", "
O, o
tênis, tênis
mundial, mundial
estava, estar
à, a o
espera, espera
de, de
um, um
sistema, sistema
semelhante, semelhante
para, para
ser, ser
usado, usar
em, em
grandes, grande
torneios, torneio
", "
,, ,
exultou, exultar
o, o
diretor, diretor
do, de o
torneio, torneio
,, ,
o, o
ex-jogador, ex-jogador
australiano, australiano
Paul, Paul
McNamee, McNamee
., .
", "
Se, se
tudo, tudo
correr, correr
bem, bem
,, ,
poderia, poder
até, até
ser, ser
utilizado, utilizar
em, em
Wimbledon, Wimbledon
., .
Para, para
enfrentar, enfrentar
a, o
concorrência, concorrência
de, de
outros, outro
esportes, esporte
que, que
chegam, chegar
ao, a o
ano, ano
2000, 2000
,, ,
temos, ter
que, que
inovar, inovar
", "
,, ,
acrescentou, acrescentar
., .

, 

O, o
TEL, TEL
se, se
baseia, basear
em, em
sensores, sensor
sob, sob
a, o
quadra, quadra
,, ,
capazes, capaz
de, de
detectar, detectar
o, o
contato, contato
de, de
uma, um
bola, bola
que, que
contenha, contenhir
ferro, ferro
., .
Um, um
som, som
indica, indicar
que, que
a, o
bola, bola
caiu, cair
fora, fora
,, ,
enquanto, enquanto
a, o
informação, informação
é, ser
enviada, enviar
ao, a o
árbitro, árbitro
de, de
cadeira, cadeira
por, por
computador, computador
., .

, 

O, o
sistema, sistema
deveria, dever
ter, ter
sido, ser
usado, usar
no, em o
último, último
Aberto, Aberto
dos, de o
EUA, EUA
,, ,
mas, mas
foi, ser
abandonado, abandonar
no, em o
qualifying, qualifying
porque, porque
os, o
calçados, calçado
dos, de o
jogadores, jogador
enganavam, enganar
os, o
sensores, sensor
., .
No, em o
Aberto, Aberto
da, de o
Austrália, Austrália
,, ,
em, em
janeiro, janeiro
de, de
93, 93
,, ,
fortes, forte
chuvas, chuva
impediram, impedir
a, o
instalação, instalação
do, de o
equipamento, equipamento
., .

, 

Participam, Participam
da, de o
Copa, copa
Hopman, Hopman
duplas, duplas
mistas, mista
de, de
12, 12
países, país
,, ,
em, em
sistema, sistema
semelhante, semelhante
ao, a o
da, de o
Copa, Copa
Davis, Davis
., .
Destacam-se, Destacam-se
Ivan, Ivan
Lendl, Lendl
e, e
Mary, Mary
Joe, Joe
Fernandez, Fernandez
(, (
EUA, EUA
), )
,, ,
Petr, Petr
Korda, Korda
e, e
Jana, Jana
Novotna, Novotna
(, (
República, República
Tcheca, Tcheca
), )
,, ,
Emilio, Emilio
Sanchez, Sanchez
e, e
Conchita, Conchita
Martinez, Martinez
(, (
Espanha, Espanha
), )
,, ,
Andrei, Andrei
Medvedev, Medvedev
e, e
Natalia, Natalia
Medvedeva, Medvedeva
(, (
Ucrânia, Ucrânia
), )
., .
John, John
McEnroe, McEnroe
,, ,
terror, terror
dos, de o
juízes, juíz
do, de o
mundo, mundo
inteiro, inteiro
,, ,
foi, ser
convidado, convidar
para, para
testar, testar
o, o
TEL, TEL
,, ,
mas, mas
,, ,
contundido, contunder
,, ,
cedeu, ceder
o, o
lugar, lugar
a, a
Lendl, Lendl
., .

, 

