Apesar, ﻿Apesar
do, de o
fraco, fraco
rendimento, rendimento
e, e
as, o
críticas, crítica
dos, de o
torcedores, torcedor
,, ,
o, o
técnico, técnico
Eduardo, Eduardo
Amorim, Amorim
e, e
os, o
jogadores, jogador
do, de o
Corinthians, Corinthians
aprovaram, aprovar
o, o
empate, empate
(, (
0, 0
a, a
0, 0
), )
com, com
a, o
Portuguesa, Portuguesa
., .

, 

", "
Estamos, estar
numa, em um
maratona, maratona
de, de
jogos, jogo
e, e
foi, ser
importante, importante
este, este
resultado, resultado
de, de
hoje, hoje
(, (
ontem, ontem
), )
para, para
garantir, garantir
a, o
classificação, classificação
para, para
a, o
segunda, segundo
fase, fase
do, de o
Paulista, Paulista
'', ''
,, ,
disse, dizer
Amorim, Amorim
., .

, 

Com, com
o, o
resultado, resultado
de, de
ontem, ontem
,, ,
o, o
Corinthians, Corinthians
soma, somar
42, 42
pontos, ponto
., .
Matematicamente, matematicamente
,, ,
o, o
time, time
corintiano, corintiano
ainda, ainda
pode, poder
ser, ser
desclassificado, desclassificar
., .

, 

", "
Duvido, Duvido
que, que
mais, mais
de, de
sete, sete
times, time
alcancem, alcancer
os, o
42, 42
pontos, ponto
'', ''
,, ,
afirmou, afirmar
o, o
treinador, treinador
Amorim, Amorim
., .

, 

", "
Agora, agora
vamos, ir
priorizar, priorizar
a, o
Copa, Copa
do, de o
Brasil, Brasil
'', ''
,, ,
disse, dizer
o, o
técnico, técnico
,, ,
se, se
referindo, referir
à, a o
disputa, disputa
no, em o
torneio, torneio
que, que
garante, garantir
ao, a o
campeão, campeão
uma, um
vaga, vaga
na, em o
Taça, Taça
Libertadores, Libertadores
de, de
96, 96
., .

, 

O, o
Corinthians, Corinthians
faz, fazer
na, em o
quarta-feira, quarta-feira
a, o
segunda, segundo
partida, partida
pelas, por o
semifinais, semifinal
da, de o
Copa, copa
do, de o
Brasil, Brasil
,, ,
contra, contra
o, o
Vasco, Vasco
., .
No, em o
primeiro, primeiro
jogo, jogo
venceu, vencer
por, por
1, 1
a, a
0, 0
,, ,
no, em o
Maracanã, maracanã
., .

, 

", "
No, em o
segundo, segundo
tempo, tempo
,, ,
usei, usei
quatro, quatro
volantes, volante
(, (
Ezequiel, Ezequiel
,, ,
Marcelinho, Marcelinho
Souza, Souza
,, ,
Zé, Zé
Elias, Elias
e, e
Bernardo, Bernardo
), )
para, para
fechar, fechar
totalmente, totalmente
o, o
setor, setor
defensivo, defensivo
'', ''
,, ,
afirmou, afirmar
o, o
treinador, treinador
., .

, 

O, o
volante, volante
(, (
meio-campo, meio-campo
com, com
funções, função
defensivas, defensivo
), )
Ezequiel, ezequiel
substituiu, substituir
o, o
meia, meia
Souza, Souza
,, ,
na, em o
etapa, etapa
final, final
da, de o
partida, partida
., .
", "
O, o
importante, importante
era, ser
garantir, garantir
o, o
resultado, resultado
'', ''
., .

, 

Segundo, segundo
Amorim, Amorim
,, ,
`, `
`, `
o, o
regulamento, regulamento
do, de o
Paulista, paulista
é, ser
desfavorável, desfavorável
para, para
que, que
os, o
clubes, clube
possam, poder
fazer, fazer
boas, bom
partidas, partida
'', ''
., .

, 

", "
Temos, ter
jogos, jogo
atrás, atrás
de, de
jogos, jogo
e, e
somos, ser
obrigados, obrigar
a, a
poupar, poupar
jogadores, jogador
e, e
atuar, atuar
apenas, apenas
para, para
prosseguir, prosseguir
no, em o
campeonato, campeonato
'', ''
,, ,
disse, dizer
., .

, 

Amorim, Amorim
disse, dizer
que, que
foi, ser
obrigado, obrigar
a, a
abdicar, abdicar
de, de
seus, seu
métodos, método
ofensivos, ofensivo
no, em o
clássico, clássico
para, para
", "
dar, dar
maior, grande
tranquilidade, tranquilidade
aos, a o
jogadores, jogador
'', ''
., .

, 

", "
Se, se
continuarmos, continuarr
na, em o
Copa, copa
do, de o
Brasil, Brasil
,, ,
posso, poder
utilizar, utilizar
o, o
time, time
misto, mir
nas, em o
últimas, último
partidas, partida
do, de o
Paulista, Paulista
., .

, 

O, o
Corinthians, Corinthians
tem, ter
mais, mais
três, três
jogos, jogo
., .
Enfrenta, Enfrenta
no, em o
próximo, próximo
sábado, sábado
,, ,
no, em o
Pacaembu, Pacaembu
,, ,
o, o
Rio, Rio
Branco, Branco
., .

, 

No, em o
dia, dia
7, 7
de, de
junho, junho
,, ,
também, também
no, em o
Pacaembu, Pacaembu
,, ,
pega, pegar
o, o
Guarani, Guarani
., .
No, em o
sábado, sábado
,, ,
dia, dia
10, 10
,, ,
viaja, viajar
para, para
Araras, Araras
,, ,
onde, onde
enfrenta, enfrentar
o, o
União, União
São, São
João, João
., .

, 

", "
Não, não
podíamos, poder
arriscar, arriscar
e, e
ter, ter
uma, um
derrota, derrota
e, e
partir, partir
para, para
os, o
três, três
jogos, jogo
finais, final
com, com
a, o
obrigação, obrigação
de, de
classificação, classificação
'', ''
,, ,
disse, dizer
Zé, Zé
Elias, Elias
., .

, 

