Os, ﻿Os
jogadores, jogador
do, de o
Palmeiras, Palmeiras
isentaram, isentar
a, a
Parmalat, Parmalat
_, _
patrocinadora, patrocinadora
do, de o
clube, clube
_, _
de, de
qualquer, qualquer
culpa, culpa
no, em o
atraso, atraso
do, de o
pagamento, pagamento
dos, de o
prêmios, prêmio
., .

, 

`, `
`, `
A, o
Parmalat, Parmalat
não, não
é, ser
responsável, responsável
pelo, por o
pagamento, pagamento
dos, de o
bichos, bicho
e, e
nunca, nunca
esteve, estar
em, em
dívida, dívida
conosco, conosco
., .
Pelo, por o
contrário, contrário
:, :
eles, eles
pagam, pagar
em, em
dia, dia
as, o
premiações, premiação
extras, extro
,, ,
em, em
caso, caso
de, de
título, título
,, ,
por, por
exemplo, exemplo
'', ''
,, ,
explicou, explicar
o, o
zagueiro, zagueiro
Antônio, Antônio
Carlos, Carlos
., .

, 

O, o
diretor, diretor
de, de
esportes, esporte
da, de o
Parmalat, Parmalat
,, ,
José, José
Carlos, Carlos
Brunoro, Brunoro
,, ,
viajou, viajar
ontem, ontem
para, para
o, o
Rio, Rio
Grande, Grande
do, de o
Sul, Sul
e, e
não, não
foi, ser
encontrado, encontrar
pela, por o
Folha, Folha
., .

, 

Ele, ele
trabalhará, trabalhar
até, até
o, o
próximo, próximo
dia, dia
15, 15
no, em o
Juventude, Juventude
_, _
outro, outro
clube, clube
patrocinado, patrocinar
pela, por o
Parmalat, Parmalat
., .

, 

O, o
contrato, contrato
entre, entre
Palmeiras, Palmeiras
e, e
Parmalat, Parmalat
venceu, vencer
no, em o
mês, mês
passado, passado
e, e
ainda, ainda
não, não
está, estar
renovado, renovado
., .
Ele, ele
foi, ser
prolongado, prolongar
automaticamente, automaticamente
até, até
o, o
final, final
do, de o
Paulista, paulista
e, e
da, de o
Libertadores, Libertadores
,, ,
em, em
julho, julho
., .

, 

Recentemente, recentemente
a, o
empresa, empresa
decidiu, decidir
não, não
renovar, renovar
o, o
patrocínio, patrocínio
aos, a o
esportes, esporte
amadores, amador
do, de o
clube, clube
., .

, 

O, o
ex-coordenador, ex-coordenador
de, de
futebol, futebol
do, de o
Palmeiras, Palmeiras
(, (
cargo, cargo
vinculado, vincular
à, a o
Parmalat, Parmalat
), )
,, ,
Edvar, Edvar
Simões, Simões
,, ,
deixou, deixar
o, o
clube, clube
na, em o
terça-feira, terça-feira
passada, passado
,, ,
aceitando, aceitar
oferta, oferta
do, de o
XV, XV
de, de
Piracicaba, Piracicaba
., .

, 

O, o
Palmeiras, Palmeiras
volta, voltar
a, a
jogar, jogar
pelo, por o
Paulista, Paulista
amanhã, amanhã
,, ,
contra, contra
o, o
Novorizontino, Novorizontino
,, ,
em, em
Novo, Novo
Horizonte, Horizonte
., .

, 

Pela, por o
Libertadores, Libertadores
,, ,
a, o
equipe, equipe
faz, fazer
sua, seu
primeira, primeiro
partida, partida
pelas, por o
quartas-de-final, quarta-de-final
,, ,
contra, contra
o, o
Grêmio, Grêmio
,, ,
no, em o
dia, dia
26, 26
de, de
julho, julho
., .

, 

(, (
AR, AR
), )

, 

