Depois, ﻿Depois
de, de
se, se
tornar, tornar
a, o
brasileira, brasileira
que, que
obteve, obter
a, o
melhor, bom
colocação, colocação
da, de o
história, história
do, de o
país, país
num, em um
Mundial, Mundial
de, de
mountain, Mountain
bike, bike
_, _
quarto, quarto
lugar, lugar
na, em o
categoria, categoria
júnior, júnior
em, em
1994, 1994
_, _
,, ,
Adriana, Adriana
dos, de o
Santos, Santos
Nascimento, Nascimento
,, ,
19, 19
,, ,
quer, querer
chegar, chegar
à, a o
Olimpíada, olimpíada
., .

, 

Nascida, Nascida
em, em
Campos, Campos
do, de o
Jordão, Jordão
,, ,
cidade, cidade
montanhosa, montanhoso
a, a
175, 175
km, km
a, a
nordeste, nordeste
de, de
São, São
Paulo, Paulo
,, ,
Adriana, Adriana
reconhece, reconhecer
que, que
uma, um
medalha, medalha
olímpica, olímpico
`, `
`, `
é, ser
quase, quase
impossível, impossível
'', ''
., .

, 

`, `
`, `
Meu, meu
objetivo, objetivo
mesmo, mesmo
é, ser
lutar, lutar
por, por
uma, um
vaga, vaga
em, em
Atlanta, Atlanta
'', ''
,, ,
contou, contar
., .

, 

Folha, Folha
-, -
Como, como
você, você
se, se
prepara, preparar
para, para
chegar, chegar
à, a o
Olimpíada, olimpíada
?, ?

, 

Adriana, Adriana
dos, de o
Santos, Santos
Nascimento, Nascimento
-, -
Pedalo, Pedalo
diariamente, diariamente
de, de
três, três
a, a
quatro, quatro
horas, hora
,, ,
em, em
trilhas, trilha
e, e
no, em o
asfalto, asfalto
., .

, 

Também, também
faço, fazer
corrida, corrida
,, ,
musculação, musculação
e, e
,, ,
uma, um
vez, vez
por, por
semana, semana
,, ,
natação, natação
., .

, 

Folha, Folha
-, -
E, e
as, o
competições, competição
?, ?

, 

Adriana, Adriana
-, -
Este, este
ano, ano
,, ,
antes, antes
do, de o
Mundial, Mundial
,, ,
quero, querer
participar, participar
de, de
torneios, torneio
fora, fora
do, de o
Brasil, Brasil
para, para
pegar, pegar
mais, mais
ritmo, ritmo
de, de
competição, competição
., .

, 

Folha, Folha
-, -
Você, Você
chegou, chegar
em, em
quarto, quarto
lugar, lugar
no, em o
Mundial-94, Mundial-94
na, em o
categoria, categoria
júnior, júnior
(, (
até, até
18, 18
anos, ano
), )
., .
Agora, agora
,, ,
você, você
é, ser
sênior, sênior
., .
O, o
que, que
isso, isso
muda, mudar
?, ?

, 

Adriana, Adriana
-, -
É, ser
bom, bom
,, ,
pois, pois
me, eu
dá, dar
a, o
oportunidade, oportunidade
de, de
lutar, lutar
por, por
uma, um
vaga, vaga
na, em o
Olimpíada, olimpíada
., .
Mas, mas
,, ,
como, como
júnior, júnior
,, ,
eu, eu
teria, ter
mais, mais
chances, chance
de, de
conseguir, conseguir
uma, um
medalha, medalha
em, em
Atlanta, Atlanta
., .
Agora, agora
,, ,
já, já
era, ser
., .
Quero, querer
é, ser
lutar, lutar
pela, por o
vaga, vaga
., .

, 

(, (
MT, MT
), )

, 

