A, ﻿A
falta, faltar
de, de
entrosamento, entrosamento
é, ser
o, o
maior, grande
problema, problema
da, de o
nova, novo
equipe, equipe
do, de o
Corinthians, Corinthians
na, em o
estréia, estréia
do, de o
Campeonato, Campeonato
Paulista, Paulista
,, ,
contra, contra
a, o
Portuguesa, Portuguesa
,, ,
às, a o
16h, 16h
., .
Como, como
o, o
adversário, adversário
,, ,
a, o
equipe, equipe
voltou, voltar
das, de o
férias, férias
há, haver
menos, menos
de, de
15, 15
dias, dia
., .
O, o
problema, problema
é, ser
o, o
número, número
de, de
jogadores, jogador
que, que
chegaram, chegar
,, ,
voltaram, voltar
ou, ou
saíram, sair
desde, desde
o, o
fim, fim
do, de o
Campeonato, Campeonato
Brasileiro, Brasileiro
,, ,
no, em o
meio, meio
de, de
dezembro, dezembro
., .
Além, além
disso, de isso
,, ,
é, ser
possível, possível
que, que
Casagrande, Casagrande
não, não
jogue, jogar
,, ,
devido, devido
a, a
uma, um
contusão, contusão
., .

, 

Em, em
relação, relação
à, a o
equipe, equipe
que, que
disputou, disputar
o, o
Campeonato, Campeonato
Brasileiro, Brasileiro
,, ,
saíram, sair
13, 13
jogadores, jogador
., .
Cinco, cinco
estavam, estar
emprestados, emprestar
e, e
foram, ser
devolvidos, devolvir
:, :
Rivaldo, Rivaldo
e, e
Leto, Leto
(, (
Mogi, Mogi
Mirim, Mirim
), )
,, ,
Simão, Simão
e, e
Norton, Norton
(, (
Internacional, Internacional
), )
e, e
Mabília, Mabília
(, (
Grêmio, Grêmio
), )
., .
Dois, dois
não, não
renovaram, renovar
o, o
aluguel, aluguel
de, de
seus, seu
passes, passe
:, :
Luís, Luís
Carlos, Carlos
Winck, Winck
e, e
Hugo, Hugo
., .
Sete, sete
foram, ser
emprestados, emprestar
ou, ou
vendidos, vender
:, :
Válber, Válber
(, (
Yokohama, Yokohama
Flugels, Flugels
), )
,, ,
Marcelo, Marcelo
(, (
Lyon, Lyon
), )
,, ,
Vladimir, Vladimir
,, ,
Ergos, Ergos
e, e
Baré, Baré
(, (
Comercial, Comercial
), )
,, ,
Admílson, Admílson
(, (
Inter-RS, Inter-RS
), )
e, e
Felício, Felício
(, (
Santo, Santo
André, André
), )
., .

, 

Em, em
contrapartida, contrapartida
,, ,
foram, ser
contratados, contratar
Moacir, Moacir
,, ,
Marcelinho, Marcelinho
Carioca, Carioca
,, ,
Casagrande, Casagrande
,, ,
Gralak, Gralak
,, ,
Valdo, Valdo
,, ,
Daniel, Daniel
e, e
Wilson, Wilson
Mano, Mano
e, e
voltaram, voltar
Adil, Adil
,, ,
Fabinho, Fabinho
e, e
Biro-Biro, Biro-Biro
., .
Dos, de o
juniores, juniores
,, ,
Fabinho, Fabinho
e, e
Marques, Marques
já, já
foram, ser
promovidos, promovir
., .
As, o
contratações, contratação
custaram, custar
cerca, cerca
de, de
US$, US$
3, 3
milhões, milhão
,, ,
uma, um
das, de o
maiores, grande
quantias, quantia
gastas, gastas
por, por
um, um
clube, clube
paulista, paulista
nesta, em este
temporada, temporada
., .

, 

O, o
técnico, técnico
Afrânio, Afrânio
Riul, Riul
,, ,
contratado, contratar
no, em o
dia, dia
10, 10
,, ,
ainda, ainda
não, não
conseguiu, conseguir
implantar, implantar
totalmente, totalmente
seu, seu
esquema, esquema
ofensivo, ofensivo
numa, em um
equipe, equipe
treinada, treinar
em, em
1993, 1993
por, por
Nelsinho, Nelsinho
e, e
depois, depois
Mário, Mário
Sérgio, Sérgio
,, ,
que, que
se, se
destacaram, destacar
por, por
marcação, marcação
forte, forte
e, e
esquema, esquema
tático, tático
detalhado, detalhar
., .
", "
Só, só
com, com
os, o
jogos, jogo
é, ser
que, que
iremos, ir
chegar, chegar
a, a
uma, um
melhor, bom
condição, condição
", "
,, ,
disse, dizer
Riul, Riul
após, após
o, o
coletivo, coletivo
de, de
sexta-feira, sexta-feira
à, a o
tarde, tarde
,, ,
que, que
terminou, terminar
1, 1
x, x
1, 1
., .

, 

Para, para
manter, manter
na, em o
equipe, equipe
os, o
11, 11
melhores, bom
na, em o
sua, seu
opinião, opinião
,, ,
Riul, riul
vai, ir
fazer, fazer
a, o
experiência, experiência
de, de
pôr, pôr
Zé, Zé
Elias, Elias
como, como
misto, misto
de, de
volante, volante
e, e
meia, meia
,, ,
com, com
a, o
camisa, camisa
11, 11
., .
", "
Ele, ele
tem, ter
muita, muito
força, força
e, e
muita, muito
vontade, vontade
., .
Tenho, ter
que, que
aproveitar, aproveitar
isso, isso
", "
,, ,
disse, dizer
., .
O, o
técnico, técnico
quer, querer
que, que
Zé, Zé
Elias, Elias
atue, atuar
como, como
falso, falso
ponta, ponta
e, e
apareça, apareçar
na, em o
entrada, entrada
da, de o
área, área
para, para
finalizar, finalizar
a, a
gol, gol
., .

, 

O, o
jogador, jogador
com, com
maior, grande
liberdade, liberdade
em, em
campo, campo
será, ser
Marcelinho, Marcelinho
., .
Riul, Riul
quer, querer
aproveitar, aproveitar
sua, seu
mobilidade, mobilidade
e, e
transformá-lo, transformar ele
no, em o
", "
motor, motor
", "
do, de o
ataque, ataque
corintiano, corintiano
,, ,
como, como
no, em o
tempo, tempo
de, de
Flamengo, Flamengo
., .
Além, além
disso, de isso
,, ,
Marcelinho, Marcelinho
é, ser
o, o
encarregado, encarregado
de, de
cobrar, cobrar
faltas, falta
e, e
escanteios, escanteio
., .

, 

Outra, outro
surpresa, surpresa
prometida, prometer
pelo, por o
técnico, técnico
é, ser
fazer, fazer
os, o
laterais, lateral
Leandro, Leandro
Silva, Silva
e, e
Elias, Elias
,, ,
de, de
características, característica
defensivas, defensivo
,, ,
apoiarem, apoiar
mais, mais
o, o
ataque, ataque
., .
Ele, ele
não, não
diz, dizer
abertamente, abertamente
,, ,
mas, mas
espera, esperar
que, que
os, o
recém-contratados, recém-contratado
Valdo, Valdo
e, e
Daniel, Daniel
,, ,
mais, mais
ofensivos, ofensivo
,, ,
se, se
entrosem, entrosem
rápido, rápido
para, para
reforçar, reforçar
a, o
equipe, equipe
., .

, 

Na, em o
frente, frente
,, ,
Casagrande, Casagrande
,, ,
que, que
sentiu, sentir
dores, dor
no, em o
tendão, tendão
de, de
um, um
músculo, músculo
da, de o
coxa, coxa
direita, direito
na, em o
quinta-feira, quinta-feira
à, a o
tarde, tarde
,, ,
deve, dever
ficar, ficar
de, de
fora, fora
,, ,
dando, dar
lugar, lugar
a, a
Tupãzinho, Tupãzinho
., .
Na, em o
sexta-feira, sexta-feira
à, a o
noite, noite
,, ,
o, o
médico, médico
Joaquim, Joaquim
Grava, Grava
disse, dizer
que, que
o, o
jogador, jogador
tinha, ter
5, 5
%, %
de, de
chances, chance
de, de
jogar, jogar
., .
Sua, seu
esperança, Esperança
se, se
baseava, basear
apenas, apenas
na, em o
", "
enorme, enorme
capacidade, capacidade
de, de
recuperação, recuperação
