Meus, ﻿Meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
mal, mal
refeito, refeito
do, de o
massacre, massacre
do, de o
domingo, domingo
no, em o
Crepúsculo, Crepúsculo
de, de
Cubatão, Cubatão
,, ,
o, o
Corinthians, Corinthians
joga, jogar
todas, todo
as, o
suas, seu
fichas, ficha
amanhã, amanhã
contra, contra
o, o
Paraná, Paraná
Clube, Clube
para, para
continuar, continuar
na, em o
Copa, Copa
Brasil, Brasil
., .

, 

Trata-se, tratar se
de, de
uma, um
semana, semana
difícil, difícil
para, para
o, o
alvinegro, alvinegro
que, que
está, estar
naquela, em aquele
base, base
do, de o
chove-não-molha, chove-não-molha
e, e
pega, pegar
o, o
São, São
Paulo, Paulo
,, ,
navegando, navegar
com, com
o, o
vento, vento
a, a
favor, favor
,, ,
no, em o
domingo, domingo
,, ,
pelo, por o
Campeonato, Campeonato
Paulista, Paulista
., .

, 

É, ser
difícil, difícil
entender, entender
o, o
que, que
se, se
passa, passar
pelos, por o
lados, lado
do, de o
Parque, Parque
São, São
Jorge, Jorge
., .
O, o
elenco, elenco
deve, dever
ser, ser
o, o
melhor, bom
desde, desde
a, o
geração, geração
Sócrates-Palhinha-Casagrande-Zenon, Sócrates-Palhinha-Casagrande-Zenon
., .

, 

Mas, mas
,, ,
enquanto, enquanto
aqueles, aquele
ganhavam, ganhar
tudo, tudo
,, ,
o, o
atual, atual
repertório, repertório
de, de
grande, grande
jogadores, jogador
do, de o
Corinthians, Corinthians
faz, fazer
uma, um
campanha, campanha
cicatrizada, cicatrizar
pelas, por o
incertezas, incerteza
., .

, 

A, o
primeira, primeiro
explicação, explicação
é, ser
que, que
o, o
excesso, excesso
de, de
cartões, cartão
(, (
vermelhos, vermelho
e, e
amarelos, amarelo
,, ,
a, o
palheta, palheta
é, ser
completa, completo
), )
tem, ter
atrapalhado, atrapalhar
a, o
continuidade, continuidade
da, de o
equipe, equipe
em, em
campo, campo
,, ,
e, e
,, ,
portanto, portanto
,, ,
prejudicado, prejudicar
o, o
conjunto, conjunto
do, de o
time, time
., .

, 

Em, em
parte, parte
,, ,
isto, isto
é, ser
verdade, verdade
., .
Mas, mas
só, só
em, em
parte, parte
., .
Falta, faltar
também, também
,, ,
ao, a o
Corinthians, Corinthians
,, ,
um, um
melhor, bom
posicionamento, posicionamento
em, em
campo, campo
,, ,
e, e
isto, isto
é, ser
responsabilidade, responsabilidade
do, de o
treinador, treinador
., .

, 

Mesmo, mesmo
quando, quando
dispõe, dispor
do, de o
elenco, elenco
completo, completo
,, ,
Eduardo, Eduardo
Amorim, Amorim
,, ,
às, a o
vezes, vez
,, ,
arma, armar
formações, formação
inadequadas, inadequado
., .
Insistir, Insistir
em, em
três, três
volantes, volante
neste, em este
time, time
,, ,
por, por
exemplo, exemplo
,, ,
tem, ter
sido, ser
um, um
erro, erro
frequente, frequente
., .

, 

Insisto, insisto
que, que
o, o
esquema, esquema
de, de
três, três
volantes, volante
é, ser
um, um
dos, de o
mais, mais
difíceis, difícil
no, em o
futebol, futebol
., .
Ou, ou
há, haver
um, um
profundo, profundo
entrosamento, entrosamento
,, ,
ou, ou
fica, ficar
uma, um
redundância, redundância
de, de
desarmadores, desarmador
tentando, tentar
suprir, suprir
a, o
carência, carência
de, de
armadores, armador
., .

, 

Acho, achar
que, que
o, o
Bernardo, Bernardo
não, não
se, se
encontrou, encontrar
até, até
agora, agora
., .
Bernardo, Bernardo
mais, mais
Ezequiel, Ezequiel
é, ser
limitar, limitar
demais, demais
as, o
alternativas, alternativa
de, de
jogo, jogo
., .
Bernardo, Bernardo
,, ,
Ezequiel, Ezequiel
e, e
Marcelo, Marcelo
Souza, Souza
é, ser
não, não
querer, querer
perder, perder
_, _
sem, sem
querer, querer
ganhar, ganhar
., .

, 

Um, um
certo, certo
conservadorismo, conservadorismo
insiste, insistir
no, em o
Henrique, Henrique
,, ,
no, em o
Bernardo, Bernardo
,, ,
no, em o
Ezequiel, Ezequiel
., .

, 

Pois, pois
,, ,
cá, cá
com, com
o, o
meu, meu
jogo, jogo
de, de
botões, botão
,, ,
considero, considerar
que, que
,, ,
se, se
,, ,
desde, desde
o, o
início, início
da, de o
temporada, temporada
,, ,
o, o
Corinthians, Corinthians
optasse, optar
por, por
um, um
time, time
,, ,
poderia, poder
ter, ter
passado, passar
por, por
tropeços, tropeço
,, ,
mas, mas
estaria, estar
com, com
perspectivas, perspectiva
melhores, bom
., .

, 

O, o
time, time
seria, ser
este, este
:, :
Ronaldo, Ronaldo
;, ;
Vítor, Vítor
,, ,
Célio, Célio
Silva, Silva
,, ,
André, André
Santos, Santos
e, e
Silvinho, Silvinho
;, ;
Marcelo, Marcelo
Souza, Souza
,, ,
Zé, Zé
Elias, Elias
e, e
Souza, Souza
;, ;
Marcelinho, Marcelinho
,, ,
Viola, Viola
e, e
Marques, Marques
., .

, 

Houvera, Houvera
esta, este
formação, formação
jogado, jogar
um, um
mês, mês
junto, junto
e, e
a, o
vida, vida
alvinegra, alvinegra
seria, ser
outra, outro
,, ,
neste, em este
belo, belo
maio, maio
que, que
se, se
inicia, iniciar
., .

, 

Pelo, por o
jeito, jeito
da, de o
coisa, coisa
,, ,
Santos, Santos
e, e
Portuguesa, Portuguesa
não, não
serão, ser
blefes, blefe
no, em o
octogonal, octogonal
., .

, 

E, e
o, o
Guarani, Guarani
começou, começar
a, a
gostar, gostar
de, de
ganhar, ganhar
,, ,
de, de
ganhar, ganhar
,, ,
de, de
ganhar, ganhar
., .

, 

..., ...
e, e
o, o
América, América
do, de o
Zé, Zé
Trajano, Trajano
que, que
despachou, despachar
o, o
Botafogo, Botafogo
do, de o
Túlio, Túlio
Bem, Bem
,, ,
ein, ein
?, ?

, 

Muita, muito
gente, gente
boa, bom
em, em
São, São
Paulo, Paulo
criticou, criticar
o, o
deslocamento, deslocamento
do, de o
Renato, Renato
do, de o
Fluminense, Fluminense
para, para
o, o
Palmeiras, Palmeiras
., .
Mais, mais
do, de o
que, que
argumentos, argumento
,, ,
foram, ser
os, o
preconceitos, preconceito
que, que
deram, dar
a, o
tônica, tônico
dessas, de esse
críticas, crítica
., .

, 

Esta, este
coluna, coluna
pensava, pensar
(, (
como, como
demonstrou, demonstrar
), )
e, e
continua, continuar
pensando, pensar
de, de
outra, outro
maneira, maneira
., .
Mas, mas
,, ,
mais, mais
do, de o
que, que
foi, ser
dito, dizer
aqui, aqui
,, ,
a, o
performance, performance
do, de o
Renato, Renato
no, em o
domingo, domingo
contra, contra
o, o
Flamengo, Flamengo
é, ser
o, o
melhor, bom
argumento, argumento
., .

, 

O, o
único, único
inconveniente, inconveniente
é, ser
que, que
a, o
contratação, contratação
do, de o
Renato, Renato
poderá, poder
sair, sair
tarde, tarde
demais, demais
., .

, 

Matinas, Matinas
Suzuki, Suzuki
Jr., Jr.
escreve, escrever
às, a o
terças, terça
,, ,
quintas, quintas
e, e
sábados, sábado

, 

