A, ﻿A
revolta, revoltar
dos, de o
jogadores, jogador
russos, russo
contra, contra
Pavel, Pavel
Sadyrin, Sadyrin
,, ,
técnico, técnico
da, de o
seleção, seleção
nacional, nacional
,, ,
aumenta, aumentar
a, a
cada, cada
dia, dia
., .
Ontem, ontem
,, ,
Igor, Igor
Shalimov, Shalimov
,, ,
capitão, capitão
da, de o
equipe, equipe
,, ,
e, e
Sergei, Sergei
Kiriakov, Kiriakov
mandaram, mandar
cartas, carta
para, para
o, o
secretário, secretário
de, de
assuntos, assunto
esportivos, esportivo
do, de o
presidente, presidente
Boris, Boris
Ieltsin, Ieltsin
,, ,
afirmando, afirmar
que, que
não, não
estão, estar
dispostos, disposto
a, a
jogar, jogar
na, em o
seleção, seleção
sob, sob
o, o
comando, comando
do, de o
treinador, treinador
., .

, 

Os, o
jogadores, jogador
acusam, acusar
Sadyrin, Sadyrin
de, de
falta, falta
de, de
qualificação, qualificação
técnica, técnico
e, e
pedem, pedir
o, o
retorno, retorno
de, de
Anatoli, Anatoli
Byschovez, Byschovez
,, ,
ex-treinador, ex-treinador
da, de o
CEI, CEI
(, (
Comunidade, Comunidade
dos, de o
Estados, Estados
Independentes, Independentes
), )
., .

, 

Na, em o
quarta-feira, quarta-feira
,, ,
22, 22
jogadores, jogador
de, de
uma, um
lista, lista
de, de
40, 40
se, se
recusaram, recusar
a, a
atender, atender
à, a o
convocação, convocação
para, para
amistosos, amistoso
que, que
a, o
Rússia, Rússia
fará, fazer
no, em o
México, México
e, e
nos, em o
EUA, EUA
., .
Deles, Deles
,, ,
14, 14
já, já
haviam, haver
escrito, escrever
uma, um
carta, carta
há, haver
dois, dois
meses, mês
,, ,
afirmando, afirmar
que, que
não, não
atenderiam, atender
a, a
qualquer, qualquer
chamado, chamado
de, de
Sadyrin, Sadyrin
., .
Outros, outro
oito, oito
são, ser
jogadores, jogador
do, de o
Spartak, Spartak
de, de
Moscou, Moscou
,, ,
que, que
terá, ter
partida, partida
importante, importante
contra, contra
o, o
Barcelona, Barcelona
em, em
2, 2
de, de
março, março
,, ,
à, a o
época, época
dos, de o
amistosos, amistoso
., .

, 

Ainda, ainda
há, haver
jogadores, jogador
como, como
Dmitri, Dmitri
Popov, Popov
,, ,
do, de o
Racing, Racing
de, de
Santander, Santander
da, de o
Espanha, Espanha
., .
Afirmam, Afirmam
não, não
ter, ter
nada, nada
contra, contra
o, o
técnico, técnico
,, ,
mas, mas
pedem, pedir
mais, mais
dinheiro, dinheiro
para, para
se, se
apresentar, apresentar
., .

, 

