O, ﻿O
centroavante, centroavante
Viola, Viola
tentou, tentar
até, até
o, o
último, último
minuto, minuto
marcar, marcar
um, um
gol, gol
para, para
coroar, coroar
a, o
sua, seu
participação, participação
na, em o
partida, partida
de, de
ontem, ontem
,, ,
contra, contra
o, o
Rio, Rio
Branco, Branco
., .
E, e
conseguiu, conseguir
., .
", "
Valeu, Valeu
o, o
esforço, esforço
., .
Mas, mas
só, só
estou, estar
com, com
medo, medo
de, de
ficar, ficar
banguela, banguelo
e, e
perder, perder
este, este
lindo, lir
sorriso, sorriso
que, que
todos, todo
dizem, dizer
que, que
tenho, ter
", "
,, ,
brincou, brincar
o, o
artilheiro, artilheiro
do, de o
Paulistão-93, Paulistão-93
,, ,
que, que
marcou, marcar
seu, seu
primeiro, primeiro
gol, gol
no, em o
Campeonato, Campeonato
Paulista, Paulista
., .

, 

Um, um
minuto, minuto
antes, antes
de, de
marcar, marcar
o, o
terceiro, terceiro
gol, gol
do, de o
Corinthians, Corinthians
na, em o
partida, partida
,, ,
Viola, Viola
recebeu, receber
uma, um
cotovelada, cotovelada
–, –
involuntária, involuntáriar
–, –
de, de
um, um
zagueiro, zagueiro
adversário, adversário
., .
", "
Subi, subi
para, para
matar, matar
a, o
bola, bola
no, em o
peito, peito
e, e
quando, quando
me, eu
preparava, preparar
para, para
chutar, chutar
o, o
braço, braço
dele, de ele
(, (
não, não
se, se
lembra, lembrar
quem, quem
), )
acertou, acertar
a, o
minha, meu
boca, boca
", "
,, ,
explicou, explicar
o, o
jogador, jogador
,, ,
que, que
após, após
o, o
jogo, jogo
foi, ir
até, até
uma, um
clínica, clínica
fazer, fazer
um, um
exame, exame
dentário, dentário
., .

, 

Como, como
aconteceu, acontecer
nas, em o
duas, dois
partidas, partida
anteriores, anterior
no, em o
campeonato, campeonato
,, ,
Viola, Viola
foi, ser
o, o
melhor, bom
em, em
campo, campo
pelo, por o
lado, lado
do, de o
Corinthians, Corinthians
., .
Atuando, atuar
de, de
forma, forma
diferente, diferente
,, ,
do, de o
que, que
fez, fazer
ano, ano
passado, passado
,, ,
o, o
centroavante, centroavante
está, estar
contente, contente
com, com
sua, seu
produção, produção
., .
", "
Estou, estar
fazendo, fazer
um, um
revezamento, revezamento
com, com
o, o
Tupãzinho, Tupãzinho
na, em o
armação, armação
das, de o
jogadas, jogada
e, e
acho, achar
que, que
está, estar
dando, dar
certo, certo
", "
,, ,
disse, dizer
Viola, Viola
,, ,
acatando, acatar
as, o
novas, novo
determinações, determinação
do, de o
técnico, técnico
Afrânio, Afrânio
Riul, Riul
., .

, 

No, em o
intervalo, intervalo
da, de o
partida, partida
,, ,
Viola, Viola
estava, estar
irritado, irritado
com, com
seus, seu
companheiros, companheiro
., .
", "
Pedi, Pedi
seriedade, seriedade
a, a
eles, eles
,, ,
porque, porque
estávamos, estar
perdendo, perder
boas, bom
chances, chance
com, com
tantos, tanto
passes, passe
errados, errar
", "
,, ,
reclamou, reclamar
., .
", "
Mas, mas
conversamos, conversar
no, em o
vestiário, vestiário
e, e
voltamos, voltamos
melhor, bom
", "
,, ,
afirmou, afirmar
., .

, 

Por, por
várias, várias
vezes, vez
durante, durante
o, o
jogo, jogo
,, ,
Viola, Viola
foi, ser
aplaudido, aplaudido
., .
Suas, Suas
arrancadas, arrancada
ao, a o
ataque, ataque
e, e
coberturas, cobertura
aos, a o
laterais, lateral
,, ,
entusiamaram, entusiamar
a, o
torcida, torcida
., .
", "
Sou, ser
um, um
jogador, jogador
que, que
dependo, deper
muito, muito
do, de o
preparo, preparo
físico, físico
., .
Por, por
isso, isso
estou, estar
me, eu
dedicando, dedicar
muito, muito
aos, a o
treinamentos, treinamento
e, e
até, até
me, eu
concentrando, concentrar
mais, mais
tempo, tempo
que, que
o, o
necessário, necessário
", "
,, ,
disse, dizer
., .
(, (
WBJr, WBJr
), )

, 

