Uma, ﻿Uma
das, de o
causas, causa
da, de o
queda, queda
de, de
gols, gol
no, em o
segundo, segundo
turno, turno
é, ser
a, o
má, má
fase, fase
da, de o
maioria, maioria
dos, de o
artilheiros, artilheiro
., .

, 

Após, após
a, o
13ª, 13ª
rodada, rodada
,, ,
quando, quando
a, o
média, média
do, de o
campeonato, campeonato
atingia, atinger
2,75, 2,75
gols, gol
por, por
partida, partida
,, ,
os, o
dez, dez
maiores, grande
artilheiros, artilheiro
do, de o
Paulista, Paulista
_, _
liderados, liderar
por, por
Marcelo, Marcelo
,, ,
do, de o
Rio, Rio
Branco, Branco
_, _
tinham, ter
marcado, marcar
ao, a o
todo, todo
77, 77
gols, gol
., .

, 

Nas, em o
sete, sete
rodadas, rodada
seguintes, seguinte
,, ,
para, para
manter, manter
essa, esse
média, média
,, ,
eles, eles
deveriam, dever
ter, ter
marcado, marcar
41, 41
gols, gol
., .
Mas, mas
anotaram, anotar
apenas, apenas
21, 21
., .

, 

São, ser
vários, vários
os, o
atacantes, atacante
que, que
estão, estar
sem, sem
marcar, marcar
há, haver
vários, vários
jogos, jogo
., .
O, o
principal, principal
caso, caso
é, ser
de, de
Viola, Viola
., .
Seu, seu
último, último
gol, gol
no, em o
Paulista, Paulista
foi, ser
contra, contra
a, o
Ponte, Ponte
Preta, Preta
,, ,
em, em
23, 23
de, de
fevereiro, fevereiro
., .

, 

Flávio, flávio
,, ,
o, o
`, `
`, `
matador, matador
'', ''
(, (
expressão, expressão
de, de
Candinho, Candinho
,, ,
técnico, técnico
da, de o
Portuguesa, Portuguesa
), )
,, ,
não, não
marca, marcar
há, haver
um, um
mês, mês
., .
O, o
último, último
gol, gol
foi, ser
no, em o
dia, dia
1º, 1º
de, de
abril, abril
contra, contra
o, o
Novorizontino, Novorizontino
., .

, 

Marcelo, marcelo
,, ,
do, de o
Rio, Rio
Branco, Branco
,, ,
e, e
Rivaldo, Rivaldo
,, ,
do, de o
Palmeiras, Palmeiras
,, ,
fizeram, fazer
seu, seu
último, último
tento, tento
há, haver
três, três
semanas, semana
., .

, 

As, o
exceções, exceção
a, a
essa, esse
má, má
fase, fase
são, ser
Bentinho, Bentinho
,, ,
do, de o
São, São
Paulo, Paulo
,, ,
Batistinha, Batistinha
,, ,
do, de o
União, União
,, ,
Marcelo, Marcelo
Passos, Passos
,, ,
do, de o
Santos, Santos
,, ,
e, e
Júlio, Júlio
César, César
,, ,
do, de o
XV, XV
de, de
Piracicaba, Piracicaba
., .

, 

Nas, em o
últimas, último
sete, sete
rodadas, rodada
,, ,
Bentinho, Bentinho
fez, fazer
seis, seis
gols, gol
,, ,
Batistinha, Batistinha
,, ,
cinco, cinco
,, ,
Marcelo, Marcelo
Passos, Passos
,, ,
quatro, quatro
,, ,
e, e
Júlio, Júlio
César, César
,, ,
três, três
., .

, 

Batistinha, Batistinha
,, ,
que, que
,, ,
há, haver
sete, sete
rodadas, rodada
,, ,
estava, estar
em, em
11º, 11º
lugar, lugar
na, em o
artilharia, artilharia
,, ,
subiu, subir
para, para
a, o
quarta, quarto
posição, posição
_, _
com, com
dez, dez
tentos, tento
., .

, 

(, (
MD, MD
), )

, 

