Sem, ﻿Sem
dúvida, dúvida
,, ,
a, o
esquina, esquina
das, de o
avenidas, avenida
Brigadeiro, Brigadeiro
Luís, Luís
Antônio, Antônio
e, e
Paulista, Paulista
se, se
tornou, tornar
a, o
grande, grande
sensação, sensação
da, de o
São, São
Silvestre, Silvestre
em, em
suas, seu
duas, dois
últimas, último
edições, edição
., .
E, e
lá, lá
que, que
as, o
duas, dois
corridas, corrida
foram, ser
decididas, decidir
., .
Em, em
92, 92
,, ,
quando, quando
Simon, Simon
Chemwoyo, Chemwoyo
deu, dar
um, um
impressionante, impressionante
sprint, sprint
e, e
superou, superar
o, o
mexicano, mexicano
Arturo, Arturo
Barrios, Barrios
., .
Em, em
93, 93
,, ,
Simon, Simon
recebeu, receber
o, o
troco, troco
de, de
Fita, Fita
Bayesa, Bayesa
,, ,
da, de o
Etiópia, Etiópia
,, ,
que, que
perdeu, perder
a, o
prova, prova
por, por
ter, ter
se, se
enganado, enganar
no, em o
caminho, caminho
da, de o
linha, linha
de, de
chegada, chegada
., .

, 

Para, para
Caroline, Caroline
Faith, Faith
,, ,
empresária, empresário
e, e
trienadora, trienadora
de, de
Bayesa, Bayesa
,, ,
seu, seu
pupílo, pupílo
ganhou, ganhar
a, o
prova, prova
., .
", "
Sei, saber
que, que
oficialmente, oficialmente
ele, ele
chegou, chegar
em, em
segundo, segundo
., .
Mas, mas
está, estar
claro, claro
que, que
ele, ele
venceria, vencer
se, se
não, não
houvesse, houver
acontecido, acontecer
tudo, tudo
isso, isso
", "
,, ,
afirmou, afirmar
., .
Ela, ela
disse, dizer
também, também
que, que
Bayesa, Bayesa
isentou, isentar
a, o
organização, organização
e, e
o, o
vencedor, vencedor
Chemwoyo, chemwoyo
de, de
qualquer, qualquer
responsabilidade, responsabilidade
., .
", "
A, o
culpa, culpa
foi, ser
dele, de ele
mesmo, mesmo
., .
Havia, Havia
muita, muito
gente, gente
no, em o
trecho, trecho
e, e
ele, ele
se, se
assustou, assustar
", "
., .

, 

Caroline, Caroline
serviu, servir
de, de
intérprete, intérprete
para, para
Bayesa, Bayesa
., .
O, o
etíope, etíope
fala, falar
um, um
inglês, inglês
precário, precário
que, que
só, só
ela, ela
entende, entender
., .
Antes, antes
da, de o
sua, seu
chegada, chegada
na, em o
sala, sala
onde, onde
aconteciam, acontecer
as, o
entrevista, entrevista
,, ,
Bayesa, Bayesa
se, se
esforçava, esforçar
para, para
explicar, explicar
por, por
mímica, mímica
,, ,
o, o
que, que
tinha, ter
acontecido, acontecer
., .

, 

Pelo, pelo
menos, menos
um, um
item, item
precisa, precisar
ainda, ainda
de, de
explicação, explicação
., .
Os, o
tempos, tempo
divulgados, divulgar
pela, por o
organização, organização
do, de o
evento, evento
dão, dar
um, um
segundo, segundo
de, de
vantagem, vantagem
para, para
Chemwoyo, chemwoyo
em, em
relação, relação
a, a
Fita, Fita
Bayesa, Bayesa
., .
Este, este
,, ,
por, por
sua, sua
vez, vez
,, ,
teria, ter
chegado, chegar
dez, dez
segundos, segundo
à, a o
frente, frente
do, de o
terceiro, terceiro
colocado, colocado
,, ,
William, William
Sigei, Sigei
., .
Na, em o
imagem, imagem
da, de o
TV, tv
,, ,
no, em o
entanto, entanto
,, ,
Chemwoyo, chemwoyo
cruza, cruzar
a, o
linha, linha
de, de
chegada, chegada
vários, vários
segundos, segundo
antes, antes
que, que
Bayesa, Bayesa
., .
Já, já
Sigei, Sigei
,, ,
chega, chegar
junto, junto
com, com
o, o
etíope, etíope
à, a o
linha, linha
., .

, 

Victor, Victor
Malzoni, Malzoni
,, ,
diretor, diretor
geral, geral
da, de o
prova, prova
,, ,
após, após
anunciar, anunciar
que, que
Bayesa, Bayesa
receberia, receber
o, o
mesmo, mesmo
prêmio, prêmio
de, de
Chemwoyo, chemwoyo
,, ,
afirmou, afirmar
que, que
a, o
SS, SS
vive, viver
uma, um
nova, novo
fase, fase
., .
", "
Pela, por o
segunda, segundo
vez, vez
consecutiva, consecutivo
,, ,
tivemos, ter
um, um
final, final
de, de
prova, prova
emocionante, emocionante
", "
,, ,
disse, dizer
., .
Quanto, quanto
ao, a o
predomínio, predomínio
africano, africano
,, ,
Malzoni, Malzoni
acha, achar
que, que
isso, isso
tende, tender
a, a
se, se
repetir, repetir
em, em
94, 94
., .
", "
Os, o
africanos, africano
descobriram, descobrir
a, o
SS, SS
", "
., .

, 

Ronaldo, Ronaldo
Costa, Costa
,, ,
que, que
acabou, acabar
levando, levar
um, um
Fiat, Fiat
por, por
ter, ter
sido, ser
o, o
brasileiro, brasileiro
melhor, bom
colocado, colocar
na, em o
prova, prova
(, (
sétimo, sétimo
), )
,, ,
estava, estar
contente, contente
com, com
o, o
prêmio, prêmio
., .
", "
Vou, Vou
comprar, comprar
uma, um
casa, casa
em, em
Juiz, Juiz
de, de
Fora, Fora
", "
,, ,
disse, dizer
o, o
mineiro, mineiro
de, de
23, 23
anos, ano
que, que
nasceu, nascer
em, em
Descoberto, Descoberto
., .

, 

