O, ﻿O
jogo, jogo
em, em
si, si
não, não
vale, valer
nada, nada
,, ,
a, a
não, não
ser, ser
a, o
expectativa, expectativa
habitual, habitual
de, de
que, que
o, o
Brasil, Brasil
,, ,
no, em o
mínimo, pequeno
,, ,
goleie, goleie
Israel, Israel
,, ,
lá, lá
em, em
Tel, Tel
Aviv, Aviv
., .
Acontece, Acontece
que, que
Israel, Israel
,, ,
embora, embora
historicamente, historicamente
ocupe, ocupe
lugar, lugar
modesto, modestar
no, em o
ranking, ranking
mundial, mundial
,, ,
tem, ter
vários, vários
jogadores, jogador
atuando, atuar
nos, em o
centros, centro
mais, mais
desenvolvidos, desenvolver
do, de o
futebol, futebol
europeu, europeu
., .
E, e
essa, esse
mesma, mesmo
seleção, seleção
anda, andar
criando, criar
problemas, problema
para, para
França, França
e, e
escambaus, escambau
pela, por o
Copa, Copa
Européia, Européia
., .

, 

Além, além
do, de o
mais, mais
,, ,
nosso, nosso
time, time
,, ,
como, como
sempre, sempre
,, ,
foi, ser
arregimentado, arregimentar
no, em o
aeroporto, aeroporto
., .
Seja, Seja
lá, lá
o, o
que, que
Deus, Deus
quiser, querer
., .
Mas, mas
a, o
Providência, Providência
anda, andar
muito, muito
benévola, benévolo
com, com
Zagallo, Zagallo
;, ;
logo, logo
,, ,
é, ser
bem, bem
possível, possível
que, que
a, o
goleada, goleada
venha, vir
., .

, 

Há, haver
,, ,
porém, porém
,, ,
um, um
detalhe, detalhe
:, :
até, até
agora, agora
,, ,
o, o
time, time
de, de
Zagallo, Zagallo
tem, ter
oferecido, oferecer
bons, bom
espetáculos, espetáculo
e, e
muitos, muito
gols, gol
,, ,
jogando, jogar
com, com
dois, dois
volantes, volante
escalonados, escalonado
., .
Ou, ou
seja, ser
:, :
um, um
Dunga, Dunga
e, e
um, um
Leandro, Leandro
,, ,
por, por
exemplo, exemplo
,, ,
mais, mais
hábil, hábil
na, em o
saída, saída
de, de
jogo, jogo
., .
Hoje, hoje
,, ,
joga, jogar
com, com
dois, dois
Dungas, Dungas
:, :
o, o
próprio, próprio
e, e
seu, seu
clone, clone
piorado, piorar
,, ,
Doriva, Doriva
., .
Por, por
certo, certo
,, ,
isso, isso
fará, fazer
a, o
bola, bola
sair, sair
da, de o
nossa, nosso
intermediária, intermediária
,, ,
se, se
arrastando, arrastar
,, ,
vesga, vesga
e, e
combalida, combalir
pelos, por o
maus, mau
tratos, trato
., .
Outro, outro
problema, problema
:, :
a, o
dupla, dupla
de, de
área, área
_, _
pelos, por o
seus, seu
estilos, estilo
,, ,
Ronaldo, Ronaldo
e, e
Túlio, Túlio
,, ,
ao, a o
invés, invés
de, de
se, se
completarem, completar
,, ,
colidem, colider
., .
Ou, ou
melhor, bom
:, :
ambos, ambos
atuam, atuar
da, de o
mesma, mesmo
forma, forma
,, ,
no, em o
mesmo, mesmo
lugar, lugar
,, ,
em, em
jatos, jato
esparsos, esparso
., .

, 

De, de
valioso, valioso
mesmo, mesmo
,, ,
apenas, apenas
a, o
volta, volta
de, de
Rivaldo, Rivaldo
à, a o
seleção, seleção
,, ,
na, em o
ponta, ponta
dos, de o
cascos, casco
., .
É, ser
jogo, jogo
para, para
Rivaldo, Rivaldo
definir, definir
seu, seu
lugar, lugar
no, em o
elenco, elenco
., .
Isso, isso
porque, porque
se, se
aprovou, aprovar
na, em o
estréia, estréia
,, ,
nos, em o
tempos, tempo
do, de o
Corinthians, Corinthians
,, ,
ainda, ainda
,, ,
ficou, ficar
de, de
segunda, segundo
época, época
na, em o
chance, chance
seguinte, seguinte
., .
E, e
,, ,
como, como
Zagallo, Zagallo
parece, parecer
não, não
olhar, olhar
com, com
bons, bons
olhos, olho
o, o
futebol, futebol
de, de
Rivaldo, Rivaldo
,, ,
é, ser
bom, bom
o, o
rapaz, rapaz
dar, dar
tudo, tudo
hoje, hoje
., .
Esse, esse
tudo, tudo
pode, poder
ser, ser
simplesmente, simplesmente
o, o
que, que
vem, vir
jogando, jogar
nesta, em este
temporada, temporada
., .

, 

Espinosa, Espinosa
diz, dizer
que, que
foi, ser
pego, pegar
de, de
calças, calça
curtas, curto
., .
Estranho, Estranho
,, ,
num, em um
técnico, técnico
experiente, experiente
como, como
ele, ele
,, ,
pois, pois
o, o
cheiro, cheiro
da, de o
fritura, fritura
há, haver
tempos, tempo
flutuava, flutuar
nos, em o
ares, ar
do, de o
Parque, parque
., .
Afinal, afinal
,, ,
mesmo, mesmo
com, com
a, o
história, história
de, de
que, que
ele, ele
e, e
a, o
diretoria, diretoria
do, de o
Palmeiras, Palmeiras
,, ,
em, em
conjunto, conjunto
,, ,
fizeram, fazer
uma, um
escala, escala
de, de
prioridades, prioridade
,, ,
tendo, ter
a, a
Libertadores, Libertadores
no, em o
topo, topo
e, e
o, o
Paulistão, Paulistão
na, em o
rabeira, rabeira
,, ,
mesmo, mesmo
assim, assim
,, ,
não, não
há, haver
time, time
grande, grande
neste, em este
Brasil, Brasil
que, que
resista, resistar
a, a
sete, sete
jogos, jogo
seguidos, seguir
sem, sem
nenhuma, nenhum
vitória, vitória
no, em o
mesmo, mesmo
certame, certame
., .

, 

Mais, mais
que, que
isso, isso
:, :
a, o
desclassificação, desclassificação
da, de o
Copa, copa
do, de o
Brasil, Brasil
matou, matar
a, o
esperança, esperança
de, de
se, se
manter, manter
um, um
trunfo, trunfo
na, em o
manga, manga
,, ,
caso, caso
o, o
Palestra, Palestra
escorregue, escorregar
agora, agora
na, em o
Libertadores, Libertadores
,, ,
diante, diante
do, de o
mesmo, mesmo
Grêmio, Grêmio
que, que
o, ele
desqualificou, desqualificar
naquela, em aquele
competição, competição
., .
E, e
que, que
cresce, crescer
como, como
um, um
fantasma, fantasma
sobre, sobre
o, o
Parque, Parque
., .

, 

A, a
bem, bem
da, de o
verdade, verdade
,, ,
Espinosa, Espinosa
não, não
cometeu, cometer
nenhum, nenhum
deslize, deslize
grave, grave
,, ,
nenhuma, nenhum
burrada, burrada
de, de
ordem, ordem
tática, tático
ou, ou
estratégica, estratégico
,, ,
nem, nem
mesmo, mesmo
deixou, deixar
de, de
escalar, escalar
este, este
ou, ou
aquele, aquele
jogador, jogador
por, por
idiossincrasia, idiossincrasia
., .
Nada, nada
que, que
obrigasse, obrigar
a, o
diretoria, diretoria
a, a
