Para, ﻿Par
a, o
disputa, disputa
do, de o
Paulistão-94, Paulistão-94
,, ,
que, que
para, para
a, o
Portuguesa, Portuguesa
se, se
inicia, iniciar
hoje, hoje
contra, contra
o, o
Corinthians, Corinthians
no, em o
Pacaembu, Pacaembu
,, ,
às, a o
16h, 16h
,, ,
no, em o
Pacaembu, Pacaembu
,, ,
apenas, apenas
o, o
setor, setor
de, de
meio-campo, meio-campo
está, estar
definido, definido
pelo, por o
técnico, técnico
Fito, Fito
Neves, Neves
., .
Os, o
volantes, volante
Capitão, Capitão
,, ,
Simão, Simão
e, e
Baiano, Baiano
serão, ser
os, o
responsáveis, responsável
pela, por o
marcação, marcação
e, e
criação, criação
das, de o
jogadas, jogada
de, de
ataque, ataque
., .

, 

Sabendo, saber
de, de
sua, seu
inferioridade, inferioridade
técnica, técnico
e, e
da, de o
falta, falta
de, de
entrosamento, entrosamento
do, de o
time, time
,, ,
Fito, Fito
Neves, Neves
preparou, preparar
para, para
jogar, jogar
o, o
primeiro, primeiro
clássico, clássico
do, de o
campeonato, campeonato
nos, em o
contra-ataques, contra-ataques
., .
", "
Eu, eu
e, e
o, o
Baiano, Baiano
ficaremos, ficaremos
mais, mais
atrás, atrás
., .
O, o
Simão, Simão
será, ser
sacrificado, sacrificar
e, e
terá, ter
que, que
ir, ir
para, para
o, o
ataque, ataque
e, e
voltar, voltar
para, para
a, o
marcação, marcação
", "
,, ,
revelou, revelar
Capitão, Capitão
., .
", "
Temos, ter
que, que
entrar, entrar
com, com
cautela, cautela
contra, contra
o, o
Corinthians, Corinthians
., .
Sabemos, Sabemos
que, que
não, não
temos, ter
condições, condição
de, de
partir, partir
para, para
cima, cima
deles, de eles
., .
Afinal, afinal
eles, eles
já, já
possuem, possuir
uma, um
base, base
formada, formar
em, em
trabalhos, trabalho
anteriores, anterior
", "
,, ,
concluiu, concluir
., .

, 

A, o
coordenação, coordenação
das, de o
jogadas, jogada
de, de
ataque, ataque
será, ser
do, de o
ponta-esquerda, ponta-esquerda
Carlinhos, Carlinhos
,, ,
que, que
voltará, voltar
ao, a o
meio-campo, meio-campo
compondo, compor
como, como
quarto, quarto
jogador, jogador
deste, de este
setor, setor
., .
Maurício, Maurício
e, e
Dinei, Dinei
terão, ter
liberdade, liberdade
no, em o
ataque, ataque
., .

, 

Na, em o
defesa, defesa
está, estar
o, o
único, único
problema, problema
do, de o
treinador, treinador
., .
Ele, ele
está, estar
em, em
dúvida, dúvida
em, em
escalar, escalar
o, o
inexperiente, inexperiente
Márcio, Márcio
ou, ou
o, o
veterano, veterano
Ênio, Ênio
no, em o
gol, gol
., .
", "
Vou, Vou
conversar, conversar
com, com
o, o
Pedrinho, Pedrinho
(, (
preparador, preparador
de, de
goleiros, goleiro
), )
para, para
saber, saber
quem, quem
está, estar
em, em
melhores, bom
condições, condição
", "
,, ,
disse, dizer
Neves, Neves
., .
Nas, em o
demais, demais
posições, posição
do, de o
setor, setor
defensivo, defensivo
,, ,
o, o
técnico, técnico
não, não
possui, possuir
alternativas, alternativa
., .
A, o
maior, grande
novidade, novidade
é, ser
a, o
escalação, escalação
do, de o
zagueiro, zagueiro
Wladimir, Wladimir
,, ,
que, que
retorna, retornar
ao, a o
clube, clube
após, após
cumprir, cumprir
período, período
de, de
empréstimo, empréstimo
no, em o
Internacional, Internacional
(, (
RS, RS
), )
., .
Na, em o
lateral-esquerda, lateral-esquerda
está, estar
confirmada, confirmado
a, o
presença, presença
de, de
Marcelo, Marcelo
Veiga, Veiga
., .

, 

