Após, ﻿Após
a, o
reabilitadora, reabilitador
vitória, vitória
sobre, sobre
o, o
Corinthians, Corinthians
,, ,
o, o
Palmeiras, Palmeiras
volta, voltar
a, a
jogar, jogar
contra, contra
o, o
América, América
,, ,
hoje, hoje
,, ,
às, a o
20h30, 20h30
,, ,
no, em o
Parque, Parque
Antarctica, Antarctica
,, ,
ainda, ainda
sob, sob
o, o
comando, comando
do, de o
técnico, técnico
interino, interino
,, ,
Márcio, Márcio
Araújo, Araújo
., .

, 

`, `
`, `
Os, o
dirigentes, dirigente
me, eu
disseram, dizer
que, que
eu, eu
só, só
ficaria, ficar
até, até
o, o
jogo, jogo
contra, contra
o, o
Corinthians, Corinthians
., .
Como, como
ninguém, ninguém
foi, ser
contratado, contratar
,, ,
vou, ir
dar, dar
sequência, sequência
ao, a o
trabalho, trabalho
'', ''
,, ,
disse, dizer
Márcio, Márcio
Araújo, Araújo
., .

, 

Ele, ele
afirmou, afirmar
,, ,
porém, porém
,, ,
que, que
`, `
`, `
não, não
tem, ter
esperanças, esperança
'', ''
de, de
ser, ser
efetivado, efetivar
no, em o
cargo, cargo
,, ,
mesmo, mesmo
se, se
o, o
Palmeiras, Palmeiras
conseguir, conseguir
outra, outro
vitória, vitória
hoje, hoje
., .

, 

O, o
diretor, diretor
de, de
esportes, esporte
da, de o
Parmalat, Parmalat
(, (
patrocinadora, patrocinadora
do, de o
Palmeiras, Palmeiras
), )
,, ,
José, José
Carlos, Carlos
Brunoro, Brunoro
,, ,
confirmou, confirmar
as, o
declarações, declaração
de, de
Márcio, Márcio
Araújo, Araújo
., .

, 

`, `
`, `
O, o
Márcio, Márcio
é, ser
um, um
treinador, treinador
jovem, jovem
,, ,
que, que
ainda, ainda
tem, ter
que, que
cumprir, cumprir
etapas, etapa
antes, antes
de, de
ser, ser
o, o
principal, principal
treinador, treinador
do, de o
Palmeiras, Palmeiras
., .
Ele, ele
está, estar
contribuindo, contribuir
,, ,
mas, mas
não, não
vai, ir
ser, ser
efetivado, efetivar
'', ''
,, ,
disse, dizer
Brunoro, Brunoro
., .

, 

Segundo, segundo
o, o
dirigente, dirigente
da, de o
Parmalat, Parmalat
,, ,
a, o
empresa, empresa
e, e
o, o
Palmeiras, Palmeiras
têm, ter
encontrado, encontrar
muitas, muito
dificuldades, dificuldade
para, para
achar, achar
um, um
substituto, substituto
para, para
o, o
técnico, técnico
Valdir, Valdir
Espinosa, Espinosa
,, ,
demitido, demitir
na, em o
semana, semana
passada, passado
., .

, 

`, `
`, `
É, ser
uma, um
questão, questão
delicada, delicado
., .
Só, só
temos, ter
uma, um
bala, bala
no, em o
revólver, revólver
e, e
não, não
podemos, poder
errar, errar
o, o
tiro, tiro
'', ''
,, ,
disse, dizer
Brunoro, Brunoro
,, ,
que, que
espera, esperar
anunciar, anunciar
o, o
nome, nome
do, de o
novo, novo
treinador, treinador
nesta, em este
semana, semana
., .

, 

O, o
favorito, favorito
para, para
o, o
cargo, cargo
ainda, ainda
é, ser
o, o
treinador, treinador
do, de o
