O, ﻿O
jogador, jogador
japonês, japonês
Kazuyoshi, Kazuyoshi
Miura, Miura
,, ,
o, o
Kazu, Kazu
,, ,
26, 26
,, ,
chega, chegar
amanhã, amanhã
a, a
São, São
Paulo, Paulo
,, ,
acompanhado, acompanhar
da, de o
mãe, mãe
e, e
da, de o
modelo, modelo
Risako, Risako
Miura, Miura
,, ,
com, com
quem, quem
se, se
casou, casar
em, em
agosto, agosto
., .
Sua, seu
estadia, estadir
no, em o
Brasil, Brasil
será, ser
acompanhada, acompanhar
pela, por o
equipe, equipe
de, de
TV, tv
que, que
prepara, preparar
uma, um
série, série
sobre, sobre
o, o
jogador, jogador
,, ,
em, em
desenho, desenho
animado, animar
., .

, 

Há, haver
quatro, quatro
dias, dia
foi, ser
anunciada, anunciar
sua, seu
renovação, renovação
com, com
o, o
Yomiuri, Yomiuri
Verdy, Verdy
,, ,
clube, clube
que, que
lhe, ele
pagará, pagar
cerca, cerca
de, de
US$, US$
2, 2
milhões, milhão
para, para
jogar, jogar
a, o
temporada, temporada
que, que
se, se
inicia, iniciar
em, em
12, 12
de, de
março, março
., .
Kazu, Kazu
retorna, retornar
ao, a o
Brasil, Brasil
com, com
uma, um
agenda, agenda
digna, digno
do, de o
título, título
de, de
rei, rei
., .
Em, em
sete, sete
dias, dia
no, em o
Brasil, Brasil
,, ,
visita, visitar
quatro, quatro
Estados, estado
e, e
recebe, receber
o, o
título, título
de, de
cidadão, cidadão
jauense, jauense
., .
Na, em o
ocasião, ocasião
deverá, dever
fazer, fazer
uma, um
doação, doação
de, de
US$, US$
100, 100
mil, mil
para, para
o, o
XV, XV
de, de
Jaú, Jaú
e, e
inaugurar, inaugurar
o, o
Centro, Centro
de, de
Treinamento, treinamento
do, de o
clube, clube
., .

, 

Campeão, Campeão
do, de o
primeiro, primeiro
torneio, torneio
profissional, profissional
do, de o
Japão, Japão
,, ,
a, o
J-League, J-League
,, ,
artilheiro, artilheiro
da, de o
competição, competição
com, com
20, 20
gols, gol
-marcando, -marcando
um, um
gol, gol
em, em
cada, cada
uma, um
das, de o
finais, final
e, e
sendo, ser
eleito, eleger
o, o
jogador, jogador
mais, mais
importante, importante
da, de o
liga, liga
,, ,
só, só
não, não
teve, ter
seu, seu
ano, ano
completo, completo
de, de
glórias, glória
porque, porque
não, não
conseguiu, conseguir
levar, levar
a, o
seleção, seleção
japonesa, japonês
à, a o
Copa, copa
dos, de o
EUA, EUA
., .

, 

A, o
história, história
do, de o
jogador, jogador
se, se
iniciou, iniciar
aqui, aqui
em, em
1983, 1983
., .
Passou, Passou
pelo, por o
Santos, Santos
,, ,
CRB, CRB
de, de
Alagoas, Alagoas
e, e
XV, XV
de, de
Jaú, Jaú
., .
No, em o
Paraná, Paraná
,, ,
em, em
89, 89
,, ,
conquistou, conquistar
o, o
título, título
estadual, estadual
no, em o
Coritiba, Coritiba
., .
Em, em
São, São
Paulo, Paulo
,, ,
só, só
conseguiu, conseguir
destaque, destaque
em, em
90, 90
,, ,
após, após
uma, um
vitória, vitória
do, de o
Santos, Santos
sobre, sobre
o, o
Palmeiras, Palmeiras
,, ,
por, por
2, 2
a, a
1, 1
,, ,
quando, quando
marcou, marcar
um, um
gol, gol
,, ,
fez, fazer
o, o
lançamento, lançamento
para, para
o, o
outro, outro
e, e
acabou, acabar
com, com
o, o
apelido, apelido
de, de
", "
time-de-japoneses, time-de-japoneses
", "
do, de o
clube, clube
., .

, 

Em, em
julho, julho
do, de o
mesmo, mesmo
ano, ano
seu, seu
contrato, contrato
com, com
o, o
Santos, Santos
se, se
encerrou, encerrar
e, e
o, o
atacante, atacante
,, ,
que, que
escrevia, escrever
duas, dois
páginas, página
na, em o
revista, revista
mensal, mensal
", "
Striker, Striker
", "
,, ,
voltou, voltar
ao, a o
seu, seu
país, país
., .

, 

