A, ﻿A
TV, tv
Globo, Globo
,, ,
a, o
TVA, TVA
/, /
ESPN, ESPN
e, e
a, o
Globosat, Globosat
/, /
Sportv, Sportv
transmitem, transmitir
hoje, hoje
(, (
ao, a o
vivo, vivo
), )
,, ,
às, a o
15h30, 15h30
,, ,
a, o
final, final
da, de o
Recopa, Recopa
européia, europeu
(, (
segundo, segundo
torneio, torneio
interclubes, interclube
mais, mais
importante, importante
do, de o
continente, continente
), )
entre, entre
o, o
Zaragoza, Zaragoza
,, ,
de, de
Cafu, Cafu
(, (
foto, foto
), )
,, ,
e, e
o, o
Arsenal, Arsenal
., .

, 

LEIA, LEIA
MAIS, MAIS

, 

sobre, sobre
o, o
jogo, jogo
na, em o
pág., pág.
4, 4

, 

