Meus, ﻿Meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
o, o
Renascimento, Renascimento
do, de o
futebol, futebol
brasileiro, brasileiro
já, já
tem, ter
o, o
seu, seu
Leonardo, Leonardo
., .
O, o
Leonardo, Leonardo
da, de o
dez, dez
.., ..
O, o
Leonardo, Leonardo
que, que
é, ser
dez, dez
., .
Dez, dez
do, de o
São, São
Paulo, Paulo
., .

, 

Geeente, Geeente
,, ,
o, o
Leonardo, Leonardo
driblou, driblar
como, como
um, um
Canhoteiro, Canhoteiro
pela, por o
ponta-esquerda, ponta-esquerda
., .
O, o
Leonardo, Leonardo
recebeu, receber
um, um
Sócrates, Sócrates
-, -
", "
o, o
calcanhar, calcanhar
de, de
Deus, Deus
", "
,, ,
como, como
era, ser
chamado, chamar
na, em o
Itália, Itália
-, -
rápido, rápido
e, e
serviu, servir
de, de
calcanhar, calcanhar
., .

, 

O, o
Leonardo, Leonardo
encarnou, encarnar
um, um
Baltazar, Baltazar
-, -
o, o
", "
cabecinha, cabecinha
de, de
ouro, ouro
", "
-, -
branco, branco
e, e
cabeceou, cabecear
..., ...
na, em o
trave, trave
., .
O, o
Leonardo, Leonardo
incorporou, incorporar
um, um
Gérson, Gérson
-, -
", "
o, o
canhotinha, canhotinha
de, de
ouro, ouro
", "
-, -
de, de
peruca, peruca
e, e
fez, fazer
um, um
lançamento, lançamento
perfeito, perfeito
para, para
o, o
Palhinha, Palhinha
assinar, assinar
o, o
seu, seu
gol, gol
contra, contra
o, o
Santo, Santo
André, André
., .

, 

O, o
Leonardo, Leonardo
personificou, personificar
os, o
matadores, matador
de, de
todos, todo
os, o
tempos, tempo
-, -
Amarildo, Amarildo
,, ,
o, o
", "
possesso, possesso
", "
,, ,
", "
Toninho, Toninho
,, ,
o, o
guerreiro, guerreiro
", "
,, ,
Dadá, Dadá
,, ,
o, o
", "
maravlha, maravlha
", "
,, ,
o, o
", "
peito, peito
de, de
aço, aço
", "
-, -
e, e
fez, fazer
um, um
golaço, golaço
de, de
fora, fora
da, de o
área, área
., .

, 

O, o
Leonardo, Leonardo
materializou, materializar
os, o
mestres, mestre
executores, executor
de, de
infrações, infração
das, de o
regras, regra
sagradas, sagrar
do, de o
futebol, futebol
-, -
Rivelino, Rivelino
,, ,
o, o
", "
reizinho, reizinho
do, de o
Parque, parque
,, ,
Zico, Zico
,, ,
o, o
", "
galinho, galinho
de, de
Quintino, Quintino
", "
,, ,
Neto, Neto
,, ,
o, o
", "
eu, eu
sou, ser
foda, foda
", "
-, -
e, e
fez, fazer
um, um
golaço, golaço
na, em o
cobrança, cobrança
de, de
u, u
ma, ma
falta, falta
., .

, 

Leonardo, Leonardo
matou, matar
a, a
pau, pau
., .
Leonardo, Leonardo
está, estar
criando, criar
um, um
problema, problema
imenso, imenso
para, para
o, o
Carlos, Carlos
Alberto, Alberto
Parreira, Parreira
:, :
Leonardo, Leonardo
será, ser
reserva, reserva
de, de
Branco, Branco
na, em o
lateral, lateral
esquerda, esquerdo
?, ?
Mas, mas
,, ,
com, com
o, o
futebol, futebol
que, que
ele, ele
está, estar
jogando, jogar
,, ,
não, não
seria, ser
mais, mais
apropriado, apropriar
que, que
disputasse, disputar
a, o
camisa, camisa
ocupada, ocupar
pelo, por o
Raí, Raí
?, ?

, 

Consistência, consistência

, 

Consistência, consistência
nos, em o
resultados, resultado
é, ser
uma, um
das, de o
metas, meta
das, de o
novas, novo
técnicas, técnica
de, de
administração, administração
de, de
empresas, empresa
., .
Resultados, resultado
consistentes, consistente
é, ser
o, o
que, que
tem, ter
mostrado, mostrar
o, o
trabalho, trabalho
de, de
Telê, Telê
Santana, Santana
no, em o
São, São
Paulo, Paulo
., .
Mesmo, mesmo
quando, quando
ele, ele
está, estar
ausente, ausente
., .

, 

Qualquer, qualquer
que, que
seja, ser
o, o
placar, placar
da, de o
final, final
da, de o
Copa, Copa
São, São
Paulo, Paulo
hoje, hoje
,, ,
no, em o
Pacaembu, Pacaembu
,, ,
a, o
teenbolada, teenbolada
do, de o
tricolor, tricolor
mostrou, mostrar
o, o
que, que
é, ser
o, o
futebol, futebol
moderno, moderno
que, que
joga, jogar
para, para
ganhar, ganhar
(, (
8, 8
vitórias, vitória
em, em
8, 8
jogos, jogo
), )
., .
E, e
,, ,
embora, embora
a, o
participação, participação
do, de o
Murici, Murici
tenha, ter
sido, ser
decisiva, decisivo
na, em o
montagem, montagem
desta, de este
equipe, equipe
time, time
,, ,
é, ser
claro, claro
que, que
se, se
nota, notar
a, o
profunda, profundo
influência, influência
das, de o
idéias, idéia
de, de
Telê, Telê
no, em o
carrossel, carrossel
são-paulino, são-paulino
., .

, 

Outro, outro
exemplo, exemplo
de, de
consistência, consistência
deu, dar
o, o
São, São
Paulo, Paulo
no, em o
belo, belo
estádio, estádio
de, de
Santo, Santo
André, André
., .
Com, com
um, um
time, time
voltando, voltar
das, de o
férias, férias
e, e
desfalcado, desfalcar
de, de
alguns, algum
de, de
seus, seu
jogadores, jogador
mais, mais
importantes, importante
,, ,
o, o
São, São
Paulo, Paulo
,, ,
no, em o
entanto, entanto
,, ,
deu, dar
uma, um
aula, aula
encantadora, encantadora
de, de
futebol, futebol
contemporâneo, contemporâneo
,, ,
comandada, comandar
pela, por o
dupla, dupla
Murici, Murici
e, e
Moracy, Moracy
-, -
este, este
,, ,
um, um
dos, de o
grandes, grande
engenheiros, engenheiro
da, de o
modernidade, modernidade
futebolística, futebolístico
no, em o
Brasil, Brasil
,, ,
um, um
homem, homem
a, a
quem, quem
o, o
esporte, esporte
brasileiro, brasileiro
já, já
deve, dever
muito, muito
., .

, 

Três, três
gols, gol
do, de o
São, São
Paulo, Paulo
(, (
o, o
quarto, quarto
foi, ir
de, de
falta, falta
), )
foram, ser
consequência, consequência
da, de o
aplicação, aplicação
perfeita, perfeito
de, de
uma, um
jogada, jogada
de, de
alta, alto
velocidade, velocidade
e, e
eficientíssima, eficientíssima
no, em o
futebol, futebol
de, de
hoje, hoje
:, :
o, o
gol, gol
de, de
três, três
lances, lance
., .

, 

No, em o
primeiro, primeiro
,, ,
Doriva, Doriva
esticou, esticar
um, um
passe, passe
de, de
50, 50
metros, metro
para, para
Neguitão, Neguitão
(, (
o, o
estreante, estreante
,, ,
executor, executor
minucioso, minucioso
e, e
preciso, preciso
destas, de este
jogadas, jogada
), )
,, ,
que, que
corria, correr
em, em
direção, direção
à, a o
linha, linha
de, de
fundo, fundo
adversária, adversário
,, ,
ele, ele
cruzou, cruzar
rasteiro, rasteiro
para, para
a, o
área, área
e, e
Valdeir, Valdeir
faturou, faturar
., .

, 

No, em o
segundo, segundo
,, ,
Juninho, Juninho
,, ,
lançou, lançar
para, para
Neguitão, Neguitão
,, ,
ele, ele
repetiu, repetir
o, o
cruzamento, cruzamento
e, e
Leonardo, Leonardo
marcou, marcar
., .
No, em o
terceiro, terceiro
,, ,
a, o
falta, falta
é, ser
cobrada, cobrar
para, para
o, o
Leonardo, Leonardo
,, ,
ele, ele
enfia, enfiar
para, para
Palhinha, Palhinha
assinalar, assinalar
o, o
gol, gol
., .

, 

Ou, ou
seja, ser
,, ,
mudaram-se, mudaram-se
os, o
personagens, personagem
,, ,
mas, mas
o, o
futebol, futebol
do, de o
São, São
Paulo, Paulo
está, estar
mantendo, manter
o, o
seu, seu
padrão, padrão
de, de
excelência, excelência
., .
Afinal, afinal
,, ,
não, não
é, ser
só, só
isto, isto
que, que
se, se
espera, esperar
de, de
uma, um
moderna, moderno
equipe, equipe
de, de
futebol, futebol
?, ?

, 

Matinas, Matinas
Suzuki, Suzuki
Jr., Jr.
escreve, escrever
nesta, em este
coluna, coluna
às, a o
terças, terça
,, ,
quintas, quintas
e, e
sábados, sábado
., .

, 

