Jogadores, ﻿Jogadores
e, e
técnicos, técnico
de, de
equipes, equipe
eliminadas, eliminadas
na, em o
primeira, primeiro
etapa, etapa
dos, de o
playoffs, playoff
da, de o
NBA, NBA
criticaram, criticar
os, o
árbitros, árbitro
das, de o
partidas, partida
., .

, 

A, o
onda, onda
foi, ser
detonada, detonar
na, em o
desclassificação, desclassificação
do, de o
Denver, Denver
pelo, por o
San, San
Antonio, Antonio
Spurs, Spurs
., .
Os, o
Nuggets, Nuggets
acusaram, acusar
os, o
juízes, juíz
de, de
terem, ter
permitido, permitir
a, o
violência, violência
dos, de o
adversários, adversário
., .

, 

As, o
reclamações, reclamação
levaram, levar
o, o
técnico, técnico
Bernie, Bernie
Bickerstaff, Bickerstaff
,, ,
do, de o
Denver, Denver
,, ,
a, a
ser, ser
expulso, expulso
de, de
quadra, quadra
na, em o
terceira, terceiro
partida, partida
entre, entre
as, o
equipes, equipe
., .

, 

`, `
`, `
A, o
atuação, atuação
do, de o
árbitros, árbitro
foi, ser
desastrosa, desastroso
e, e
nos, nós
prejudicou, prejudicar
de, de
forma, forma
clara, claro
'', ''
,, ,
disse, dizer
., .

, 

Segundo, segundo
ele, ele
,, ,
há, haver
sempre, sempre
pessoas, pessoa
que, que
dizem, dizer
`, `
`, `
ser, ser
autoridade, autoridade
e, e
podem, poder
fazer, fazer
o, o
que, que
querem, querer
'', ''
., .

, 

Mas, mas
as, o
críticas, crítica
mais, mais
ferozes, feroz
partiram, partir
anteontem, anteontem
do, de o
pivô, pivô
Alonzo, Alonzo
Mourning, Mourning
,, ,
do, de o
Charlotte, Charlotte
,, ,
time, time
eliminado, eliminar
por, por
3, 3
a, a
1, 1
pelo, por o
Chicago, Chicago
., .

, 

Ele, ele
afirmou, afirmar
que, que
os, o
resultados, resultado
têm, ter
sido, ser
manipulados, manipular
de, de
acordo, acordo
com, com
os, o
interesses, interesse
comerciais, comercial
da, de o
liga, liga
de, de
basquete, basquete
dos, de o
EUA, EUA
., .

, 

Acusou, acusar
os, o
juízes, juíz
de, de
terem, ter
sido, ser
complacentes, complacente
com, com
Michael, Michael
Jordan, Jordan
_, _
maior, grande
jogador, jogador
de, de
todos, todo
os, o
tempos, tempo
,, ,
que, que
atua, atuar
pelo, por o
Chicago, Chicago
., .

, 

`, `
`, `
Alguém, Alguém
quer, querer
ver, ver
o, o
confronto, confronto
Chicago, Chicago
Bulls, Bulls
x, x
Orlando, Orlando
Magic, Magic
nas, em o
semifinais, semifinal
da, de o
Conferência, Conferência
Leste, Leste
'', ''
,, ,
reclamou, reclamar
o, o
jogador, jogador
., .

, 

O, o
Orlando, Orlando
disputa, disputar
a, o
vaga, vaga
com, com
o, o
Boston, Boston
., .
Caso, caso
tenha, ter
sucesso, sucesso
,, ,
enfrentará, enfrentar
o, o
Chicago, Chicago
na, em o
série, série
melhor, bom
de, de
sete, sete
jogos, jogo
da, de o
próxima, próximo
etapa, etapa
., .

, 

