Após, ﻿Após
perder, perder
dois, dois
jogos, jogo
em, em
seu, seu
ginásio, ginásio
,, ,
o, o
San, San
Antonio, Antonio
foi, ir
até, até
Houston, Houston
e, e
venceu, vencer
os, o
Rockets, Rockets
,, ,
diminuindo, diminuir
para, para
2, 2
a, a
1, 1
a, o
vantagem, vantagem
adversária, adversário
nos, em o
playoffs, playoff
da, de o
NBA, NBA
., .

, 

Hoje, hoje
,, ,
as, o
duas, dois
equipes, equipe
do, de o
Estado, estado
do, de o
Texas, Texas
(, (
sul, sul
dos, de o
EUA, EUA
), )
se, se
enfrentam, enfrentar
novamente, novamente
,, ,
no, em o
mesmo, mesmo
local, local
., .

, 

Os, o
jogadores, jogador
do, de o
San, San
Antonio, Antonio
Spurs, Spurs
consideram, considerar
a, o
vitória, vitória
de, de
anteontem, anteontem
,, ,
por, por
107, 107
a, a
102, 102
,, ,
um, um
sinal, sinal
de, de
recuperação, recuperação
da, de o
equipe, equipe
., .

, 

`, `
`, `
Posso, posso
sentir, sentir
a, o
nossa, nosso
reação, reação
'', ''
,, ,
afirmou, afirmar
David, David
Robinson, Robinson
,, ,
eleito, eleger
o, o
melhor, bom
jogador, jogador
desta, de este
temporada, temporada
da, de o
liga, liga
profissional, profissional
de, de
basquete, basquete
., .

, 

O, o
Houston, Houston
,, ,
que, que
defende, defender
o, o
título, título
da, de o
NBA, NBA
,, ,
vinha, vir
de, de
cinco, cinco
vitórias, vitória
seguidas, seguir
na, em o
fase, fase
final, final
do, de o
campeonato, campeonato
(, (
três, três
contra, contra
o, o
Phoenix, Phoenix
Suns, Suns
e, e
duas, dois
contra, contra
os, o
Spurs, Spurs
), )
., .

, 

NA, NA
TV, tv

, 

Spurs, Spurs
x, x
Rockets, Rockets
,, ,
TVA, TVA
,, ,
às, a o
18h, 18h

, 

