O, ﻿O
vôo, vôo
charter, charter
(, (
fretado, fretar
), )
definitivamente, definitivamente
se, se
incorpora, incorpor
ao, a o
mercado, mercado
turístico, turístico
brasileiro, brasileiro
., .
Depois, depois
de, de
quase, quase
dois, dois
anos, ano
de, de
negociações, negociação
,, ,
o, o
Departamento, Departamento
de, de
Aviação, Aviação
Civil, Civil
(, (
DAC, DAC
), )
autorizou, autorizar
em, em
agosto, agosto
a, o
abertura, abertura
da, de o
Air, Air
Vias, Vias
,, ,
primeira, primeiro
empresa, empresa
nacional, nacional
de, de
fretamentos, fretamento
., .
Inaugurada, Inaugurada
no, em o
último, último
dia, dia
25, 25
de, de
dezembro, dezembro
,, ,
a, o
companhia, companhia
derruba, derruba
preços, preço
e, e
decola, decolar
bem, bem
neste, em este
início, início
de, de
alta, alto
temporada, temporada
., .

, 

É, ser
o, o
turismo, turismo
aéreo, aéreo
que, que
se, se
populariza, popularizar
,, ,
uma, um
estratégia, estratégia
que, que
dá, dar
sinais, sinal
de, de
sucesso, sucesso
em, em
época, época
de, de
inflação, inflação
galopante, galopante
., .
Com, com
pacotes, pacote
de, de
uma, um
semana, semana
–, –
conjugando, conjugar
hotel, hotel
e, e
avião, avião
–, –
,, ,
que, que
custam, custar
em, em
média, média
30, 30
%, %
a, a
menos, menos
em, em
relação, relação
à, a o
concorrência, concorrência
,, ,
a, o
companhia, companhia
mantém, manter
este, este
mês, mês
uma, um
ocupação, ocupação
que, que
beira, beirar
os, o
100, 100
%, %
., .
Em, em
apenas, apenas
dez, dez
dias, dia
,, ,
já, já
embarcou, embarcar
1.800, 1.800
brasileiros, brasileiro
rumo, rumo
às, a o
praias, praia
de, de
Maceió, Maceió
,, ,
Fortaleza, Fortaleza
,, ,
Natal, Natal
e, e
Porto, Porto
Seguro, Seguro
,, ,
no, em o
Nordeste, nordeste
;, ;
e, e
Jamaica, Jamaica
,, ,
Curaçao, Curaçao
e, e
Barbados, Barbados
,, ,
no, em o
Caribe, Caribe
., .

, 

Ancorada, ancorar
por, por
um, um
", "
pool, pool
", "
de, de
cinco, cinco
grandes, grande
operadoras, operadora
do, de o
país, país
–, –
Ati, Ati
,, ,
CVC, CVC
,, ,
Dimensão, Dimensão
,, ,
Flot, Flot
e, e
Mundirama, Mundirama
–, –
,, ,
a, o
Air, Air
Vias, Vias
traz, trazer
como, como
diferencial, diferencial
a, o
comercialização, comercialização
de, de
charters, charter
durante, durante
todo, todo
o, o
ano, ano
e, e
não, não
apenas, apenas
nas, em o
férias, férias
,, ,
como, como
ocorria, ocorria
até, até
então, então
no, em o
Brasil, Brasil
., .
Por, por
não, não
ser, ser
uma, um
companhia, companhia
aérea, aéreo
regular, regular
,, ,
não, não
vende, vender
passagem, passagem
,, ,
mas, mas
o, o
programa, programa
completo, completo
,, ,
com, com
hotel, hotel
(, (
categorias, categorio
três, três
,, ,
quatro, quatro
e, e
cinco, cinco
estrelas, estrela
), )
,, ,
traslados, traslado
,, ,
avião, avião
e, e
passeios, passeio
., .

, 

É, ser
claro, claro
que, que
vôos, vôo
fretados, fretado
têm, ter
suas, seu
limitações, limitação
,, ,
mas, mas
o, o
que, que
anda, andar
atraindo, atrair
os, o
passageiros, passageiro
é, ser
o, o
fator, fator
preço, preço
., .
A, o
empresa, empresa
comercializa, comercializar
um, um
pacote, pacote
completo, completo
de, de
uma, um
semana, semana
para, para
Fortaleza, fortaleza
por, por
US$, US$
520, 520
,, ,
cerca, cerca
de, de
28, 28
%, %
menos, menos
do, de o
que, que
o, o
oferecido, oferecer
por, por
agências, agência
que, que
fretam, fretar
aviões, avião
de, de
companhias, companhia
regionais, regional
., .

, 

Para, para
quem, quem
tem, ter
uma, um
família, família
grande, grande
,, ,
a, o
economia, economia
é, ser
expressiva, expressivo
., .
A, o
passagem, passagem
aérea, aéreo
de, de
um, um
vôo, vôo
regular, regular
São, São
Paulo-Fortaleza, Paulo-Fortaleza
,, ,
já, já
com, com
30, 30
%, %
de, de
desconto, desconto
e, e
sem, sem
a, o
