Meus, ﻿Meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
enquanto, enquanto
falta, faltar
`, `
`, `
calcio, calcio
'', ''
financeiro, financeiro
ao, a o
`, `
`, `
calcio, calcio
'', ''
(, (
futebol, futebol
), )
italiano, italiano
,, ,
a, a
Juventus, Juventus
,, ,
de, de
Turim, Turim
,, ,
e, e
o, o
Parma, Parma
,, ,
da, de o
cidade, cidade
do, de o
mesmo, mesmo
nome, nome
,, ,
polarizam, polarizar
as, o
atenções, atenção
da, de o
temporada, temporada
., .

, 

Os, o
dois, dois
times, time
têm, ter
uma, um
série, série
de, de
cinco, cinco
confrontos, confronto
que, que
mais, mais
parece, parecer
uma, um
disputa, disputa
de, de
playoff, playoff
na, em o
NBA, NBA
., .

, 

Senão, senão
,, ,
vejamos, vejar
_, _
como, como
diria, dir
aquele, aquele
cantor, cantor
negro, negro
americano, americano
., .
Amanhã, amanhã
,, ,
aqui, aqui
na, em o
escala, escala
desta, de este
Milão, Milão
cheia, cheio
de, de
gerânios, gerânio
e, e
papoulas, papoula
da, de o
primavera, primavera
,, ,
Juve, Juve
e, e
Parma, Parma
jogam, jogar
a, o
partida, partida
de, de
volta, volta
da, de o
Copa, copa
da, de o
Uefa, Uefa
., .

, 

Trata-se, tratar se
do, de o
segundo, segundo
mais, mais
importante, importante
título, título
europeu, europeu
interclubes, interclube
., .
No, em o
primeiro, primeiro
jogo, jogo
,, ,
o, o
Parma, Parma
venceu, vencer
por, por
1, 1
a, a
0, 0
., .
Leva, Leva
vantagem, vantagem
neste, em este
confronto, confronto
que, que
será, ser
realizado, realizar
no, em o
estádio, estádio
de, de
San, San
Siro, Siro
., .

, 

Os, o
ingressos, ingresso
já, já
se, se
esgotaram, esgotar
antecipadamente, antecipadamente
., .
A, o
previsão, previsão
é, ser
de, de
um, um
maior, grande
número, número
de, de
torcedores, torcedor
alvinegros, alvinegro
porque, porque
,, ,
mesmo, mesmo
jogando, jogar
em, em
Milão, Milão
,, ,
a, a
Juventus, Juventus
tem, ter
o, o
mando, mar
do, de o
jogo, jogo
., .

, 

No, em o
domingo, domingo
,, ,
os, o
dois, dois
times, time
voltam, voltar
a, a
se, se
enfrentar, enfrentar
em, em
mais, mais
uma, um
partida, partida
decisiva, decisivo
no, em o
Campeonato, Campeonato
Italiano, Italiano
de, de
94/95, 94/95
., .
Desta, desta
feita, feita
,, ,
será, ser
na, em o
casa, casa
da, de o
Juve, Juve
,, ,
em, em
Turim, Turim
,, ,
e, e
a, o
Velha, Velho
Senhora, Senhora
leva, levar
a, o
vantagem, vantagem
., .

, 

Com, com
um, um
empate, empate
ela, ela
fica, ficar
matematicamente, matematicamente
com, com
o, o
título, título
., .
Mas, mas
,, ,
mesmo, mesmo
que, que
o, o
Parma, Parma
ganhe, ganhar
,, ,
a, o
diferença, diferença
de, de
pontos, ponto
é, ser
tão, tão
grande, grande
a, a
favor, favor
da, de o
Juve, Juve
que, que
dificilmente, dificilmente
o, ele
`, `
`, `
scudetto, scudetto
'', ''
escapará, escapar
de, de
seus, seu
pés, pé
., .

, 

Depois, depois
,, ,
nos, em o
dias, dia
7, 7
e, e
11, 11
de, de
junho, junho
,, ,
os, o
dois, dois
times, time
voltam, voltar
a, a
se, se
enfrentar, enfrentar
em, em
partidas, partida
decisivas, decisivo
_, _
desta, de $2e
vez, vez
,, ,
para, para
escolher, escolher
qual, qual
deles, de eles
ficará, ficar
com, com
a, o
Copa, Copa
da, de o
Itália, Itália
., .

, 

E, e
,, ,
ufa, ufa
!, !
,, ,
no, em o
dia, dia
23, 23
de, de
agosto, agosto
,, ,
entram, entrar
em, em
campo, campo
novamente, novamente
para, para
definir, definir
o, o
novo, novo
patrão, patrão
da, de o
chamada, chamado
Supercopa, Supercopa
Italiana, Italiana
., .
Está, estar
criada, criado
mais, mais
uma, um
rivalidade, rivalidade
para, para
sempre, sempre
no, em o
futebol, futebol
italiano, italiano
., .

, 

O, o
grande, grande
personagem, personagem
na, em o
reta, reta
final, final
da, de o
temporada, temporada
do, de o
futebol, futebol
italiano, italiano
,, ,
além, além
da, de o
crise, crise
financeira, financeiro
,, ,
não, não
é, ser
nenhuma, nenhum
das, de o
estrelas, estrela
dos, de o
milionários, milionário
elencos, elenco
., .

, 

Ele, ele
chama-se, chamar se
Marcello, Marcello
Lippi, Lippi
,, ,
tem, ter
47, 47
anos, ano
e, e
é, ser
um, um
típico, típico
homem, homem
de, de
Gênova, Gênova
_, _
onde, onde
foi, ser
jogador, jogador
da, de o
Sampdoria, Sampdoria
., .

, 

Lippi, Lippi
é, ser
o, o
técnico, técnico
da, de o
Juventus, Juventus
e, e
apontado, apontar
como, como
o, o
principal, principal
responsável, responsável
pela, por o
volta, volta
do, de o
`, `
`, `
scudetto, scudetto
'', ''
a, o
Turim, Turim
,, ,
depois, depois
de, de
uma, um
longa, longo
hegemonia, hegemonia
milanesa, milanês
., .

, 

Ele, ele
é, ser
considerado, considerar
como, como
um, um
excelente, excelente
montador, montador
de, de
time, time
,, ,
isto, isto
é, ser
,, ,
como, como
um, um
formatador, formatador
de, de
padrão, padrão
tático, tático
de, de
jogo, jogo
., .

, 

Alguns, algum
mais, mais
afoitos, afoito
já, já
comparam, compar
a, o
Juve, Juve
de, de
Lippi, Lippi
ao, a o
glorioso, glorioso
Milan, Milan
dos, de o
tempos, tempo
de, de
Arrigo, Arrigo
Sacchi, Sacchi
(, (
taí, taíer
um, um
bom, bom
paralelismo, paralelismo
para, para
o, o
Silvio, Silvio
Lancellotti, Lancellotti
estabelecer, estabelecer
), )
., .

, 

O, o
próprio, próprio
Sacchi, Sacchi
anda, andar
elogiando, elogiar
diplomaticamente, diplomaticamente
o, o
trabalho, trabalho
de, de
Lippi, Lippi
., .
Mas, mas
,, ,
mesmo, mesmo
na, em o
Itália, Itália
,, ,
é, ser
bom, bom
ir, ir
devagar, devagar
com, com
o, o
andor, andor
porque, porque
o, o
santo, santo
pode, poder
não, não
ser, ser
do, de o
metal, metal
precioso, precioso
que, que
se, se
imagina, imaginar
., .

, 

Lippi, Lippi
,, ,
com, com
boa, bom
formação, formação
,, ,
genro, genro
de, de
um, um
ator, ator
muito, muito
conhecido, conhecer
em, em
Gênova, Gênova
(, (
Gianni, Gianni
Barabino, Barabino
), )
,, ,
não, não
cai, cair
na, em o
onda, onda
., .

, 

Diz, dizer
que, que
,, ,
ainda, ainda
sem, sem
um, um
título, título
na, em o
mão, mão
,, ,
não, não
se, se
pode, poder
celebrar, celebrar
nada, nada
., .

, 

Na, em o
escala, escala
em, em
Londres, Londres
,, ,
deu, dar
para, para
ver, ver
a, o
loucura, loucura
no, em o
futebol, futebol
inglês, inglês
,, ,
com, com
o, o
Blackburn, Blackburn
conquistando, conquistar
um, um
título, título
depois, depois
de, de
80, 80
anos, ano
., .
Como, como
se, se
vê, ver
,, ,
a, o
Lusinha, Lusinha
também, também
tem, ter
chances, chance
este, este
ano, ano
., .
Ciao, ciao
., .

, 

PS, PS
:, :
a, a
Yoko, Yoko
Ono, Ono
está, estar
aqui, aqui
no, em o
hotel, hotel
., .

, 

Matinas, Matinas
Suzuki, Suzuki
Jr., Jr.
visita, visitar
a, o
Itália, Itália
a, a
convite, convite
da, de o
Alfa, Alfa
Romeo, Romeo

, 

