A, ﻿A
volta, voltar
do, de o
time, time
principal, principal
do, de o
Corinthians, Corinthians
., .
Mais, mais
ainda, ainda
:, :
estrelado, estrelar
pelo, por o
cestinha, cestinha
Oscar, Oscar
Schmidt, Schmidt
,, ,
o, o
mais, mais
destacado, destacar
jogador, jogador
do, de o
basquete, basquete
brasileiro, brasileiro
,, ,
que, que
está, estar
na, em o
Espanha, Espanha
., .

, 

Essa, esse
é, ser
a, o
negociação, negociação
que, que
pode, poder
ser, ser
concluída, concluir
nos, em o
próximos, próximo
dias, dia
e, e
deve, dever
causar, causar
grande, grande
reviravolta, reviravolta
na, em o
crise, crise
de, de
patrocinadores, patrocinador
enfrentada, enfrentar
pelo, por o
basquete, basquete
paulista, paulista
., .

, 

O, o
projeto, projeto
é, ser
reativar, reativar
o, o
time, time
sem, sem
qualquer, qualquer
ônus, ônus
para, para
os, o
cofres, cofr
do, de o
Corinthians, Corinthians
,, ,
com, com
patrocínio, patrocínio
de, de
empresas, empresa
privadas, privado
., .

, 

`, `
`, `
Tudo, tudo
está, estar
bem, bem
encaminhado, encaminhar
., .
Já, já
enviei, enviar
uma, um
minuta, minuta
do, de o
contrato, contrato
para, para
o, o
Oscar, oscar
., .
O, o
projeto, projeto
é, ser
grande, grande
'', ''
,, ,
afirmou, afirmar
o, o
empresário, empresário
Carlos, Carlos
Rayel, Rayel
,, ,
articulador, articulador
do, de o
plano, plano
., .

, 

Atual, atual
superintendente, superintendente
da, de o
TV, tv
Manchete, Manchete
e, e
ex-assessor, ex-assessor
do, de o
político, político
Orestes, Orestes
Quércia, Quércia
,, ,
Rayel, Rayel
vem, vir
atuando, atuar
no, em o
basquete, basquete
nos, em o
últimos, último
anos, ano
como, como
dirigente, dirigente
da, de o
equipe, equipe
de, de
Jales, Jales
(, (
580, 580
km, km
a, a
noroeste, noroeste
de, de
São, São
Paulo, Paulo
), )
,, ,
da, de o
categoria, categoria
principal, principal
., .

, 

Também, também
estão, estar
sendo, ser
sondados, sondar
técnicos, técnico
para, para
o, o
comando, comando
do, de o
time, time
., .

, 

Existe, Existe
interesse, interesse
em, em
Cláudio, Cláudio
Mortari, Mortari
,, ,
da, de o
equipe, equipe
de, de
Rio, Rio
Claro, Claro
,, ,
atual, atual
bicampeã, bicampeã
paulista, paulista
e, e
campeã, campeã
brasileira, brasileiro
,, ,
e, e
Ary, Ary
Vidal, Vidal
,, ,
que, que
comanda, comandar
a, o
seleção, seleção
nacional, nacional
., .

, 

Mortari, Mortari
também, também
tem, ter
proposta, proposta
da, de o
nova, novo
equipe, equipe
do, de o
Report, Report
,, ,
de, de
Mogi, Mogi
da, de o
Cruzes, Cruzes
(, (
SP, SP
), )
., .

, 

