O, ﻿O
jogo, jogo
desta, de este
noite, noite
/, /
madrugada, madrugada
que, que
decide, decidir
o, o
Aberto, Aberto
da, de o
Austrália, Austrália
pode, poder
ser, ser
monótono, monótono
e, e
aborrecido, aborrecir
., .
Basta, Basta
Pete, Pete
Sampras, Sampras
ratificar, ratificar
sua, seu
condição, condição
de, de
melhor, bom
tenista, tenista
do, de o
mundo, mundo
e, e
destruir, destruir
os, o
sonhos, sonho
de, de
seu, seu
compatriota, compatriota
Todd, Todd
Martin, Martin
em, em
três, três
tranquilos, tranquilo
sets, sets
., .
Mas, mas
há, haver
chance, chance
de, de
que, que
a, o
lógica, lógico
abandone, abandone
o, o
Flinders, Flinders
Park, Park
., .
Martin, Martin
dá, dar
sinais, sinal
de, de
que, que
pode, poder
virar, virar
herói, herói
em, em
Melbourne, Melbourne
., .

, 

Sinais, sinais
tímidos, tímido
,, ,
é, ser
verdade, verdade
,, ,
mas, mas
suficientes, suficiente
para, para
a, o
especulação, especulação
., .
Nos, em o
últimos, último
dois, dois
jogos, jogo
,, ,
Martin, Martin
venceu, vencer
cinco, cinco
tie-breaks, tie-breaks
,, ,
dois, dois
contra, contra
MaliVai, MaliVai
Washington, Washington
e, e
três, três
contra, contra
Stefan, Stefan
Edberg, Edberg
., .
No, em o
piso, piso
rápido, rápido
utilizado, utilizar
no, em o
torneio, torneio
,, ,
é, ser
prova, prova
incontestável, incontestável
de, de
que, que
está, estar
sacando, sacar
muito, muito
bem, bem
., .

, 

Sampras, Sampras
chegou, chegar
perto, perto
da, de o
perfeição, perfeição
ao, a o
arrasar, arrasar
Jim, Jim
Courier, Courier
nas, em o
semifinais, semifinal
em, em
três, três
sets, set
,, ,
6/3, 6/3
,, ,
6/4, 6/4
e, e
6/4, 6/4
., .
Courier, Courier
tentava, tentar
o, o
terceiro, terceiro
título, título
na, em o
Austrália, Austrália
e, e
jogou, jogar
bem, bem
,, ,
mas, mas
foi, ser
totalmente, totalmente
dominado, dominar
., .
Para, para
superar, superar
Sampras, Sampras
,, ,
Martin, Martin
vai, ir
ter, ter
que, que
mostrar, mostrar
ainda, ainda
mais, mais
do, de o
que, que
exibiu, exibir
ao, a o
vencer, vencer
Edberg, Edberg
por, por
3/6, 3/6
,, ,
7/6, 7/6
(, (
9/7, 9/7
), )
,, ,
7/6, 7/6
(, (
9/7, 9/7
), )
e, e
7/6, 7/6
(, (
7/4, 7/4
), )
., .

, 

Aos, a o
23, 23
anos, ano
,, ,
Martin, Martin
começa, começar
bem, bem
a, o
temporada, temporada
depois, depois
de, de
um, um
ano, ano
espetacular, espetacular
em, em
93, 93
,, ,
quando, quando
subiu, subir
mais, mais
de, de
60, 60
posições, posição
no, em o
ranking, ranking
., .
Atualmente, atualmente
,, ,
é, ser
o, o
12º, 12º
colocado, colocado
,, ,
com, com
chances, chance
de, de
entrar, entrar
no, em o
grupo, grupo
dos, de o
`, `
`, `
top, top
ten, tener
'', ''
a, a
partir, partir
de, de
segunda-feira, segunda-feira
,, ,
graças, graças
à, a o
montanha, montanha
de, de
pontos, ponto
que, que
assegurou, assegurar
em, em
Melbourne, Melbourne
., .

, 

Martin, Martin
tem, ter
um, um
perfil, perfil
singular, singular
., .
Seu, seu
currículo, currículo
não, não
impressiona, impressionar
à, a o
primeira, primeira
vista, vista
., .
Ganhou, Ganhou
apenas, apenas
um, um
título, título
,, ,
no, em o
ano, ano
passado, passado
em, em
Coral, Coral
Springs, Springs
,, ,
e, e
menos, menos
de, de
US$, US$
1, 1
milhão, milhão
em, em
prêmios, prêmio
., .
Quem, quem
se, se
der, dar
ao, a o
trabalho, trabalho
de, de
checar, checar
o, o
histórico, histórico
de, de
seus, seu
confrontos, confronto
,, ,
no, em o
entanto, entanto
,, ,
verá, ver
que, que
Martin, Martin
acumula, acumular
vitórias, vitória
sobre, sobre
Andre, Andre
Agassi, Agassi
,, ,
Michael, Michael
Chang, Chang
,, ,
Boris, Boris
Becker, Becker
,, ,
Goran, Goran
Ivanisevic, Ivanisevic
e, e
Wayne, Wayne
Ferreira, Ferreira
., .

, 

Com, com
1,98, 1,98
m, m
,, ,
Martin, Martin
passou, passar
toda, todo
a, o
sua, seu
carreira, carreira
sendo, ser
treinado, treinar
para, para
o, o
jogo, jogo
junto, junto
à, a o
rede, rede
,, ,
na, em o
base, base
do, de o
saque, saque
e, e
voleio, voleio
., .
Apenas, apenas
nos, em o
dois, dois
últimos, último
anos, ano
o, o
jogador, jogador
decidiu, decidir
jogar, jogar
como, como
gosta, gostar
,, ,
com, com
sólidos, sólido
golpes, golpe
da, de o
linha, linha
de, de
base, base
., .
Esse, esse
estilo, estilo
será, ser
um, um
obstáculo, obstáculo
hoje, hoje
., .
Para, para
ter, ter
chances, chance
de, de
vencer, vencer
em, em
Melbourne, Melbourne
,, ,
terá, ter
que, que
subir, subir
à, a o
rede, rede
., .
Se, se
Martin, Martin
optar, optar
por, por
trocar, trocar
bolas, bola
do, de o
fundo, fundo
,, ,
Sampras, Sampras
parte, parter
para, para
o, o
massacre, massacre
., .

, 

NA, NA
TV, tv

, 

Bandeirantes, Bandeirante
,, ,
às, a o
23h50, 23h50

, 

