Os, ﻿Os
testes, teste
que, que
a, o
Williams, Williams
realiza, realizar
hoje, hoje
no, em o
Estoril, Estoril
abrem, abrir
a, o
temporada, temporada
94, 94
de, de
F-1, F-1
e, e
,, ,
junto, junto
,, ,
acionam, acionar
o, o
", "
especulômetro, especulômetro
", "
da, de o
categoria, categoria
., .
O, o
mercado, mercado
de, de
pilotos, piloto
voltou, voltar
a, a
ferver, ferver
,, ,
já, já
que, que
faltam, faltar
algumas, algum
boas, boa
vagas, vaga
a, a
serem, ser
preenchidas, preenchir
., .
Veja, Veja
a, a
seguir, seguir
o, o
que, que
se, se
comenta, comentar
na, em o
Europa, Europa
sobre, sobre
a, o
montagem, montagem
dos, de o
times, time
,, ,
que, que
deve, dever
ser, ser
concluída, concluir
até, até
o, o
final, final
do, de o
mês, mês
., .

, 

Gerhard, Gerhard
Berger, Berger
,, ,
brigado, brigar
com, com
Alesi, alesi
na, em o
Ferrari, Ferrari
,, ,
é, ser
o, o
segundo, segundo
na, em o
lista, lista
da, de o
McLaren, McLaren
para, para
substituir, substituir
Senna, Senna
., .
Dennis, Dennis
não, não
descarta, descartar
a, o
possibilidade, possibilidade
de, de
fazer, fazer
uma, um
oferta, oferta
ao, a o
austríaco, austríaco
se, se
as, o
negociações, negociação
com, com
o, o
francês, francês
emperrarem, emperrar
., .
(, (
FG, FG
), )

, 

