A, ﻿A
maioria, maioria
das, de o
equipes, equipe
que, que
participou, participar
da, de o
23ª, 23ª
Mil, Mil
Milhas, Milhas
Brasileiras, Brasileiras
não, não
respeitou, respeitar
o, o
regulamento, regulamento
da, de o
competição, competição
sobre, sobre
segurança, segurança
nos, em o
boxes, boxe
., .
Os, o
responsáveis, responsável
pelo, por o
reabastecimento, reabastecimento
dos, de o
carros, carro
não, não
estavam, estar
com, com
o, o
equipamento, equipamento
de, de
segurança, segurança
exigido, exigir
no, em o
artigo, artigo
39, 39
., .
", "
O, o
responsável, responsável
pela, por o
operação, operação
de, de
reabastecimento, reabastecimento
deverá, dever
obrigatoriamente, obrigatoriamente
utilizar, utilizar
vestimenta, vestimenta
completa, completo
,, ,
macacão, macacão
,, ,
luvas, luva
,, ,
botas, bota
e, e
balaclava, balaclar
(, (
proteção, proteção
para, para
a, o
cabeça, cabeça
e, e
rosto, rosto
), )
,, ,
de, de
preferência, preferência
', '
anti-fogo, anti-fogo
', '
revestidos, revestir
de, de
amianto, amianto
", "
., .

, 

Com, com
a, o
exceção, exceção
das, de o
grandes, grande
equipes, equipe
,, ,
nenhuma, nenhum
respeitou, respeitar
a, o
exigência, exigência
., .
Os, o
", "
responsáveis, responsável
", "
estavam, estar
sem, sem
capacete, capacete
,, ,
luvas, luva
ou, ou
botas, boto
., .
Alguns, algum
usavam, usar
o, o
macacão, macacão
,, ,
mas, mas
os, o
outros, outro
acessórios, acessório
eram, ser
substituídos, substituír
por, por
tênis, tênis
e, e
bonés, boné
., .

, 

O, o
coordenador-geral, coordenador-geral
da, de o
prova, prova
,, ,
José, José
Roberto, Roberto
Beilstrein, Beilstrein
,, ,
disse, dizer
que, que
,, ,
se, se
fossem, ser
observadas, observar
todas, todo
as, o
exigências, exigência
,, ,
40, 40
%, %
dos, de o
carros, carro
nacionais, nacional
teriam, ter
que, que
ser, ser
excluídos, excluír
da, de o
corrida, corrida
., .
", "
Por, por
isso, isso
não, não
é, ser
possível, possível
um, um
maior, grande
rigor, rigor
", "
,, ,
afirmou, afirmar
., .

, 

O, o
presidente, presidente
da, de o
CBA, CBA
,, ,
Reginaldo, Reginaldo
Bufaiçal, Bufaiçal
,, ,
disse, dizer
que, que
pretende, pretender
multar, multar
o, o
Centauro, Centauro
Motor, Motor
Clube, Clube
,, ,
presidido, presidir
por, por
Beilstrein, Beilstrein
,, ,
que, que
organiza, organizar
o, o
evento, evento
,, ,
por, por
estes, este
e, e
outros, outro
problemas, problema
,, ,
como, como
o, o
excesso, excesso
de, de
pessoas, pessoa
na, em o
área, área
dos, de o
boxes, boxe
., .

, 

O, o
incêndio, incêndio
que, que
queimou, queimar
sete, sete
pessoas, pessoa
no, em o
boxe, boxe
15, 15
foi, ser
uma, um
consequência, consequência
", "
menor, pequeno
", "
diante, diante
das, de o
probabilidades, probabilidade
de, de
catástrofe, catástrofe
que, que
se, se
avizinharam, avizinhar
durante, durante
a, o
corrida, corrida
em, em
Interlagos, Interlagos
., .
(, (
Moraes, Moraes
Eggers, Eggers
), )

, 

