Meus, ﻿Meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
de, de
que, que
fonte, fontar
o, o
time, time
do, de o
São, São
Paulo, Paulo
colhe, colher
as, o
suas, seu
promessas, promessa
de, de
plenitude, plenitude
na, em o
ponta-esquerda, ponta-esquerda
?, ?

, 

O, o
ataque, ataque
(, (
que, que
inclui, incluir
o, o
sax-simbol, sax-simbol
Jamelli, Jamelli
e, e
o, o
esperto, esperto
Guilherme, Guilherme
), )
se, se
completou, completar
,, ,
no, em o
último, último
domingo, domingo
,, ,
com, com
os, o
", "
raids, raids
", "
pela, por o
esquerda, esquerda
do, de o
piloto, piloto
da, de o
caça-bombardeiro, caça-bombardeiro
Toninho, Toninho
atirando, atirar
para, para
a, o
área, área
do, de o
Flamengo, Flamengo
., .

, 

Mas, mas
,, ,
da, de o
mesma, mesmo
maneira, maneira
como, como
,, ,
tradicionalmente, tradicionalmente
,, ,
é, ser
fácil, fácil
para, para
o, o
Morumbi, Morumbi
revelar, revelar
promessas, promessa
de, de
fazedores, fazedor
de, de
felicidade, felicidade
do, de o
flanco, flanco
esquerdo, esquerdo
,, ,
é, ser
igualmente, igualmente
misterioso, misterioso
o, o
destino, destino
destes, de este
seres, ser
endiabrados, endiabrado
., .

, 

Lembro-me, Lembro-me
disto, de isto
pensando, pensar
em, em
um, um
ponta, ponta
do, de o
mérito, mérito
e, e
da, de o
acrobacia, acrobacia
de, de
um, um
Elivélton, Elivélton
,, ,
por, por
exemplo, exemplo
., .
Ou, ou
nas, em o
ilusões, ilusão
perdidas, perdir
de, de
uma, um
grande, grande
esperança, esperança
,, ,
o, o
Sidnei, Sidnei
(, (
que, que
,, ,
aliás, aliás
,, ,
é, ser
irmão, irmão
deste, de este
perigosíssimo, perigosíssimo
Toninho, Toninho
), )
., .

, 

Não, não
sei, saber
bem, bem
a, o
razão, razão
,, ,
mas, mas
é, ser
também, também
intrigante, intrigante
que, que
a, o
lenda, lenda
atribua, atribuar
ao, a o
Saci, saci
apenas, apenas
a, o
perna, perno
esquerda, esquerdo
., .
Como, como
a, o
mitologia, mitologia
é, ser
quase, quase
sempre, sempre
politicamente, politicamente
incorreta, incorreto
,, ,
a, o
idéia, idéia
do, de o
preto, preto
canhoto, canhoto
estaria, estar
ligada, ligar
à, a o
marotice, marotice
e, e
a, a
algum, algum
infortúnio, infortúnio
., .

, 

É, ser
certo, certo
que, que
a, o
literatura, literatura
e, e
o, o
desenho, desenho
infantís, infantís
", "
simpatizaram, simpatizar
", "
a, o
figura, figura
do, de o
Saci, Saci
., .
E, e
os, o
grandes, grande
Canhoteiros, Canhoteiros
se, se
encarregaram, encarregar
de, de
enterrar, enterrar
esta, este
imagem, imagem
para, para
o, o
futebol, futebol
., .

, 

Mas, mas
por, por
que, que
será, ser
que, que
o, o
Morumbi, Morumbi
,, ,
casa, casa
pródiga, pródigo
na, em o
tecnologia, tecnologia
de, de
ponta-esquerda, ponta-esquerda
,, ,
só, só
vem, vir
dando, dar
certo, certo
por, por
aquele, aquele
setor, setor
com, com
o, o
Muller, Muller
,, ,
uma, um
espécie, espécie
de, de
feliz, feliz
desterrado, desterrar
da, de o
ponta-direita, ponta-direita
?, ?

, 

Beleza, Beleza

, 

Por, por
falar, falar
em, em
São, São
Paulo, Paulo
,, ,
que, que
beleza, beleza
ein, ein
,, ,
moçadinha, Moçadinha
?, ?
Rolo, rolo
compressor, compressor
,, ,
máquina, máquina
mortífera, mortíferar
,, ,
serial, serial
killer, killer
., .
O, o
melhor, bom
do, de o
melhor, bom
da, de o
teen, teen
bolada, bolar
., .
Wow, Wow
!, !

, 

Caso, caso
Raí, Raí

, 

O, o
", "
Cartão, Cartão
Verde, Verde
", "
do, de o
último, último
domingo, domingo
tocou, tocar
na, em o
delicadíssima, delicadíssimo
questão, questão
Raí, Raí
., .
Em, em
termos, termos
psicanalíticos, psicanalítico
,, ,
acho, achar
que, que
o, o
Raí, Raí
é, ser
mais, mais
um, um
caso, caso
de, de
psicose, psicose
do, de o
que, que
de, de
carência, carência
motora, motor
., .

, 

Sem, sem
ser, ser
um, um
gênio, gênio
como, como
o, o
seu, seu
irmão, irmão
Sócrates, Sócrates
,, ,
no, em o
entanto, entanto
,, ,
tem, ter
um, um
ótimo, bom
domínio, domínio
de, de
bola, bola
,, ,
uma, um
forte, forte
arrancada, arrancada
,, ,
é, ser
um, um
eficiente, eficiente
organizador, organizador
de, de
jogadas, jogada
e, e
um, um
frio, frio
finalizador, finalizador
., .
Só, só
que, que
tem, ter
alguma, algum
psicose, psicose
que, que
lhe, ele
dá, dar
um, um
pouco, pouco
este, este
ar, ar
lânguido, lânguer
., .

, 

A, o
importância, importância
do, de o
Raí, Raí
hoje, hoje
é, ser
mais, mais
simbólica, simbólico
do, de o
que, que
concreta, concreto
., .

, 

Mais, mais
do, de o
que, que
nenhum, nenhum
outro, outro
jogador, jogador
,, ,
ele, ele
evoca, evocar
o, o
renascimento, renascimento
do, de o
futebol, futebol
brasileiro, brasileiro
dos, de o
nossos, nosso
dias, dia
,, ,
com, com
a, o
sucessão, sucessão
de, de
vitórias, vitória
que, que
conquistou, conquistar
junto, junto
com, com
o, o
São, São
Paulo, Paulo
nos, em o
últimos, último
anos, ano
., .

, 

Raí, raí
talvez, talvez
não, não
seja, ser
mesmo, mesmo
o, o
melhor, bom
jogador, jogador
brasileiro, brasileiro
da, de o
atualidade, atualidade
., .
Mas, mas
o, o
mundo, mundo
inteiro, inteiro
reconheceu, reconhecer
nele, em ele
o, o
ressurgimento, ressurgimento
da, de o
força, força
incomensurável, incomensurável
do, de o
futebol, futebol
desta, de este
terra, terra
., .

, 

Para, para
ele, ele
,, ,
se, se
estenderam, estender
todos, todo
os, o
tapetes, tapete
verdes, verde
., .
Este, este
poder, poder
simbólico, simbólico
pode, poder
valer, valer
uma, um
Copa, Copa
do, de o
Mundo, Mundo
., .

, 

Raí, Raí
não, não
é, ser
intocável, intocável
., .
Mas, mas
o, o
planeta, planeta
futebol, futebol
inteirinho, inteirinho
sabe, saber
que, que
quem, quem
é, ser
Raí, Raí
não, não
perderá, perder
a, o
majestade, majestade
., .

, 

Cult, Cult

, 

O, o
cult, cult
jornal, jornal
nova-iorquino, nova-iorquino
", "
Village-Voice, Village-Voice
", "
colocou, colocar
o, o
desaparecido, desaparecido
time, time
de, de
futebol, futebol
da, de o
Zâmbia, Zâmbia
como, como
o, o
segundo, segundo
melhor, bom
time, time
de, de
qualquer, qualquer
esporte, esporte
coletivo, coletivo
de, de
1993, 1993
(, (
o, o
primeiro, primeiro
foi, ser
o, o
Chicago, Chicago
Bulls, Bulls
,, ,
da, de o
NBA, NBA
), )
., .
Depois, depois
escolheu, escolher
o, o
Deportivo, Deportivo
La, La
Coruña, Coruña
em, em
23º, 23º
,, ,
a, o
seleção, seleção
do, de o
México, México
em, em
30º, 30º
,, ,
o, o
Milan, Milan
em, em
31º, 31º
e, e
o, o
São, São
Paulo, Paulo
., .
Em, em
58º., 58º.

, 

Matinas, Matinas
Suzuki, Suzuki
Jr., Jr.
escreve, escrever
nesta, em este
coluna, coluna
às, a o
terças, terça
,, ,
quintas, quintas
e, e
sábados, sábado
., .

, 

