Ao, ﻿Ao
contrário, contrário
das, de o
etapas, etapa
anteriores, anterior
da, de o
temporada, temporada
,, ,
o, o
GP, GP
da, de o
Espanha, Espanha
de, de
F-1, F-1
foi, ser
marcado, marcar
pela, por o
monotonia, monotonia
e, e
pela, por o
falta, falta
de, de
ultrapassagens, ultrapassagem
., .

, 

À, a o
exceção, exceção
da, de o
última, último
volta, volta
,, ,
quando, quando
Damon, Damon
Hill, Hill
e, e
Rubens, Rubens
Barrichello, Barrichello
perderam, perder
posições, posição
por, por
falhas, falha
mecânicas, mecânico
em, em
seu, seu
carros, carro
,, ,
em, em
raros, raro
momentos, momento
houve, haver
alteração, alteração
de, de
posição, posição
na, em o
pista, pista
., .

, 

Até, até
mesmo, mesmo
o, o
esperado, esperar
efeito, efeito
do, de o
reabastecimento, reabastecimento
se, se
tornou, tornar
inócuo, inócuo
., .

, 

Sem, sem
contar, contar
a, o
Benetton, Benetton
,, ,
a, o
maioria, maioria
dos, de o
outros, outro
times, time
fizeram, fazer
três, três
paradas, parada
durante, durante
a, o
corrida, corrida
de, de
forma, forma
mais, mais
ou, ou
menos, menos
sincronizada, sincronizar
., .

, 

Quando, quando
o, o
primeiro, primeiro
parava, parar
,, ,
já, já
se, se
sabia, saber
que, que
os, o
outros, outro
fariam, far
o, o
mesmo, mesmo
nas, em o
voltas, volta
seguintes, seguinte
,, ,
tornando, tornar
o, o
processo, processo
burocrático, burocrático
e, e
sem, sem
alternativas, alternativa
., .

, 

O, o
time, time
de, de
Michael, Michael
Schumacher, Schumacher
encontrou, encontrar
um, um
acerto, acerto
ideal, ideal
para, para
seus, seu
carros, carro
,, ,
lhe, ele
dando, dar
a, o
opção, opção
de, de
apenas, apenas
duas, dois
paradas, parada
., .

, 

Ninguém, ninguém
mais, mais
obteve, obter
tal, tal
vantagem, vantagem
,, ,
que, que
fez, fazer
o, o
alemão, alemão
chegar, chegar
cerca, cerca
de, de
50, 50
segundos, segundo
à, a o
frente, frente
do, de o
companheiro, companheiro
,, ,
Johnny, Johnny
Herbert, Herbert
., .

, 

Se, se
faltou, faltar
à, a o
corrida, corrida
emoção, emoção
,, ,
sobrou, sobrar
talento, talento
para, para
Schumacher, Schumacher
e, e
,, ,
segundo, segundo
ele, ele
mesmo, mesmo
,, ,
ao, a o
seu, seu
time, time
., .
Deram, Deram
um, um
show, show
que, que
,, ,
de, de
tão, tão
grande, grande
,, ,
acabou, acabar
ofuscando, ofuscar
o, o
próprio, próprio
espetáculo, espetáculo
., .

, 

Os, o
raros, raro
momentos, momento
de, de
tensão, tensão
foram, ser
preenchidos, preencher
com, com
alguns, algum
princípios, princípio
de, de
incêndio, incêndio
imediatamente, imediatamente
debelados, debelar
_, _
um, um
na, em o
pista, pista
(, (
quando, quando
David, David
Coulthard, Coulthard
parou, parar
), )
e, e
outros, outro
dois, dois
nos, em o
boxes, boxe
(, (
Bertrand, Bertrand
Gachot, Gachot
,, ,
da, de o
Pacific, Pacific
,, ,
e, e
Taki, Taki
Inoue, Inoue
,, ,
da, de o
Arrows, Arrows
), )
., .

, 

Sem, sem
contar, contar
a, o
inédita, inédito
cena, cena
vivida, viver
por, por
Herbert, Herbert
que, que
,, ,
em, em
sua, seu
segunda, segundo
parada, parada
,, ,
arrancou, arrancar
com, com
a, o
alavanca, alavanca
utilizada, utilizar
como, como
`, `
`, `
macaco, macaco
'', ''
presa, presa
na, em o
traseira, traseira
de, de
seu, seu
carro, carro
., .

, 

Ela, ela
se, se
soltou, soltar
algumas, algum
dezenas, dezena
de, de
metros, metro
depois, depois
., .

, 

O, o
próprio, próprio
piloto, piloto
não, não
entendeu, entender
o, o
que, que
aconteceu, acontecer
., .
`, `
`, `
Quando, quando
saí, saí
,, ,
ouvi, ouvir
no, em o
rádio, rádio
:, :
`, `
Pare, Pare
,, ,
pare, pare
,, ,
pare, pare
', '
., .
Aí, aí
eu, eu
perguntei, perguntei
:, :
`, `
O, o
quê, quê
?, ?
', '
., .
Então, então
,, ,
responderam, responder
:, :
`, `
Vai, Vai
,, ,
vai, ir
,, ,
vai, ir
'', ''
', '
,, ,
contou, contar
Herbert, Herbert
mais, mais
tarde, tarde
., .

, 

De, de
qualquer, qualquer
forma, forma
,, ,
estes, este
acontecimentos, acontecimento
não, não
foram, ser
suficientes, suficiente
para, para
quebrar, quebrar
o, o
domínio, domínio
absoluto, absoluto
de, de
Schumacher, Schumacher
na, em o
pista, pista
., .

, 

Resta, restar
saber, saber
se, se
este, este
regime, regime
será, ser
perpetuado, perpetuar
nas, em o
próximas, próximo
provas, prova
., .

, 

(, (
JHM, JHM
), )

, 

