A, ﻿A
Portuguesa, Portuguesa
enfrenta, enfrentar
o, o
XV, XV
de, de
Piracicaba, Piracicaba
hoje, hoje
,, ,
às, a o
21h10, 21h10
,, ,
no, em o
Canindé, Canindé
,, ,
em, em
busca, busca
de, de
sua, seu
`, `
`, `
segunda, segundo
meta, meta
'', ''
neste, em este
Campeonato, Campeonato
Paulista, Paulista
., .

, 

Com, com
42, 42
pontos, ponto
e, e
ocupando, ocupar
o, o
segundo, segundo
lugar, lugar
na, em o
tabela, tabela
,, ,
o, o
time, time
está, estar
praticamente, praticamente
classificado, classificar
para, para
a, o
fase, fase
final, final
do, de o
campeonato, campeonato
., .

, 

O, o
objetivo, objetivo
passa, passar
ser, ser
o, o
ponto, ponto
extra, extra
,, ,
dado, dar
ao, a o
primeiro, primeiro
colocado, colocado
na, em o
fase, fase
de, de
classificação, classificação
., .

, 

", "
Nossa, nosso
primeira, primeiro
meta, meta
,, ,
que, que
era, ser
conseguir, conseguir
a, o
vaga, vaga
,, ,
já, já
foi, ser
atingida, atingir
., .
Agora, agora
vamos, ir
atrás, atrás
da, de o
segunda, segunda
,, ,
que, que
é, ser
alcançar, alcançar
o, o
São, São
Paulo, Paulo
(, (
45, 45
pontos, ponto
), )
e, e
lutar, lutar
pelo, por o
ponto, ponto
extra, extra
'', ''
,, ,
disse, dizer
o, o
atacante, atacante
Paulinho, Paulinho
., .

, 

Segundo, segundo
ele, ele
,, ,
o, o
time, time
vai, ir
jogar, jogar
no, em o
ataque, ataque
nas, em o
próximas, próximo
partidas, partida
., .

, 

", "
Vamos, ir
correr, correr
riscos, risco
,, ,
mas, mas
não, não
deixaremos, deixarer
jamais, jamais
de, de
atacar, atacar
'', ''
,, ,
confirmou, confirmar
o, o
técnico, técnico
Candinho, Candinho
., .

, 

O, o
XV, XV
joga, joga
desfalcado, desfalcar
do, de o
meio-campista, meio-campista
defensivo, defensivo
Doriva, Doriva
,, ,
chamado, chamar
para, para
a, o
seleção, seleção
brasileira, brasileiro
,, ,
que, que
enfrentou, enfrentar
ontem, ontem
Israel, Israel
., .

, 

É, ser
o, o
primeiro, primeiro
jogo, jogo
do, de o
Paulista, paulista
em, em
que, que
Doriva, Doriva
não, não
atua, atuar
., .
O, o
jogador, jogador
participou, participar
das, de o
23, 23
partidas, partida
da, de o
equipe, equipe
., .
Seu, seu
substituto, substituto
deverá, dever
ser, ser
o, o
meio-campista, meio-campista
Alex, Alex
., .

, 

PORTUGUESA, PORTUGUESA

, 

Paulo, Paulo
César, César
;, ;
Edinho, Edinho
,, ,
Jorginho, Jorginho
,, ,
Gilmar, Gilmar
e, e
Zé, Zé
Roberto, Roberto
(, (
Carlos, Carlos
Roberto, Roberto
), )
;, ;
Roque, roque
,, ,
Capitão, Capitão
,, ,
Caio, Caio
e, e
Zinho, Zinho
;, ;
Jorge, Jorge
Andrade, Andrade
e, e
Paulinho, Paulinho
., .
Técnico, Técnico
-, -
Candinho, Candinho

, 

XV, XV
DE, DE
PIRACICABA, PIRACICABA

, 

Anselmo, Anselmo
;, ;
Jaime, Jaime
,, ,
Biluca, Biluca
,, ,
Luís, Luís
Fernando, Fernando
e, e
Zinho, Zinho
;, ;
Alex, Alex
,, ,
Ivanildo, Ivanildo
,, ,
Almir, Almir
e, e
Celinho, Celinho
;, ;
Marcão, Marcão
e, e
Cláudio, Cláudio
Moura, Moura
., .
Técnico, Técnico
-, -
Rubens, Rubens
Minelli, Minelli

, 

Local, Local
  ,   
estádio, estádio
do, de o
Canindé, Canindé
,, ,
em, em
São, São
Paulo, Paulo

, 

Horário, Horário
  ,   
21h10, 21h10

, 

Juiz, Juiz
  ,   
José, José
Aparecido, Aparecido
de, de
Oliveira, Oliveira

, 

NA, NA
TV, tv

, 

Gols, Gols
nos, em o
telejornais, telejornal
noturno, noturno

, 

