Clima, ﻿Clima
seco, seco
de, de
deserto, deserto
_, _
306, 306
dias, dia
de, de
sol, sol
por, por
ano, ano
,, ,
temperatura, temperatura
média, médio
de, de
23, 23
graus, grau
., .
Relevo, Relevo
instigante, instigante
_, _
montanhas, montanha
,, ,
`, `
`, `
canyons, canyom
'', ''
,, ,
precipícios, precipício
,, ,
vales, vale
,, ,
rios, rio
,, ,
lagos, lago
., .
Vegetação, vegetação
inóspita, inóspito
_, _
arbustos, arbusto
rasteiros, rasteiro
,, ,
yuccas, yucco
,, ,
cactos, cacto
., .
Sim, sim
,, ,
você, você
acaba, acabar
de, de
desembarcar, desembarcar
no, em o
Arizona, Arizona
., .

, 

Para, para
suportar, suportar
o, o
calor, calor
,, ,
pegue, pegar
leve, levar
no, em o
começo, começo
., .
Faça, Faça
um, um
`, `
`, `
tour, tour
'', ''
de, de
reconhecimento, reconhecimento
., .
Phoenix, Phoenix
,, ,
a, o
capital, capital
,, ,
não, não
foge, fugir
à, a o
regra, regra
norte-americana, norte-americano
:, :
imponentes, imponente
arranha-céus, arranha-céu
_, _
mas, mas
não, não
muitos, muito
_, _
,, ,
shoppings, shoppings
,, ,
butiques, butique
,, ,
galerias, galeria
de, de
artes, arte
_, _
muitíssimas, muitíssima
_, _
e, e
restaurantes, restaurante
., .

, 

Depois, depois
,, ,
vá, ir
direto, direto
a, a
The, The
Old, Old
West, West
Scottsdale, Scottsdale
,, ,
cidadezinha, cidadezinhar
ao, a o
lado, lado
., .
Parece, parece
cenário, cenário
de, de
filme, filme
de, de
bangue-bangue, bangue-bangue
., .
Entre, entre
na, em o
Old, Old
West, West
Outfitters, Outfitters
e, e
transforme-se, transforme-se
num, em um
autêntico, autêntico
caubói, caubói
_, _
chapéu, chapéu
,, ,
bota, bota
e, e
tudo, tudo
mais, mais
., .
Invada, Invada
um, um
`, `
`, `
saloon, Saloon
'', ''
(, (
taverna, taverno
), )
,, ,
abasteça, abasteça
com, com
cervejas, cerveja
., .

, 

É, ser
hora, hora
de, de
radicalizar, radicalizar
., .
Nada, nada
de, de
conhecer, conhecer
a, o
região, região
da, de o
janela, janela
de, de
um, um
ônibus, ônibus
., .
Escolha, Escolha
uma, um
das, de o
dez, dez
aventuras, aventura
do, de o
cardápio, cardápio
:, :
alpinismo, alpinismo
,, ,
balão, balão
,, ,
bicicleta, bicicleta
,, ,
bote, bote
inflável, inflável
,, ,
caminhada, caminhar
,, ,
cavalo, cavalo
,, ,
diligência, diligência
,, ,
helicóptero, helicóptero
,, ,
jipe, jipe
ou, ou
avião, avião
monomotor, monomotor
., .

, 

Os, o
preços, preço
variam, variar
de, de
US$, US$
9, 9
/, /
R$, R$
8, 8
a, a
US$, US$
150, 150
/, /
R$, R$
135, 135
por, por
pessoa, pessoa
_, _
a, o
reserva, reserva
é, ser
feita, fazer
nos, em o
hotéis, hotel
., .

, 

Os, o
melhores, bom
cenários, cenário
para, para
essas, esse
aventuras, aventur
são, ser
em, em
Sedona, Sedona
(, (
duas, dois
horas, hora
de, de
carro, carro
), )
,, ,
Painted, Painted
Desert, Desert
/, /
Petrified, Petrified
Forest, Forest
(, (
três, três
horas, hora
e, e
meia, meia
), )
,, ,
Grande, Grande
Canyon, Canyon
(, (
quatro, quatro
horas, hora
), )
e, e
Lake, Lake
Lake, Lake
Powell, Powell
(, (
cinco, cinco
horas, hora
de, de
carro, carro
), )
_, _
veja, ver
mapa, mapa
acima, acima
., .

, 

Para, para
quem, quem
gosta, gostar
de, de
história, história
_, _
especialmente, especialmente
de, de
arqueologia, arqueologia
_, _
,, ,
vale, valer
conferir, conferir
pelo, por o
menos, menos
três, três
paradas, parada
no, em o
caminho, caminho
_, _
Montezuma, Montezuma
Castle, Castle
,, ,
Tuzigoot, Tuzigoot
National, National
Park, Park
e, e
Pueblo, Pueblo
/, /
Casa, Casa
Grande, Grande
., .

, 

(, (
Patrícia, Patrícia
Trudes, Trudes
da, de o
Veiga, Veiga
), )

, 

