Não, ﻿Não
foi, ser
apenas, apenas
o, o
desempenho, desempenho
da, de o
Benetton, Benetton
que, que
surpreendeu, surpreender
os, o
torcedores, torcedor
neste, em este
fim-de-semana, fim-de-semana
em, em
Barcelona, Barcelona
., .
A, o
má, má
performance, performance
dos, de o
carros, carro
da, de o
Williams, Williams
causou, causar
surpresa, surpresa
., .

, 

Durante, durante
os, o
treinos, treino
para, para
o, o
GP, GP
da, de o
Espanha, Espanha
,, ,
a, o
equipe, equipe
já, já
dava, dar
sinais, sinal
de, de
que, que
não, não
tinha, ter
encontrado, encontrar
o, o
melhor, bom
acerto, acerto
para, para
seus, seu
carros, carro
., .
No, em o
grid, grid
de, de
largada, largar
,, ,
David, David
Coultahrd, Coultahrd
era, ser
o, o
quarto, quarto
,, ,
seguido, seguir
por, por
Damon, Damon
Hill, Hill
,, ,
o, o
quinto, quinto
., .

, 

Na, em o
corrida, corrida
,, ,
a, o
dupla, dupla
teria, ter
a, o
chance, chance
de, de
alcançar, alcançar
a, o
segunda, segundo
e, e
terceira, terceiro
colocações, colocação
,, ,
caso, caso
seus, seu
carros, carro
não, não
tivessem, ter
falhado, falhar
., .

, 

O, o
escocês, escocês
abandonou, abandonar
na, em o
volta, volta
de, de
número, número
55, 55
,, ,
com, com
problemas, problema
de, de
câmbio, câmbio
_, _
parado, parar
,, ,
o, o
carro, carro
chegou, chegar
a, a
sofrer, sofrer
um, um
pequeno, pequeno
incêndio, incêndio
_, _
,, ,
enquanto, enquanto
Hill, Hill
sofreu, sofrer
uma, um
pane, pane
hidráulica, hidráulico
na, em o
última, último
volta, volta
,, ,
que, que
fez, fazer
com, com
que, que
ele, ele
chegasse, chegar
em, em
quarto, quarto
na, em o
classificação, classificação
., .

, 

O, o
inglês, inglês
chegou, chegar
mesmo, mesmo
a, a
rodar, rodar
na, em o
pista, pista
por, por
causa, causa
do, de o
problema, problema
,, ,
mas, mas
conseguiu, conseguir
conduzir, conduzir
seu, seu
carro, carro
até, até
alguns, algum
metros, metro
além, além
da, de o
bandeirada, bandeirada
., .

, 

`, `
`, `
Poderia, Poderia
ter, ter
mantido, manter
a, o
liderança, liderança
no, em o
Mundial, Mundial
e, e
isso, isso
já, já
seria, ser
suficiente, suficiente
em, em
um, um
fim-de-semana, fim-de-semana
tão, tão
ruim, ruim
para, para
nós, nós
'', ''
,, ,
declarou, declarar
., .

, 

Os, o
dois, dois
pilotos, piloto
minimizaram, minimizar
a, o
superioridade, superioridade
relativa, relativo
da, de o
Ferrari, Ferrari
na, em o
corrida, corrida
., .
Mas, mas
ambos, ambos
reconheceram, reconhecer
que, que
não, não
puderam, puder
enfrentar, enfrentar
a, o
`, `
`, `
velocidade, velocidade
de, de
Schumacher, Schumacher
'', ''
., .

, 

(, (
JHM, JHM
), )

, 

