O, ﻿O
Chicago, Chicago
Bulls, Bulls
conseguiu, conseguir
ontem, ontem
em, em
casa, casa
a, o
sua, seu
sétima, sétimo
vitória, vitória
consecutiva, consecutivo
graças, graças
à, a o
atuação, atuação
de, de
dois, dois
de, de
seus, seu
reservas, reserva
,, ,
o, o
armador, armador
Steve, Steve
Kerr, Kerr
(, (
14, 14
pontos, ponto
na, em o
partida, partida
), )
e, e
o, o
ala, ala
croata, croata
Toni, Toni
Kukoc, Kukoc
(, (
11, 11
pontos, ponto
), )
., .
Os, o
Bulls, Bulls
derrotaram, derrotar
o, o
Detroit, Detroit
Pistons, Pistons
por, por
92, 92
a, a
96, 96
,, ,
depois, depois
de, de
estarem, estar
14, 14
pontos, ponto
atrás, atrás
no, em o
placar, placar
no, em o
começo, começo
do, de o
segundo, segundo
tempo, tempo
., .

, 

Foi, foi
a, a
23ª, 23ª
derrota, derrota
do, de o
Detroit, Detroit
na, em o
temporada, temporada
(, (
a, o
equipe, equipe
tem, ter
nove, nove
vitórias, vitória
), )
,, ,
a, o
pior, mau
campanha, campanha
da, de o
Divisão, Divisão
Central, Central
e, e
a, o
segunda, segundo
pior, mau
da, de o
Liga, Liga
,, ,
só, só
superada, superar
pela, por o
campanha, campanha
do, de o
Dallas, Dallas
(, (
venceram, vencer
dois, dois
e, e
perderam, perder
37, 37
), )
., .
A, o
explicação, explicação
mais, mais
provável, provável
para, para
o, o
momento, momento
ruim, ruim
do, de o
time, time
é, ser
o, o
baixo, baixo
rendimento, rendimento
das, de o
estrelas, estrela
veteranas, veterano
,, ,
os, o
armadores, armador
Isiah, Isiah
Thomas, Thomas
e, e
Joe, Joe
Dummars, Dummars
., .

, 

Os, o
outros, outro
resultados, resultado
de, de
ontem, ontem
foram, ser
Boston, Boston
110, 110
x, x
Dallas, Dallas
102, 102
,, ,
Indiana, Indiana
88, 88
x, x
Milwaukee, Milwaukee
99, 99
e, e
Utah, Utah
95, 95
x, x
Seattle, Seattle
90, 90
., .

, 

