Por, ﻿Por
problemas, problema
técnicos, técnico
,, ,
o, o
serviço, serviço
Folha, Folha
Informações, Informações
Esporte, Esporte
ficou, ficar
ontem, ontem
fora, fora
do, de o
ar, ar
., .

, 

Houve, Houve
falha, falha
no, em o
sistema, sistema
de, de
voz, voz
que, que
permite, permitir
acessar, acessar
por, por
telefone, telefone
os, o
boletins, boletim
esportivos, esportivo
., .
Até, até
o, o
horário, horário
de, de
fechamento, fechamento
desta, de este
edição, edição
,, ,
o, o
sistema, sistema
continuava, continuar
fora, fora
do, de o
ar, ar
., .

, 

A, o
falha, falha
foi, ser
detectada, detectar
ontem, ontem
às, a o
12h, 12h
., .
Técnicos, Técnicos
da, de o
Telesis, Telesis
,, ,
empresa, empresa
responsável, responsável
pela, por o
tecnologia, tecnologia
do, de o
serviço, serviço
,, ,
trabalharam, trabalhar
desde, desde
então, então
para, para
solucionar, solucionar
o, o
problema, problema
., .

, 

O, o
atendimento, atendimento
ao, a o
público, público
é, ser
feito, fazer
pelo, por o
tel., tel.
(, (
011, 011
), )
224-3317, 224-3317
,, ,
das, de o
10h, 10h
às, a o
19h, 19h
., .
O, o
Folha, Folha
Informações, Informações
Esporte, Esporte
fornece, fornecer
boletins, boletim
atualizados, atualizar
do, de o
Esporte, Esporte
e, e
da, de o
liga, liga
profissional, profissional
de, de
basquete, basquete
dos, de o
EUA, EUA
,, ,
NBA, NBA
., .

, 

O, o
Folha, Folha
Informações, Informações
Datacasa, Datacasa
também, também
ficou, ficar
fora, fora
do, de o
ar, ar
., .
Ele, ele
dá, dar
informações, informação
sobre, sobre
os, o
preços, preço
de, de
mercado, mercado
de, de
serviços, serviço
domésticos, doméstico
., .

, 

Os, o
serviços, serviço
Folha, Folha
Informações, Informações
Dólar, Dólar
e, e
Real, Real
continuam, continuar
em, em
funcionamento, funcionamento
normal, normal
., .

, 

