Pelo, ﻿Pelo
que, que
o, o
São, São
Paulo, Paulo
demonstrou, demonstrar
diante, diante
do, de o
Grêmio, Grêmio
,, ,
na, em o
sexta, sexta
à, a o
noite, noite
,, ,
pela, por o
Copa, Copa
do, de o
Brasil, Brasil
,, ,
o, o
Corinthians, Corinthians
terá, ter
de, de
correr, correr
muito, muito
esta, este
tarde, tarde
para, para
sair, sair
de, de
campo, campo
com, com
um, um
bom, bom
resultado, resultado
., .
Apesar, apesar
do, de o
empate, empate
,, ,
sua, seu
performance, performance
,, ,
ao, a o
longo, longo
da, de o
maior, grande
parte, parte
do, de o
jogo, jogo
,, ,
deu, dar
sinais, sinal
de, de
que, que
hoje, hoje
poderá, poder
complicar, complicar
a, o
vida, vida
dos, de o
corintianos, corintiano
., .

, 

Sobretudo, sobretudo
se, se
Denílson, Denílson
repetir, repetir
a, o
movimentação, movimentação
e, e
o, o
empenho, empenho
que, que
marcaram, marcar
sua, seu
presença, presença
contra, contra
o, o
Grêmio, Grêmio
., .
Pois, pois
habilidade, habilidade
e, e
inteligência, inteligência
é, ser
o, o
que, que
não, não
lhe, ele
faltam, faltar
., .

, 

Creio, crer
que, que
seja, ser
por, por
isso, isso
mesmo, mesmo
que, que
Eduardo, Eduardo
Amorim, Amorim
invocou, invocar
sua, seu
alma, alma
mineira, mineiro
para, para
construir, construir
ali, ali
no, em o
meio-campo, meio-campo
uma, um
barreira, barreira
praticamente, praticamente
intransponível, intransponível
,, ,
com, com
Bernardo, Bernardo
,, ,
Ezequiel, Ezequiel
e, e
Zé, Zé
Elias, Elias
,, ,
três, três
ferozes, feroz
marcadores, marcador
,, ,
que, que
não, não
haverão, haver
de, de
dar, dar
um, um
mínimo, mínimo
espaço, espaço
aos, a o
ágeis, ágil
e, e
talentosos, talentoso
Denílson, Denílson
e, e
Juninho, Juninho
., .

, 

Tanto, tanto
,, ,
que, que
abriu, abrir
mão, mão
de, de
Souza, Souza
,, ,
já, já
fisicamente, fisicamente
recuperado, recuperar
,, ,
mas, mas
animicamente, animicamente
tênue, tênuir
., .
Entre, entre
o, o
vigor, vigor
de, de
Marques, Marques
,, ,
para, para
puxar, puxar
os, o
contragolpes, contragolpes
,, ,
e, e
a, o
sutileza, sutileza
de, de
um, um
Souza, Souza
ainda, ainda
indeciso, indeciso
quanto, quanto
à, a o
resistência, resistência
de, de
seu, seu
tornozelo, tornozelo
,, ,
Eduardo, Eduardo
,, ,
cautelosamente, cautelosamente
,, ,
optou, optar
pela, por o
primeira, primeiro
alternativa, alternativa
., .

, 

Isso, isso
quer, querer
dizer, dizer
que, que
teremos, ter
um, um
clássico, clássico
disputado, disputar
em, em
alta, alto
tensão, tensão
,, ,
com, com
o, o
São, São
Paulo, Paulo
tentando, tentar
contornar, contornar
o, o
adversário, adversário
com, com
velocidade, velocidade
e, e
perícia, perícia
,, ,
enquanto, enquanto
o, o
Corinthians, Corinthians
jogará, jogar
no, em o
erro, erro
do, de o
adversário, adversário
., .

, 

É, é
para, para
se, se
ver, ver
., .

, 

Por, por
falar, falar
nisso, em isso
,, ,
o, o
mosqueteiro, mosqueteiro
grita, grita
:, :
`, `
`, `
touché, touché
'', ''
!, !
E, e
Muller, Muller
desembarca, desembarcar
no, em o
Parque, parque
., .

, 

Fico, fico
pensando, pensar
se, se
realmente, realmente
o, ele
Edmundo, Edmundo
nunca, nunca
sabe, saber
bem, bem
o, o
que, que
faz, fazer
,, ,
como, como
na, em o
paródia, paródia
brasileira, brasileiro
do, de o
swing, swing
americano, americano
`, `
`, `
In, In
the, the
Mood, Mood
'', ''
., .
São, ser
tantas, tanto
,, ,
e, e
estrategicamente, estrategicamente
tão, tão
bem, bem
colocadas, colocar
,, ,
as, o
trapalhadas, trapalhada
de, de
Edmundo, Edmundo
que, que
começo, começar
a, a
suspeitar, suspeitar
de, de
uma, um
fria, fria
e, e
calculada, calcular
armação, armação
,, ,
uma, um
saída, saída
tosca, tosca
e, e
sutil, sutil
do, de o
jogador, jogador
,, ,
que, que
não, não
quer, querer
continuar, continuar
no, em o
Parque, Parque
Antarctica, Antarctica
., .

, 

Não, não
há, haver
cristão, cristão
sobre, sobre
a, o
terra, terra
que, que
desconheça, desconhecer
o, o
pavio, pavio
curto, curto
e, e
a, o
sensibilidade, sensibilidade
eriçada, eriçar
,, ,
mediterrânea, Mediterrânea
,, ,
dos, de o
cartolas, cartola
palestrinos, palestrino
., .
Logo, logo
,, ,
não, não
é, ser
possível, possível
que, que
Edmundo, Edmundo
não, não
saiba, saber
estar, estar
cavando, cavar
com, com
suas, seu
palavras, palavra
ferinas, ferino
sua, seu
cova, cova
no, em o
Palestra, Palestra
Itália, Itália
., .

, 

Até, até
agora, agora
,, ,
a, o
Parmalat, Parmalat
,, ,
detentora, detentora
de, de
seu, seu
passe, passe
e, e
sócia-responsável, sócia-responsável
pela, por o
revitalização, revitalização
do, de o
Palmeiras, Palmeiras
,, ,
tem, ter
segurado, segurar
as, o
pontas, ponta
., .
Mas, mas
,, ,
pelo, por o
ar, ar
desolado, desolar
de, de
Brunoro, Brunoro
,, ,
na, em o
noite, noite
de, de
quinta-feira, quinta-feira
,, ,
nos, em o
estúdios, estúdio
da, de o
Gazeta, Gazeta
,, ,
creio, crer
que, que
até, até
seu, seu
estoque, estoque
de, de
paciência, paciência
já, já
se, se
esgotou, esgotar
., .

, 

Se, se
assim, assim
for, ser
,, ,
é, ser
bom, bom
Edmundo, Edmundo
levar, levar
em, em
conta, conta
que, que
nas, em o
veias, veia
de, de
Brunoro, Brunoro
e, e
da, de o
Parmalat, Parmalat
também, também
corre, correr
o, o
sangue, sangue
quente, quente
peninsular, peninsular
., .

, 

`, `
`, `
Business, Business
is, is
business, business
'', ''
,, ,
dizem, dizer
os, o
álgidos, álgido
ingleses, inglês
., .
Mas, mas
,, ,
onde, onde
o, o
sol, sol
derrete, derrete
os, o
miolos, miolo
,, ,
quando, quando
o, o
sangue, sangue
ferve, ferve
,, ,
costuma-se, costuma-se
dizer, dizer
:, :
`, `
`, `
Merda, Merda
per, per
merda, Merda
,, ,
marcia, marcia
reale, realir
!, !
'', ''
Traduzindo, Traduzindo
para, para
o, o
nosso, nosso
caipirês, caipirês
infiltrado, infiltrar
:, :
`, `
`, `
Truco, Truco
!, !
'', ''

, 

Nesse, em esse
caso, caso
,, ,
não, não
se, se
espantem, espanter
se, se
,, ,
em, em
breve, breve
,, ,
reencontrarmos, reencontrarr
Edmundo, edmundo
bem, bem
longe, longe
do, de o
Parque, parque
., .
Mais, mais
longe, longe
ainda, ainda
das, de o
praias, praia
cariocas, carioco
,, ,
passeando, passear
pelos, por o
vinhedos, vinhedo
de, de
Caxias, Caxias
do, de o
Sul, Sul
,, ,
com, com
a, o
gloriosa, glorioso
camisa, camisa
do, de o
Juventude, Juventude
., .

, 

Alberto, Alberto
Helena, Helena
Jr., Jr.
escreve, escrever
aos, a o
domingos, domingo
,, ,
segundas, segundo
e, e
quartas, quarto

, 

