O, ﻿O
atacante, atacante
Viola, Viola
sofreu, sofrer
uma, um
fratura, fratura
no, em o
terceiro, terceiro
metacarpo, Metacarpo
(, (
osso, osso
ligado, ligar
ao, a o
terceiro, terceiro
dedo, dedo
da, de o
mão, mão
direita, direito
), )
no, em o
jogo, jogo
de, de
anteontem, anteontem
contra, contra
o, o
Paraná, Paraná
e, e
não, não
enfrenta, enfrentar
o, o
Novorizontino, Novorizontino
hoje, hoje
., .

, 

Viola, Viola
,, ,
entretanto, entretanto
,, ,
deve, dever
jogar, jogar
o, o
clássico, clássico
de, de
domingo, domingo
,, ,
contra, contra
o, o
Palmeiras, Palmeiras
,, ,
segundo, segundo
o, o
departamento, departamento
médico, médico
do, de o
Corinthians, Corinthians
., .

, 

", "
Faremos, Faremos
uma, um
imobilização, imobilização
especial, especial
na, em o
mão, mão
do, de o
Viola, Viola
,, ,
para, para
que, que
ele, ele
possa, poder
jogar, jogar
domingo, domingo
'', ''
,, ,
disse, dizer
o, o
médico, médico
Paulo, Paulo
Faria, Faria
., .

, 

Contra, contra
o, o
Palmeiras, Palmeiras
,, ,
Viola, Viola
pode, poder
fazer, fazer
o, o
seu, seu
centésimo, centésimo
gol, gol
com, com
a, o
camisa, camisa
do, de o
Corinthians, Corinthians
., .

, 

Com, com
os, o
dois, dois
gols, gol
de, de
anteontem, anteontem
,, ,
ele, ele
chegou, chegar
aos, a o
99, 99
e, e
quebrou, quebrar
um, um
jejum, jejum
de, de
82, 82
dias, dia
sem, sem
marcar, marcar
., .

, 

", "
A, o
sorte, sorte
voltou, voltar
,, ,
mas, mas
não, não
estou, estar
preocupado, preocupado
em, em
fazer, fazer
o, o
centésimo, centésimo
contra, contra
o, o
Palmeiras, Palmeiras
'', ''
,, ,
disse, dizer
., .

, 

Viola, Viola
disse, dizer
que, que
se, se
recusou, recusar
a, a
dar, dar
entrevistas, entrevista
após, após
o, o
jogo, jogo
com, com
o, o
Paraná, Paraná
,, ,
por, por
estar, estar
", "
emocionado, emocionar
'', ''
., .

, 

", "
A, o
pressão, pressão
era, ser
enorme, enorme
., .
Fui, ser
até, até
vaiado, vaiar
e, e
fiquei, fiquei
triste, tristir
,, ,
apesar, apesar
de, de
saber, saber
que, que
um, um
grande, grande
artista, artista
não, não
vive, viver
só, só
de, de
aplausos, aplauso
., .
'', ''

, 

Viola, Viola
afirmou, afirmar
que, que
enfrentou, enfrentar
o, o
Paraná, Paraná
e, e
jogará, jogar
contra, contra
o, o
Palmeiras, Palmeiras
`, `r
`, `
por, por
amor, amor
'', ''
e, e
`, `
`, `
sem, sem
seguro, seguro
'', ''
., .

, 

", "
Até, até
agora, agora
não, não
vi, ver
o, o
seguro, seguro
que, que
a, o
diretoria, diretoria
prometeu, prometer
fazer, fazer
após, após
a, o
venda, venda
para, para
o, o
Valencia, Valencia
., .
Aliás, aliás
,, ,
ainda, ainda
não, não
assinei, assinar
contrato, contrato
e, e
o, o
Corinthians, Corinthians
não, não
recebeu, receber
a, o
primeira, primeiro
parcela, parcela
da, de o
transação, transação
., .
'', ''

, 

(, (
AR, AR
), )

, 

