Os, ﻿Os
homens, homem
por, por
trás, trás
do, de o
circuito, circuito
internacional, internacional
de, de
tênis, tênis
estão, estar
trabalhando, trabalhar
em, em
alerta, alerta
vermelho, vermelho
., .
As, o
vitórias, vitória
dos, de o
superfavoritos, superfavorito
Pete, Pete
Sampras, Sampras
e, e
Steffi, Steffi
Graf, Graf
na, em o
Austrália, Austrália
mostram, mostrar
que, que
a, o
monotonia, monotonia
toma, tomar
conta, conto
dos, de o
torneios, torneio
., .
Já, já
que, que
nenhum, nenhum
novo, novo
gênio, gênio
parece, parecer
pronto, pronto
para, para
surgir, surgir
das, de o
fraldas, fraldo
,, ,
os, o
organizadores, organizador
de, de
torneios, torneio
apelam, apelar
aos, a o
veteranos, veterano
., .

, 

O, o
modelo, modelo
já, já
foi, ser
aplicado, aplicar
no, em o
boxe, boxe
., .
Com, com
o, o
afastamento, afastamento
de, de
Mike, Mike
Tyson, Tyson
,, ,
o, o
esporte, esporte
ficou, ficar
chato, chato
e, e
valorizou, valorizar
o, o
retorno, retorno
de, de
veteranos, veterano
como, como
Foreman, Foreman
,, ,
Spinks, Spinks
e, e
Holmes, Holmes
., .
No, em o
tênis, tênis
,, ,
o, o
raciocínio, raciocínio
é, ser
simples, simples
., .
Já, já
que, que
não, não
dá, dar
para, para
evitar, evitar
a, o
vitória, vitória
tranquila, tranquilo
de, de
Sampras, Sampras
,, ,
por, por
exemplo, exemplo
,, ,
o, o
negócio, negócio
é, ser
criar, criar
atrações, atração
para, para
o, o
público, público
nas, em o
primeiras, primeiro
rodadas, rodada
., .

, 

Em, em
Melbourne, Melbourne
,, ,
a, o
tentativa, tentativa
foi, ser
dupla, duplo
., .
O, o
sueco, sueco
Mats, Mats
Wilander, Wilander
e, e
a, o
norte-americana, norte-americana
Tracy, Tracy
Austin, Austin
,, ,
que, que
já, já
estiveram, estar
no, em o
primeiro, primeiro
lugar, lugar
dos, de o
rankings, ranking
,, ,
foram, ser
convidados, convidar
para, para
a, o
chave, chave
principal, principal
., .
Austin, Austin
perdeu, perder
na, em o
segunda, segundo
rodada, rodada
,, ,
mas, mas
Wilander, Wilander
foi, ir
até, até
as, o
oitavas-de-final, oitava-de-final
e, e
ganhou, ganhar
o, o
público, público
no, em o
Flinders, Flinders
Park, Park
., .

, 

Nas, em o
próximas, próximo
semanas, semana
,, ,
mais, mais
dois, dois
ex-líderes, ex-líder
da, de o
ATP, ATP
voltam, voltar
às, a o
quadras, quadra
., .
O, o
norte-americano, norte-americano
Jimmy, Jimmy
Connors, Connors
,, ,
41, 41
,, ,
primeiro, primeiro
do, de o
ranking, ranking
por, por
vários, vários
períodos, período
entre, entre
1974, 1974
e, e
79, 79
,, ,
jogará, jogar
o, o
Torneio, Torneio
de, de
San, San
Jose, Jose
,, ,
na, em o
Califórnia, Califórnia
., .
Seu, seu
compatriota, compatriota
John, John
McEnroe, McEnroe
,, ,
34, 34
,, ,
número, número
1, 1
do, de o
mundo, mundo
entre, entre
1980, 1980
e, e
84, 84
,, ,
aceitou, aceitar
o, o
convite, convite
para, para
disputar, disputar
o, o
Aberto, Aberto
de, de
Roterdã, Roterdã
,, ,
na, em o
Holanda, Holanda
., .

, 

Do, de o
jeito, jeito
que, que
a, o
coisa, coisa
vai, ir
,, ,
nenhum, nenhum
grande, grande
campeonato, campeonato
vai, ir
deixar, deixar
de, de
ter, ter
o, o
seu, seu
", "
vovô, vovô
", "
como, como
convidado, convidado
de, de
honra, honra
., .
O, o
comitê, comitê
que, que
organiza, organizar
o, o
Aberto, Aberto
da, de o
França, França
já, já
formalizou, formalizar
o, o
convite, convite
ao, a o
equatoriano, equatoriano
Andres, Andres
Gomez, Gomez
,, ,
33, 33
., .
Campeão, Campeão
de, de
Roland, Roland
Garros, Garros
em, em
1990, 1990
,, ,
Gomez, Gomez
chegou, chegar
ao, a o
4º, 4º
lugar, lugar
no, em o
ranking, ranking
e, e
hoje, hoje
curte, curtar
a, o
aposentadoria, aposentadoria
garantida, garantir
pelos, por o
US$, US$
4,5, 4,5
milhões, milhão
que, que
ganhou, ganhar
na, em o
carreira, carreira
., .
Ficou, ficar
de, de
responder, responder
aos, a o
franceses, francês
até, até
março, março
., .
(, (
TM, TM
), )

, 

