A, ﻿A
Copa, Copa
Hopman, Hopman
é, ser
sempre, sempre
interessante, interessante
., .
É, ser
um, um
torneio, torneio
festivo, festivo
,, ,
disputado, disputar
com, com
muita, muito
descontração, descontração
., .
Na, em o
edição, edição
do, de o
ano, ano
passado, passado
,, ,
a, o
Alemanha, Alemanha
deu, dar
um, um
passeio, passeio
,, ,
vencendo, vencer
fácil, fácil
com, com
a, o
charmosa, charmoso
dupla, dupla
Steffi, Steffi
Graf, Graf
e, e
Michael, Michael
Stich, Stich
., .

, 

Neste, em este
ano, ano
,, ,
a, o
principal, principal
atração, atração
passa, passar
a, a
ser, ser
uma, um
inovação, inovação
tecnológica, tecnológico
,, ,
o, o
", "
juiz, juiz
eletrônico, eletrônico
", "
em, em
todas, todo
as, o
linhas, linha
da, de o
quadra, quadra
., .
É, ser
um, um
grande, grande
passo, passo
adiante, adiante
do, de o
", "
sensor, sensor
de, de
solo, solo
", "
,, ,
um, um
sistema, sistema
eletrônico, eletrônico
mais, mais
simplório, simplório
usado, usar
desde, desde
1987, 1987
nas, em o
quadras, quadra
centrais, central
de, de
alguns, algum
templos, templo
do, de o
tênis, tênis
mundial, mundial
,, ,
mas, mas
restrito, restritar
às, a o
linhas, linha
de, de
serviço, serviço
–, –
o, o
que, que
ajuda, ajudar
muito, muito
em, em
saques, saque
a, a
200, 200
km/h, km/h
., .

, 

O, o
novo, novo
sistema, sistema
tem, ter
dois, dois
desafios, desafio
., .
Um, um
deles, de ele
,, ,
exclusivamente, exclusivamente
técnico, técnico
,, ,
é, ser
demonstrar, demonstrar
eficiência, eficiência
nos, em o
testes, teste
de, de
campo, campo
., .
O, o
outro, outro
desafio, desafio
é, ser
mais, mais
complicado, complicado
:, :
a, o
desconfiança, desconfiança
de, de
jogadores, jogador
e, e
público, público
., .

, 

É, ser
pena, pena
que, que
John, John
McEnroe, McEnroe
desistiu, desistir
de, de
participar, participar
do, de o
torneio, torneio
., .
Seria, ser
o, o
piloto-de-testes, piloto-de-testes
perfeito, perfeito
para, para
o, o
novo, novo
sistema, sistema
., .
", "
Big, Big
Mac, Mac
", "
foi, ser
o, o
primeiro, primeiro
a, a
testar, testar
o, o
", "
sensor, sensor
de, de
solo, solo
", "
em, em
1987, 1987
,, ,
proporcionando, proporcionar
uma, um
das, de o
cenas, cena
mais, mais
hilariantes, hilariante
do, de o
esporte, esporte
., .
Revoltado, Revoltado
,, ,
ficou, ficar
xingando, xingar
as, o
linhas, linha
da, de o
área, área
de, de
saque, saque
como, como
se, se
fossem, ser
pessoas, pessoa
,, ,
enquanto, enquanto
a, o
platéia, platéia
estourava, estourar
de, de
tanto, tanto
rir, rir
., .

, 

Palhaçadas, Palhaçadas
à, a o
parte, parte
,, ,
a, o
cena, cena
protagonizada, protagonizar
por, por
McEnroe, McEnroe
é, ser
simbólica, simbólico
., .
Quem, quem
acompanha, acompanhar
os, o
bastidores, bastidor
do, de o
circuito, circuito
sabe, saber
que, que
todos, todo
os, o
jogadores, jogador
odeiam, odeer
o, o
sensor, sensor
., .
É, ser
lógico, lógico
,, ,
já, já
que, que
um, um
juiz, juiz
humano, humano
pode, poder
ser, ser
intimidado, intimidar
por, por
reclamações, reclamação
., .
E, e
o, o
público, público
?, ?
Numa, em um
pesquisa, pesquisa
no, em o
US, US
Open, Open
91, 91
,, ,
75, 75
%, %
dos, de o
entrevistados, entrevistado
votou, votar
contra, contra
o, o
sensor, sensor
., .
Afinal, afinal
,, ,
todo, todo
mundo, mundo
gosta, gostar
de, de
vaiar, vaiar
numa, em um
bola, bola
duvidosa, duvidoso
., .
Para, para
os, o
tradicionalistas, tradicionalista
,, ,
só, só
resta, restar
torcer, torcer
para, para
muitas, muito
falhas, falha
no, em o
sistema, sistema
., .

, 

