As, ﻿As
vaias, vaia
da, de o
torcida, torcida
do, de o
Palmeiras, Palmeiras
não, não
surpreenderam, surpreender
o, o
técnico, técnico
Valdir, Valdir
Espinosa, Espinosa
,, ,
após, após
a, o
derrota, derrota
de, de
ontem, ontem
para, para
o, o
União, União
São, São
João, João
,, ,
no, em o
Parque, Parque
Antarctica, Antarctica
., .

, 

`, `
`, `
Sabia, Sabia
dos, de o
riscos, risco
que, que
estava, estar
correndo, correndo
ao, a o
escalar, escalar
um, um
time, time
misto, misto
., .
E, e
assumo, assumar
tudo, tudo
'', ''
,, ,
afirmou, afirmar
., .

, 

`, `
`, `
Temos, ter
que, que
escolher, escolher
os, o
jogos, jogo
mais, mais
importantes, importante
de, de
cada, cada
competição, competição
e, e
escalar, escalar
o, o
time, time
da, de o
melhor, bom
maneira, maneira
possível, possível
'', ''
,, ,
disse, dizer
., .

, 

Tranquilo, Tranquilo
,, ,
o, o
treinador, treinador
palmeirense, palmeirense
aproveitou, aproveitar
para, para
deixar, deixar
uma, um
pergunta, pergunta
para, para
os, o
torcedores, torcedor
que, que
o, ele
vaiaram, vaiar
na, em o
saída, saída
do, de o
gramado, gramado
., .

, 

`, `
`, `
Prefiro, Prefiro
perder, perder
hoje, hoje
e, e
ganhar, ganhar
na, em o
quarta-feira, quarta-feira
., .
O, o
que, que
eles, eles
querem, querer
?, ?
Golear, Golear
hoje, hoje
e, e
perder, perder
quarta, quarto
?, ?
'', ''
,, ,
perguntou, perguntar
,, ,
referindo-se, referir se
ao, a o
jogo, jogo
contra, contra
o, o
Bolívar, Bolívar
pela, por o
Taça, Taça
Libertadores, Libertadores
,, ,
o, o
mais, mais
importante, importante
torneio, torneio
interclubes, interclube
sul-americano, sul-americano
., .

, 

Espinosa, Espinosa
disse, dizer
que, que
`, `
`, `
gostou, gostar
'', ''
da, de o
produção, produção
do, de o
time, time
,, ,
apesar, apesar
da, de o
derrota, derrota
., .
`, `
`, `
Atacamos, Atacamos
90, 90
minutos, minuto
e, e
tivemos, ter
azar, azar
nas, em o
finalizações, finalização
., .
Já, já
o, o
União, União
teve, ter
100, 100
%, %
de, de
aproveitamento, aproveitamento
'', ''
., .

, 

O, o
lateral-esquerdo, lateral-esquerdo
Vágner, Vágner
,, ,
que, que
falhou, falhar
no, em o
segundo, segundo
gol, gol
,, ,
simplificou, simplificar
o, o
que, que
aconteceu, acontecer
em, em
campo, campo
., .
`, `
`, `
Hoje, hoje
nos, nós
faltou, faltar
marcação, marcação
,, ,
determinação, determinação
e, e
conjunto, conjunto
., .
'', ''

, 

Para, para
a, o
partida, partida
contra, contra
o, o
Bolívar, Bolívar
,, ,
o, o
técnico, técnico
Valdir, Valdir
Espinosa, Espinosa
ainda, ainda
não, não
sabe, saber
quem, quem
será, ser
o, o
companheiro, companheiro
de, de
Rivaldo, Rivaldo
no, em o
ataque, ataque
., .

, 

`, `
`, `
Os, o
substitutos, substituto
são, ser
Maurílio, Maurílio
ou, ou
Magrão, Magrão
., .
Mas, mas
posso, poder
fazer, fazer
alguma, algum
improvisação, improvisação
'', ''
,, ,
disse, dizer
., .

, 

Espinosa, Espinosa
considera, considerar
o, o
jogo, jogo
de, de
quarta-feira, quarta-feira
`, `
`, `
uma, um
verdadeira, verdadeiro
decisão, decisão
'', ''
., .
`, `
`, `
O, o
time, time
precisa, precisar
estar, estar
consciente, consciente
de, de
que, que
precisa, precisar
buscar, buscar
a, o
vitória, vitória
desde, desde
o, o
primeiro, primeiro
segundo, segundo
de, de
jogo, jogo
'', ''
,, ,
afirmou, afirmar
., .

, 

O, o
meio-campo, meio-campo
colombiano, colombiano
Lozano, Lozano
foi, ser
substituído, substituir
no, em o
intervalo, intervalo
da, de o
partida, partida
de, de
ontem, ontem
com, com
uma, um
torção, torção
no, em o
joelho, joelho
direito, direito
., .
Ele, ele
fica, ficar
uma, um
semana, semana
em, em
tratamento, tratamento
., .

, 

(, (
WBJr, WBJr
., .
), )

, 

