O, ﻿O
técnico, técnico
Eduardo, Eduardo
Amorim, Amorim
,, ,
do, de o
Corinthians, Corinthians
,, ,
ainda, ainda
não, não
conseguiu, conseguir
,, ,
mas, mas
quer, querer
tirar, tirar
da, de o
equipe, equipe
a, o
`, `
`, `
última, último
herança, herança
do, de o
ex-treinador, ex-treinador
Mário, Mário
Sérgio, Sérgio
'', ''
., .

, 

É, ser
o, o
time, time
mais, mais
indisciplinado, indisciplinar
do, de o
Campeonato, Campeonato
Paulista, Paulista
,, ,
somando, somar
11, 11
cartões, cartão
vermelhos, vermelho
e, e
79, 79
amarelos, amarelo
., .

, 

`, `
`, `
Em, em
93, 93
,, ,
quando, quando
o, o
Mário, Mário
assumiu, assumir
,, ,
o, o
Corinthians, Corinthians
tinha, ter
jogadores, jogador
limitados, limitar
tecnicamente, tecnicamente
e, e
,, ,
assim, assim
,, ,
a, o
forte, forte
marcação, marcação
ficou, ficar
sendo, ser
a, o
maior, grande
característica, característica
do, de o
time, time
'', ''
,, ,
disse, dizer
Amorim, Amorim
., .

, 

Mário, Mário
Sérgio, Sérgio
dirigiu, dirigir
o, o
Corinthians, Corinthians
no, em o
Campeonato, Campeonato
Brasileiro, Brasileiro
de, de
1993, 1993
., .
Saiu, saiu
em, em
seguida, seguida
., .
Depois, depois
,, ,
voltou, voltar
no, em o
Paulista, paulista
deste, de este
ano, ano
,, ,
dirigiu, dirigir
o, o
time, time
em, em
nove, nove
partidas, partida
no, em o
campeonato, campeonato
e, e
pediu, pedir
demissão, demissão
., .

, 

`, `
`, `
Está, estar
muito, muito
difícil, difícil
retirar, retirar
esta, este
tendência, tendência
do, de o
grupo, grupo
., .
Hoje, hoje
o, o
Corinthians, Corinthians
possui, possuir
jogadores, jogador
mais, mais
técnicos, técnico
e, e
o, o
estilo, estilo
que, que
quero, querer
implantar, implantar
é, ser
totalmente, totalmente
diferente, diferente
'', ''
,, ,
afirmou, afirmar
., .

, 

Segundo, segundo
o, o
treinador, treinador
,, ,
o, o
problema, problema
disciplinar, disciplinar
acaba, acabar
atrapalhando, atrapalhar
o, o
rendimento, rendimento
do, de o
time, time
., .
`, `
`, `
Não, não
é, ser
possível, possível
dar, dar
uma, um
sequência, sequência
de, de
jogos, jogo
para, para
ganharmos, ganharmos
um, um
melhor, bom
conjunto, conjunto
'', ''
,, ,
disse, dizer
Amorim, Amorim
., .

, 

Neste, em este
campeonato, campeonato
,, ,
o, o
técnico, técnico
não, não
conseguiu, conseguir
colocar, colocar
em, em
campo, campo
o, o
time, time
que, que
julga, julgar
titular, titular
., .

, 

`, `
`, `
Apenas, apenas
contra, contra
a, o
Ponte, Ponte
Preta, Preta
,, ,
em, em
Campinas, Campinas
,, ,
só, só
tive, ter
um, um
desfalque, desfalque
,, ,
que, que
foi, ser
o, o
Zé, Zé
Elias, Elias
'', ''
,, ,
disse, dizer
o, o
técnico, técnico
,, ,
se, se
referindo, referir
à, a o
vitória, vitória
(, (
1, 1
a, a
0, 0
), )
na, em o
abertura, abertura
do, de o
returno, returno
., .

, 

Os, o
jogadores, jogador
fizeram, fazer
uma, um
reunião, reunião
com, com
a, o
diretoria, diretoria
,, ,
na, em o
semana, semana
passada, passado
,, ,
quando, quando
ficou, ficar
estabelecido, estabelecer
que, que
toda, todo
`, `
`, `
punição, punição
desnecessária, desnecessário
'', ''
seria, ser
advertida, advertir
com, com
uma, um
multa, multa
,, ,
em, em
dinheiro, dinheiro
., .

, 

Nos, em o
dois, dois
últimos, último
jogos, jogo
_, _
Paraná, Paraná
,, ,
na, em o
Copa, Copa
do, de o
Brasil, Brasil
,, ,
e, e
Novorizontino, Novorizontino
,, ,
no, em o
Paulista, Paulista
_, _
,, ,
dois, dois
foram, ser
expulsos, expulso
:, :
Bernardo, Bernardo
e, e
Elivélton, Elivélton
., .

, 

`, `
`, `
Parece, parece
brincadeira, brincadeira
., .
Quanto, quanto
mais, mais
peço, peço
para, para
não, não
ter, ter
faltas, falta
,, ,
mais, mais
acontecem, acontecer
'', ''
,, ,
afirmou, afirmar
., .

, 

(, (
WBJr, WBJr
., .
), )

, 

