Ao, ﻿Ao
contrário, contrário
de, de
outros, outro
amistosos, amistoso
,, ,
Zagallo, Zagallo
sabe, saber
o, o
que, que
esperar, esperar
de, de
Israel, Israel
., .

, 

Ele, ele
assistiu, assistir
aos, a o
videoteipes, videoteipe
de, de
Israel, Israel
0, 0
x, x
0, 0
França, França
e, e
Polônia, Polônia
4, 4
x, x
3, 3
Israel, Israel
,, ,
pelo, por o
Campeonato, Campeonato
Europeu, Europeu
de, de
Seleções, Seleções
., .

, 

A, o
seleção, seleção
de, de
Israel, Israel
está, estar
em, em
terceiro, terceiro
no, em o
seu, seu
grupo, grupo
., .

, 

Zagallo, Zagallo
afirmou, afirmar
que, que
a, o
dupla, dupla
de, de
ataque, ataque
Túlio, Túlio
e, e
Ronaldo, Ronaldo
tem, ter
`, `
`, `
boas, bom
chances, chance
'', ''
de, de
ser, ser
a, o
titular, titular
da, de o
Copa, Copa
América, América
., .

, 

Se, se
Bebeto, Bebeto
e, e
Romário, Romário
confirmarem, confirmar
a, o
intenção, intenção
de, de
não, não
disputar, disputar
a, o
competição, competição
,, ,
as, o
duas, dois
vagas, vaga
do, de o
ataque, ataque
serão, ser
disputadas, disputar
pelos, por o
dois, dois
mais, mais
o, o
flamenguista, flamenguista
Sávio, Sávio
,, ,
que, que
não, não
foi, ser
convocado, convocar
., .

, 

No, em o
treino, treino
de, de
marcação, marcação
,, ,
Zagallo, Zagallo
deixou, deixar
que, que
Rivaldo, Rivaldo
ficasse, ficar
mais, mais
adiantado, adiantar
do, de o
que, que
os, o
meias, meia
Dunga, Dunga
e, e
Doriva, Doriva
,, ,
o, o
que, que
não, não
aconteceu, acontecer
quando, quando
Souza, Souza
estava, estar
no, em o
time, time
., .

, 

", "
Depende, depender
um, um
pouco, pouco
do, de o
estilo, estilo
de, de
cada, cada
um, um
'', ''
,, ,
afirmou, afirmar
., .

, 

Contra, contra
um, um
adversário, adversário
que, que
considera, considerar
inferior, inferior
ao, a o
Brasil, Brasil
,, ,
Zagallo, Zagallo
quer, querer
que, que
o, o
time, time
ataque, ataque
desde, desde
o, o
primeiro, primeiro
minuto, minuto
., .

, 

", "
O, o
Brasil, Brasil
sempre, sempre
ataca, atacar
,, ,
quando, quando
tem, ter
a, o
bola, bola
., .
Não, não
tem, ter
fase, fase
de, de
estudos, estudo
,, ,
não, não
., .
'', ''

, 

No, em o
coletivo, coletivo
de, de
ontem, ontem
,, ,
o, o
técnico, técnico
interrompeu, interromper
várias, várias
vezes, vez
o, o
jogo, jogo
para, para
treinar, treinar
jogadas, jogada
de, de
bola, bola
parada, parar
., .

, 

Viu, Viu
que, que
Rivaldo, Rivaldo
,, ,
Juninho, Juninho
e, e
Dunga, Dunga
são, ser
opções, opção
para, para
cobrar, cobrar
faltas, falta
perto, perto
da, de o
área, área
., .
Juninho, Juninho
também, também
cobra, cobrar
os, o
escanteios, escanteio
pela, por o
esquerda, esquerda
., .

, 

(, (
MD, MD
), )

, 

