As, ﻿As
luzes, luz
brilham, brilham
mais, mais
em, em
Miraflores, Miraflores
,, ,
município, município
da, de o
Grande, Grande
Lima, Lima
,, ,
à, a o
beira-mar, beira-mar
,, ,
onde, onde
estão, estar
as, o
casas, casa
elegantes, elegante
,, ,
os, o
restaurantes, restaurante
sofisticados, sofisticar
,, ,
bons, bom
cafés, cafés
e, e
uma, um
movimentada, movimentado
vida, vida
noturna, noturno
., .

, 

Miraflores, Miraflores
é, ser
feita, fazer
sob, sob
medida, medida
para, para
os, o
turistas, turista
que, que
não, não
querem, querer
apenas, apenas
saber, saber
de, de
história, história
., .
A, o
cidade, cidade
,, ,
com, com
suas, seu
praças, praça
repletas, repleto
de, de
tulipas, tulipa
,, ,
tem, ter
ruas, rua
e, e
avenidas, avenir
impecavelmente, impecavelmente
limpas, limpa
., .

, 

Oferece, Oferece
ainda, ainda
praias, praia
bastante, bastante
procuradas, procurar
pelos, por o
surfistas, surfista
e, e
os, o
melhores, bom
hotéis, hotel
da, de o
região, região
da, de o
capital, capital
., .
A, o
maioria, maioria
tem, ter
cassinos, cassino
e, e
TV, tv
a, a
cabo, cabo
., .
É, ser
possível, possível
sintonizar, sintonizar
a, o
Rede, Rede
Globo, Globo
e, e
a, o
Bandeirantes, Bandeirantes
., .

, 

Na, em o
área, área
da, de o
praça, praça
7, 7
de, de
junho, junho
,, ,
centro, centro
de, de
Miraflores, Miraflores
,, ,
há, haver
muitas, muito
sorveterias, sorveteria
e, e
pizzarias, pizzaria
,, ,
onde, onde
se, se
come, comer
ao, a o
som, som
da, de o
música, música
`, `
`, `
El, El
Condor, Condor
Pasa, Pasa
'', ''
,, ,
uma, um
espécie, espécie
de, de
hino, hino
peruano, peruano
cantado, cantar
por, por
meninos, menino
., .

, 

Ali, ali
também, também
funciona, funcionar
um, um
restaurante, restaurante
brasileiro, brasileiro
,, ,
com, com
cardápio, cardápio
em, em
português, português
,, ,
caipirinha, caipirinhr
e, e
feijoada, feijoar
., .

, 

Batizado, Batizado
de, de
Media, Media
Naranja, Naranja
(, (
expressão, expressão
que, que
significa, significar
cara, car
metade, metade
), )
,, ,
é, ser
de, de
propriedade, propriedade
do, de o
casal, casal
Edson, Edson
e, e
Anamaria, Anamaria
_, _
ele, ele
brasileiro, brasileiro
e, e
ela, ela
peruana, peruano
., .
Aos, a o
domingos, domingo
,, ,
abriga, abrigar
uma, um
feira, feira
,, ,
bastante, bastante
organizada, organizar
,, ,
com, com
quadros, quadro
e, e
objetos, objeto
de, de
arte, arte
., .

, 

Na, em o
região, região
da, de o
orla, orla
marítima, marítimo
,, ,
está, estar
o, o
parque, parque
do, de o
Amor, Amor
,, ,
onde, onde
muitos, muito
casais, casal
costumam, costumar
assistir, assistir
o, o
pôr-do-sol, pôr-do-sol
e, e
contemplar, contemplar
a, o
beleza, beleza
do, de o
oceano, oceano
Pacífico, Pacífico
,, ,
apesar, apesar
das, de o
praias, praia
de, de
areia, areia
escura, escuro
vistas, vista
de, de
enormes, enorme
barrancos, barranco
., .

, 

Nos, em o
arredores, arredores
,, ,
há, haver
também, também
restaurantes, restaurante
luxuosos, luxuoso
,, ,
como, como
o, o
Costa, Costa
Verde, Verde
,, ,
na, em o
praia, praia
de, de
Barranquito, Barranquito
,, ,
que, que
tem, ter
uma, um
justificada, justificado
fama, fama
de, de
oferecer, oferecer
ótima, ótima
comida, comida
., .

, 

Outro, outro
ponto, ponto
que, que
merece, merecer
ser, ser
visitado, visitar
é, ser
a, o
ponte, ponte
dos, de o
Suspiros, Suspiros
,, ,
na, em o
`, `
`, `
bajada, bajar
'', ''
(, (
caminho, caminho
que, que
leva, levar
às, a o
praias, praia
), )
de, de
Barranco, Barranco
,, ,
com, com
alguns, algum
bares, bar
simpáticos, simpático
,, ,
onde, onde
se, se
apresentam, apresentar
,, ,
às, a o
vezes, vez
,, ,
conjuntos, conjunto
de, de
jazz, jazz
., .

, 

O, o
`, `
`, `
new, New
look, look
'', ''
de, de
Miraflores, Miraflores
é, ser
recente, recente
e, e
os, o
peruanos, peruano
demonstram, demonstrar
muito, muito
orgulho, orgulho
quando, quando
falam, falar
sobre, sobre
a, o
cidade, cidade
., .

, 

(, (
JB, JB
), )

, 

