Meus, ﻿Meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
mencionei, mencioneir
aqui, aqui
nesta, em este
coluna, coluna
que, que
o, o
politicamente, politicamente
correto, correto
,, ,
que, que
domina, dominar
o, o
debate, debate
cultural, cultural
norte-americano, norte-americano
,, ,
poderia, poder
beneficiar, beneficiar
o, o
futebol, futebol
nos, em o
EUA, EUA
., .

, 

Com, com
a, o
afirmação, afirmação
cultural, cultural
de, de
negros, negro
e, e
latinos, latino
,, ,
o, o
futebol, futebol
poderia, poder
também, também
entrar, entrar
na, em o
maré, maré
geral, geral
da, de o
segmentação, segmentação
cultural, cultural
e, e
conquistar, conquistar
o, o
seu, seu
espaçozinho, espaçozinho
no, em o
maior, grande
mercado, mercado
do, de o
mundo, mundo
., .

, 

O, o
PC, PC
,, ,
na, em o
verdade, verdade
,, ,
é, ser
uma, um
regressão, regressão
cultural, cultural
., .
E, e
a, o
seleção, seleção
brasileira, brasileiro
vai, ir
estar, estar
bem, bem
pertinho, pertinho
dele, de ele
., .
No, em o
campus, campus
da, de o
universidade, universidade
de, de
Stanford, Stanford
,, ,
na, em o
Califórnia, Califórnia
,, ,
onde, onde
está, estar
o, o
campo, campo
em, em
que, que
o, o
Brasil, Brasil
jogará, jogar
as, o
suas, seu
primeiras, primeiro
partidas, partida
,, ,
disputa-se, disputa-se
a, o
liderança, liderança
das, de o
posições, posição
PCs, PCs
., .

, 

O, o
crítico, crítico
de, de
arte, arte
da, de o
revista, revista
", "
Time, Time
", "
,, ,
Robert, Robert
Hughes, Hughes
,, ,
um, um
australiano, australiano
que, que
vive, viver
nos, em o
EUA, EUA
,, ,
no, em o
seu, seu
polêmico, polêmico
livrinho, livrinho
que, que
a, o
Companhia, Companhia
das, de o
Letras, Letras
lançou, lançar
recentemente, recentemente
,, ,
", "
Cultura, Cultura
da, de o
Reclamação, Reclamação
", "
–, –
na, em o
verdade, verdade
um, um
torpedo, torpedo
,, ,
digno, digno
de, de
um, um
Roberto, Roberto
Cavalo, Cavalo
,, ,
contra, contra
o, o
PC, PC
–, –
,, ,
menciona, mencionar
algumas, algum
das, de o
barbaridades, barbaridade
que, que
o, o
movimento, movimento
comete, cometer
na, em o
Califórnia, Califórnia
., .

, 

Mas, mas
,, ,
Hughes, Hughes
vai, ir
mais, mais
longe, longe
., .
Ele, ele
mostra, mostrar
que, que
o, o
PC, PC
já, já
atingiu, atingir
o, o
esporte, esporte
., .
Segundo, segundo
ele, ele
,, ,
o, o
", "
Whatizit, Whatizit
", "
(, (
traduzido, traduzir
por, por
", "
Queéisso, queéisso
", "
), )
,, ,
o, o
símbolo, símbolo
oficial, oficial
dos, de o
Jogos, Jogos
Olímpicos, Olímpicos
de, de
1996, 1996
,, ,
em, em
Atlanta, Atlanta
,, ,
nos, em o
EUA, EUA
,, ,
não, não
passa, passar
de, de
um, um
feto, feto
., .

, 

", "
Será, ser
que, que
isso, isso
prenuncia, prenuncer
uma, um
onda, onda
de, de
Fetus, Fetus
Chic, Chic
para, para
1996, 1996
?, ?
", "
,, ,
ele, ele
pergunta, perguntar
., .
Na, em o
origem, origem
da, de o
escolha, escolha
do, de o
Whatizit, Whatizit
estaria, estar
o, o
chamado, chamado
movimento, movimento
pró-defesa, pró-defesa
da, de o
vida, vida
,, ,
uma, um
espécie, espécie
de, de
", "
politicamente, politicamente
correto, correto
", "
do, de o
lado, lado
conservador, conservador
., .

, 

Hughes, Hughes
:, :
", "
Só, só
nos, em o
EUA, EUA
poderia, poder
um, um
feto, feto
passar, passar
com, com
tanta, tanto
rapidez, rapidez
de, de
símbolo, símbolo
de, de
uma, um
', '
guerra, guerra
cultural, cultural
', '
a, a
logotipo, logotipo
de, de
um, um
acontecimento, acontecimento
esportivo, esportivo
., .
Whatizit, Whatizit
é, ser
um, um
lembrete, lembrete
bonitinho, bonitinho
de, de
uma, um
questão, questão
nem, nem
um, um
pouco, pouco
bonitinha, bonitinha
., .
É, ser
por, por
isso, isso
que, que
Whatizit, Whatizit
vai, ir
se, se
tornar, tornar
bastante, bastante
importuno, importuno
à, a o
medida, medida
que, que
se, se
aproximarem, aproximar
as, o
Olimpíadas, Olimpíadas
,, ,
e, e
gratuitamente, gratuitamente
incômodo, incômodo
", "
., .

, 

A, o
América, América
,, ,
como, como
dizia, dizer
Miles, Miles
Davis, Davis
,, ,
é, ser
um, um
país, país
maravilhoso, maravilhoso
onde, onde
você, você
pode, poder
reunir, reunir
mil, mil
vozes, voz
para, para
gravar, gravar
um, um
uníssono, uníssono
., .
Poucos, pouco
países, país
,, ,
na, em o
história, história
contemporânea, contemporâneo
,, ,
conseguem, conseguir
armar, armar
uma, um
infra-estrutura, infra-estrutura
perfeita, perfeito
para, para
sediar, sediar
,, ,
com, com
intervalo, intervalo
de, de
dois, dois
anos, ano
,, ,
os, o
dois, dois
maiores, grande
eventos, evento
da, de o
indústria, indústria
do, de o
entretenimento, entretenimento
,, ,
a, o
Copa, Copa
do, de o
Mundo, Mundo
de, de
Futebol, Futebol
e, e
as, o
Olimpíadas, Olimpíadas
., .

, 

Mas, mas
que, que
a, o
terra, terra
do, de o
tio, tio
Dave, Dave
tem, ter
suas, seu
esquisitices, esquisitice
,, ,
isto, isto
tem, ter
., .
E, e
que, que
–, –
mesmo, mesmo
depois, depois
do, de o
final, final
da, de o
Guerra, Guerra
Fria, Fria
–, –
o, o
esporte, esporte
terá, ter
ainda, ainda
que, que
passar, passar
pelas, por o
tensões, tensão
políticas, político
da, de o
Nova, Nova
Desordem, Desordem
Mundial, Mundial
,, ,
disto, de isto
também, também
não, não
resta, restar
a, o
menor, pequeno
dúvida, dúvida
., .

, 

O, o
fut, fut
e, e
a, o
futilidade, futilidade

, 

O, o
fut, fut
entra, entrar
em, em
1994, 1994
como, como
um, um
dos, de o
queridos, querido
do, de o
mundinho, mundinho
da, de o
mundanidade, mundanidade
., .
O, o
fut, fut
virou, virar
cult, cult
., .
O, o
último, último
número, número
da, de o
revista, revista
britânica, britânico
", "
The, The
Face, Face
", "
,, ,
por, por
exemplo, exemplo
,, ,
situa, situar
na, em o
coluna, coluna
", "
Up, up
", "
o, o
corte, corte
de, de
cabelo, cabelo
dos, de o
jogadores, jogador
de, de
futebol, futebol
., .

, 

Já, já
a, o
", "
Details, Details
", "
de, de
janeiro, janeiro
traz, trazer
uma, um
excelente, excelente
reportagem, reportagem
do, de o
também, também
britânico, britânico
Chris, Chris
Heath, Heath
–, –
cujo, cujo
principal, principal
destaque, destaque
no, em o
futebol, futebol
foi, ser
ajudar, ajudar
a, o
equipe, equipe
de, de
suporte, suporte
das, de o
excursões, excursão
do, de o
grupo, grupo
The, The
Cure, Cure
a, a
encontrar, encontrar
seus, seu
jogadores, jogador
–, –
sobre, sobre
John, John
Harkes, Harkes
,, ,
o, o
jogador, jogador
da, de o
seleção, seleção
dos, de o
EUA, EUA
que, que
conseguiu, conseguir
se, se
destacar, destacar
no, em o
campeonato, campeonato
inglês, inglês
(, (
é, ser
o, o
único, único
americano, americano
que, que
marcou, marcar
um, um
gol, gol
no, em o
estádio, estádio
de, de
Wembley, Wembley
), )
., .

, 

Entre, entre
outras, outro
coisas, coisa
,, ,
ele, ele
revela, revelar
uma, um
grande, grande
dificuldade, dificuldade
para, para
o, o
", "
soccer, soccer
", "
se, se
implantar, implantar
nos, em o
EUA, EUA
:, :
em, em
quase, quase
todos, todo
os, o
lugares, lugar
onde, onde
é, ser
forte, forte
,, ,
o, o
futebol, futebol
é, ser
um, um
esporte, esporte
amado, amar
pela, por o
massa, massa
de, de
proletários, proletário
e, e
pobres, pobre
., .
Os, o
EUA, EUA
querem, querer
que, que
,, ,
lá, lá
,, ,
ele, ele
seja, ser
um, um
jogo, jogo
que, que
entre, entrar
na, em o
mesma, mesmo
fatia, fatia
dos, de o
apreciadores, apreciador
do, de o
tênis, tênis
., .
Acho, achar
que, que
não, não
vai, ir
dar, dar
certo, certo
., .

, 

Matinas, Matinas
Suzuki, Suzuki
Jr., Jr.
escreve, escrever
nesta, em este
coluna, coluna
às, a o
terças, terça
,, ,
quintas, quintas
e, e
sábados, sábado
., .

, 

