Considerado, ﻿Considerar
favorito, favorito
,, ,
o, o
Vasco, Vasco
fez, fazer
as, o
principais, principal
contratações, contratação
do, de o
ano, ano
para, para
obter, obter
uma, um
conquista, conquista
inédita, inédito
em, em
sua, seu
história, história
,, ,
o, o
tricampeonato, tricampeonato
estadual, estadual
., .
Por, por
empréstimo, empréstimo
de, de
sete, sete
meses, mês
,, ,
pagou, pagar
US$, US$
500, 500
mil, mil
pelo, por o
zagueiro, zagueiro
Ricardo, Ricardo
Rocha, Rocha
(, (
incluindo, incluir
salários, salário
), )
,, ,
US$, US$
600, 600
mil, mil
pelo, por o
meia, meia
Dener, Dener
e, e
US$, US$
200, 200
mil, mil
pelo, por o
volante, volante
Luisinho, Luisinho
., .

, 

O, o
título, título
enfraqueceria, enfraqueceriar
a, o
oposição, oposição
ao, a o
presidente, presidente
Antônio, Antônio
Soares, Soares
Calçada, Calçada
,, ,
fortalecendo, fortalecer
a, o
candidatura, candidatura
do, de o
vice, vice
de, de
futebol, futebol
Eurico, Eurico
Miranda, Miranda
a, a
deputado, deputado
federal, federal
., .
O, o
time, time
empatou, empatar
duas, dois
vezes, vez
este, este
ano, ano
com, com
a, o
equipe, equipe
de, de
Maradona, Maradona
,, ,
o, o
Newell, Newell
's, 's
Old, Old
Boys, Boys
,, ,
na, em o
Argentina, Argentina
., .
(, (
MM, MM
), )

, 

