A, ﻿A
atuação, atuação
do, de o
pivô, pivô
Hakeem, Hakeem
Olajuwon, Olajuwon
foi, ser
fundamental, fundamental
na, em o
vitória, vitória
do, de o
Houston, Houston
Rockets, Rockets
sobre, sobre
o, o
Utah, Utah
Jazz, Jazz
por, por
106, 106
a, a
101, 101
,, ,
anteontem, anteontem
,, ,
na, em o
NBA, NBA
,, ,
quebrando, quebrar
uma, um
série, série
de, de
quatro, quatro
derrotas, derrota
consecutivas, consecutivo
de, de
sua, seu
equipe, equipe
., .
Olajuwon, Olajuwon
marcou, marcar
40, 40
pontos, ponto
e, e
pegou, pegar
dez, dez
rebotes, rebote
., .
Com, com
a, o
vitória, vitória
,, ,
o, o
Houston, Houston
abriu, abrir
vantagem, vantagem
de, de
três, três
vitórias, vitória
sobre, sobre
o, o
Jazz, Jazz
na, em o
luta, luta
pelo, por o
título, título
da, de o
Divisão, Divisão
do, de o
Meio-Oeste, Meio-Oeste
., .
O, o
San, San
Antonio, Antonio
Spurs, Spurs
assumiu, assumir
o, o
segundo, segundo
lugar, lugar
do, de o
grupo, grupo
,, ,
ao, a o
vencer, vencer
o, o
Dallas, Dallas
Mavericks, Mavericks
por, por
103, 103
a, a
83, 83
., .

, 

O, o
New, New
Jersey, Jersey
Nets, Nets
humilhou, humilhar
o, o
Golden, Golden
State, State
Warriors, Warriors
em, em
East, East
Rutherford, Rutherford
(, (
124, 124
a, a
98, 98
), )
,, ,
com, com
grande, grande
desempenho, desempenho
de, de
Kenny, Kenny
Anderson, Anderson
,, ,
responsável, responsável
por, por
20, 20
pontos, ponto
,, ,
dez, dez
assistências, assistência
e, e
dez, dez
bols, bol
roubadas, roubar
., .

, 

O, o
Seattle, Seattle
Supersonics, Supersonics
perdeu, perder
uma, um
invencibilidade, invencibilidade
de, de
quatro, quatro
jogos, jogo
ao, a o
cair, cair
diante, diante
do, de o
Denver, Denver
Nuggets, Nuggets
por, por
98, 98
a, a
91, 91
., .
Dikembe, Dikembe
Mutombo, Mutombo
marcou, marcar
18, 18
pontos, ponto
e, e
conseguiu, conseguir
11, 11
rebotes, rebote
para, para
os, o
Nuggets, Nuggets
,, ,
que, que
têm, ter
sido, ser
os, o
algozes, algoz
das, de o
equipes, equipe
da, de o
Conferência, Conferência
Oeste, Oeste
., .
Apesar, apesar
da, de o
derrota, derrota
,, ,
o, o
Seattle, Seattle
tem, ter
a, o
melhor, bom
campanha, campanha
da, de o
NBA, NBA
,, ,
com, com
30, 30
vitórias, vitória
e, e
seis, seis
derrotas, derrota
., .

, 

Mesmo, mesmo
sem, sem
contar, contar
com, com
Charles, Charles
Barkley, Barkley
,, ,
Kevin, Kevin
Johnson, Johnson
e, e
Danny, Danny
Ainge, Ainge
,, ,
todos, todo
contundidos, contundir
,, ,
o, o
Phoenix, Phoenix
Suns, Suns
derrotou, derrotar
o, o
Portland, Portland
Trail, Trail
Blazers, Blazers
por, por
118, 118
a, a
117, 117
., .

, 

Outros, outro
jogos, jogo
da, de o
rodada, rodada
:, :
Minnesota, Minnesota
Timberwolves, Timberwolves
91, 91
x, x
98, 98
Atlanta, Atlanta
Hawks, Hawks
,, ,
Indiana, Indiana
Pacers, Pacers
81, 81
x, x
90, 90
Chicago, Chicago
Bulls, Bulls
,, ,
Washington, Washington
Bullets, Bullets
98, 98
x, x
93, 93
Detroit, Detroit
Pistons, Pistons
,, ,
Philadelphia, Philadelphia
76ers, 76ers
112, 112
x, x
121, 121
Orlando, Orlando
Magic, Magic
,, ,
Charlotte, Charlotte
Hornets, Hornets
91, 91
x, x
80, 80
Milwaukee, Milwaukee
Bucks, Bucks
e, e
Sacramento, Sacramento
Kings, Kings
109, 109
x, x
119, 119
Cleveland, Cleveland
Cavaliers, Cavaliers
., .

, 

