Depois, ﻿Depois
de, de
uma, um
série, série
de, de
nove, nove
jogos, jogo
sem, sem
vitória, vitória
,, ,
o, o
técnico, técnico
João, João
Carlos, Carlos
da, de o
Silva, Silva
Costa, Costa
,, ,
39, 39
,, ,
deixou, deixar
o, o
Rio, Rio
Branco, Branco
., .

, 

Ele, ele
se, se
despediu, despedir
ontem, ontem
dos, de o
jogadores, jogador
,, ,
após, após
ter, ter
feito, fazer
acordo, acordo
com, com
a, o
diretoria, diretoria
do, de o
clube, clube
na, em o
noite, noite
de, de
anteontem, anteontem
., .

, 

A, o
diretoria, diretoria
do, de o
clube, clube
deve, dever
anunciar, anunciar
hoje, hoje
o, o
nome, nome
do, de o
novo, novo
técnico, técnico
., .

, 

O, o
time, time
de, de
Americana, Americana
participou, participar
ontem, ontem
de, de
um, um
amistoso, amistoso
na, em o
cidade, cidade
de, de
Brotas, Brotas
sob, sob
o, o
comando, comando
do, de o
técnico, técnico
interino, interino
,, ,
Arnaldo, Arnaldo
Traspadine, Traspadine
,, ,
treinador, treinador
da, de o
equipe, equipe
de, de
aspirantes, aspirante
., .

, 

João, João
Carlos, Carlos
disse, dizer
que, que
havia, haver
colocado, colocar
seu, seu
cargo, cargo
à, a o
disposição, disposição
no, em o
dia, dia
23, 23
,, ,
após, após
perder, perder
para, para
o, o
Bragantino, Bragantino
(, (
2, 2
a, a
0, 0
), )
,, ,
mas, mas
a, o
diretoria, diretoria
teria, ter
pedido, pedir
para, para
que, que
ele, ele
continuasse, continuar
., .

, 

O, o
técnico, técnico
ainda, ainda
dirigiu, dirigir
o, o
time, time
domingo, domingo
,, ,
na, em o
derrota, derrota
de, de
2, 2
a, a
0, 0
para, para
a, o
Ferroviária, Ferroviária
,, ,
e, e
comandou, comandar
os, o
treinamentos, treinamento
de, de
anteontem, anteontem
., .

, 

`, `
`, `
Após, após
o, o
treino, treino
,, ,
eles, eles
(, (
diretores, diretor
do, de o
Rio, Rio
Branco, Branco
), )
me, eu
procuraram, procurar
para, para
aceitar, aceitar
a, o
minha, meu
demissão, demissão
., .
Concordei, Concordei
porque, porque
estávamos, estar
sem, sem
vencer, vencer
há, haver
nove, nove
jogos, jogo
e, e
eu, eu
não, não
conseguia, conseguir
reverter, reverter
a, o
situação, situação
., .
'', ''

, 

Para, para
João, João
Carlos, Carlos
,, ,
a, o
mudança, mudança
de, de
técnico, técnico
pode, poder
`, `
`, `
mexer, mexer
'', ''
no, em o
grupo, grupo
e, e
provocar, provocar
uma, um
reação, reação
positiva, positivo
., .

, 

`, `
`, `
O, o
time, time
não, não
podia, poder
correr, correr
o, o
risco, risco
de, de
começar, começar
a, a
brigar, brigar
contra, contra
o, o
rebaixamento, rebaixamento
., .
Tem, ter
que, que
brigar, brigar
pela, por o
classificação, classificação
'', ''
,, ,
disse, dizer
o, o
técnico, técnico
., .

, 

