A, ﻿A
equipe, equipe
comandada, comandar
pelo, por o
técnico, técnico
José, José
Roberto, Roberto
Guimarães, Guimarães
chega, chegar
hoje, hoje
à, a o
noite, noite
a, a
São, São
Paulo, Paulo
., .
Ficará, Ficará
hospedada, hospedar
no, em o
hotel, hotel
The, The
Hill, Hill
,, ,
no, em o
Morumbi, Morumbi
(, (
zona, zona
sul, sul
), )
., .

, 

O, o
time, time
treina, treina
de, de
amanhã, amanhã
até, até
quinta-feira, quinta-feira
na, em o
Associação, Associação
Atlética, Atlética
Banco, Banco
do, de o
Brasil, Brasil
,, ,
em, em
Itapecerica, Itapecerica
da, de o
Serra, Serra
., .
O, o
objetivo, objetivo
é, ser
aprimorar, aprimorar
a, o
parte, parte
tática, tático
., .

, 

Na, em o
sexta, sexta
,, ,
os, o
jogadores, jogador
viajam, viajam
para, para
a, o
Europa, Europa
., .
O, o
time, time
disputa, disputar
dois, dois
amistosos, amistoso
contra, contra
a, o
Holanda, Holanda
e, e
,, ,
depois, depois
,, ,
enfrenta, enfrentar
a, o
Espanha, Espanha
pela, por o
Liga, Liga
Mundial, Mundial
., .

, 

