A, ﻿A
indisciplina, indisciplina
continua, continuar
sendo, ser
o, o
grande, grande
problema, problema
do, de o
Corinthians, Corinthians
., .
Essa, esse
é, ser
a, o
conclusão, conclusão
do, de o
técnico, técnico
Eduardo, Eduardo
Amorim, Amorim
., .

, 

Ele, ele
afirmou, afirmar
,, ,
após, após
o, o
jogo, jogo
,, ,
que, que
a, o
expulsão, expulsão
do, de o
meia, meia
Souza, Souza
,, ,
aos, a o
32min, 32min
do, de o
primeiro, primeiro
tempo, tempo
,, ,
foi, ser
decisiva, decisivo
para, para
a, o
derrota, derrota
de, de
sua, seu
equipe, equipe
diante, diante
do, de o
Palmeiras, Palmeiras
., .

, 

O, o
cartão, cartão
vermelho, vermelho
de, de
Souza, Souza
é, ser
o, o
12º, 12º
que, que
o, o
time, time
recebe, receber
no, em o
Paulista, paulista
., .

, 

Nas, em o
últimas, último
três, três
partidas, partida
do, de o
Corinthians, Corinthians
,, ,
três, três
jogadores, jogador
foram, ser
expulsos, expulso
ainda, ainda
no, em o
primeiro, primeiro
tempo, tempo
., .

, 

Além, além
de, de
Souza, Souza
,, ,
Bernardo, Bernardo
(, (
contra, contra
o, o
Paraná, Paraná
), )
e, e
Elivélton, Elivélton
(, (
contra, contra
o, o
Novorizontino, Novorizontino
), )
levaram, levar
o, o
cartão, cartão
vermelho, vermelho
., .

, 

`, `
`, `
Assim, assim
não, não
há, haver
esquema, esquema
que, que
resista, resista
., .
O, o
Souza, Souza
foi, ser
expulso, expulso
em, em
um, um
momento, momento
muito, muito
importante, importante
do, de o
jogo, jogo
e, e
o, o
time, time
se, se
perdeu, perder
., .
Ele, ele
jamais, jamais
poderia, poder
revidar, revidar
a, o
entrada, entrada
do, de o
Amaral, Amaral
'', ''
,, ,
afirmou, afirmar
Amorim, Amorim
., .

, 

O, o
diretor, diretor
de, de
futebol, futebol
,, ,
José, José
Mansur, Mansur
,, ,
concordou, concordar
com, com
o, o
treinador, treinador
:, :
`, `
`, `
Já, já
nos, nós
reunimos, reunir
com, com
os, o
jogadores, jogador
e, e
exigimos, exigir
o, o
fim, fim
dos, de o
cartões, cartão
., .
O, o
Souza, Souza
será, ser
multado, multar
,, ,
assim, assim
como, como
o, o
Elivélton, Elivélton
., .
Se, se
não, não
adiantar, adiantar
,, ,
os, o
que, que
forem, ser
expulsos, expulso
podem, poder
ser, ser
afastados, afastar
daqui, de aqui
para, para
frente, frente
., .
'', ''

, 

Mansur, Mansur
aproveitou, aproveitar
para, para
garantir, garantir
a, o
permanência, permanência
de, de
Eduardo, Eduardo
Amorim, Amorim
no, em o
comando, comando
da, de o
equipe, equipe
., .
`, `
`, `
Ele, ele
não, não
tem, ter
culpa, culpa
de, de
nada, nada
'', ''
,, ,
disse, dizer
., .

, 

O, o
dirigente, dirigente
preferiu, preferir
culpar, culpar
o, o
árbitro, árbitro
Dalmo, Dalmo
Bozzano, Bozzano
pela, por o
derrota, derrota
., .

, 

`, `
`, `
Ele, ele
não, não
expulsou, expulsar
o, o
Amaral, Amaral
,, ,
anulou, anular
um, um
gol, gol
legítimo, legítimo
do, de o
Bernardo, Bernardo
e, e
ainda, ainda
validou, validar
o, o
terceiro, terceiro
gol, gol
do, de o
Palmeiras, Palmeiras
,, ,
em, em
impedimento, impedimento
., .
Esse, esse
juiz, juiz
não, não
apita, apitar
mais, mais
jogos, jogo
do, de o
Corinthians, Corinthians
'', ''
,, ,
disse, dizer
., .

, 

No, em o
vestiário, vestiário
,, ,
a, o
preocupação, preocupação
era, ser
consolar, consolar
o, o
goleiro, goleiro
Ronaldo, Ronaldo
,, ,
que, que
ameaçou, ameaçar
deixar, deixar
a, o
equipe, equipe
., .

, 

`, `
`, `
Todos, todo
os, o
jogadores, jogador
do, de o
time, time
já, já
foram, ser
xingados, xingar
., .
Se, se
cada, cada
um, um
resolver, resolver
sair, sair
por, por
causa, causa
disso, de isso
,, ,
não, não
haverá, haver
time, time
para, para
entrar, entrar
em, em
campo, campo
'', ''
,, ,
disse, dizer
o, o
volante, volante
Bernardo, Bernardo
., .

, 

`, `
`, `
É, ser
hora, hora
de, de
manter, manter
a, o
tranquilidade, tranquilidade
., .
Temos, ter
um, um
jogo, jogo
importante, importante
contra, contra
o, o
Vasco, Vasco
,, ,
quarta-feira, quarta-feira
,, ,
pelas, por o
semifinais, semifinal
da, de o
Copa, copa
do, de o
Brasil, Brasil
,, ,
e, e
temos, ter
que, que
nos, nós
preparar, preparar
adequadamente, adequadamente
'', ''
,, ,
disse, dizer
Eduardo, Eduardo
Amorim, Amorim
., .

, 

Para, para
esse, esse
jogo, jogo
,, ,
no, em o
Maracanã, maracanã
,, ,
o, o
treinador, treinador
deve, dever
contar, contar
com, com
as, o
voltas, volta
de, de
Zé, Zé
Elias, Elias
e, e
Viola, Viola
,, ,
que, que
estavam, estar
machucados, machucado
., .
Bernardo, Bernardo
e, e
André, André
Santos, Santos
,, ,
suspensos, suspensos
,, ,
não, não
jogam, jogar
., .

, 

