Com, ﻿Com
a, o
convocação, convocação
de, de
Rivaldo, Rivaldo
para, para
a, o
seleção, seleção
brasileira, brasileiro
,, ,
o, o
meia, meia
Paulo, Paulo
Isidoro, Isidoro
tem, ter
a, o
chance, chance
de, de
recuperar, recuperar
a, o
posição, posição
de, de
titular, titular
no, em o
Palmeiras, Palmeiras
., .

, 

Ele, ele
deve, dever
ser, ser
mantido, manter
na, em o
equipe, equipe
pelo, por o
menos, menos
nos, em o
próximos, próximo
quatro, quatro
jogos, jogo
., .

, 

(, (
AR, AR
), )

, 

Folha, Folha
-, -
A, o
sequência, sequência
de, de
quatro, quatro
jogos, jogo
,, ,
devido, devido
a, o
ausência, ausência
do, de o
Rivaldo, Rivaldo
,, ,
será, ser
suficiente, suficiente
para, para
você, você
reconquistar, reconquistar
uma, um
vaga, vaga
no, em o
time, time
?, ?

, 

Paulo, Paulo
Isidoro, Isidoro
-, -
Tenho, ter
condições, condição
de, de
ser, ser
titular, titular
,, ,
mesmo, mesmo
quando, quando
o, o
Rivaldo, Rivaldo
voltar, voltar
., .
Mas, mas
a, o
saída, saída
dele, de ele
,, ,
agora, agora
,, ,
não, não
deixa, deixar
de, de
ser, ser
uma, um
grande, grande
chance, chance
para, para
mim, eu
., .

, 

Folha, Folha
-, -
O, o
técnico, técnico
Carlos, Carlos
Alberto, Alberto
Silva, Silva
pediu, pedir
mais, mais
marcação, marcação
aos, a o
defensores, defensor
e, e
ao, a o
meio-campo, meio-campo
., .
Qual, qual
foi, ser
a, o
instrução, instrução
para, para
o, o
ataque, ataque
?, ?

, 

Paulo, Paulo
Isidoro, Isidoro
-, -
Não, não
perder, perder
gols, gol
., .
Nosso, nosso
time, time
vem, vir
desperdiçando, desperdiçar
muitas, muito
oportunidades, oportunidade
,, ,
o, o
que, que
permite, permitir
o, o
crescimento, crescimento
do, de o
adversário, adversário
durante, durante
o, o
jogo, jogo
., .
Eu, eu
,, ,
particularmente, particularmente
,, ,
terei, ter
que, que
jogar, jogar
encostado, encostar
no, em o
ataque, ataque
,, ,
buscando, buscar
os, o
espaços, espaço
vazios, vazio
., .

, 

