Uma, ﻿Uma
interrogação, interrogação
antes, antes
do, de o
jogo, jogo
:, :
Roberto, Roberto
Baggio, Baggio
entraria, entrar
em, em
campo, campo
com, com
sua, seu
faixa, faixa
de, de
capitão, capitão
azul-amarela-vermelha, azul-amarela-vermelha
,, ,
com, com
símbolos, símbolo
budistas, budista
japoneses, japonês
?, ?

, 

Nobres, Nobres
romanos, romano
escreveram, escrever
à, a o
direção, direção
da, de o
Juve, juve
pedindo, pedir
que, que
ele, ele
voltasse, voltar
a, a
usar, usar
a, o
faixa, faixa
azul, azul
,, ,
símbolo, símbolo
da, de o
nobreza, nobreza
da, de o
casa, casa
dos, de o
Savoia, Savoia
., .

, 

Baggio, Baggio
entrou, entrar
com, com
a, o
faixa, faixa
tricolor, tricolor
., .
E, e
foi, ser
um, um
jogador, jogador
decisivo, decisivo
,, ,
fazendo, fazer
assistências, assistência
para, para
três, três
golaços, golaço
., .
E, e
agora, agora
toda, todo
a, o
Turim, Turim
exige, exigir
que, que
ele, ele
fique, ficar
na, em o
Juve, Juve
., .

, 

A, o
torcida, torcida
,, ,
que, que
cantou, cantar
`, `
`, `
We, We
Are, Are
the, the
Champions, Champions
'', ''
,, ,
invadiu, invadir
a, o
Piazza, Piazza
San, San
Carlo, Carlo
e, e
as, o
ruas, rua
centrais, central
de, de
Turim, Turim
., .

, 

