Rubens, ﻿Rubens
Barrichello, Barrichello
parece, parecer
ter, ter
chegado, chegar
ao, a o
ápice, ápice
da, de o
crise, crise
pessoal, pessoal
que, que
enfrenta, enfrentar
na, em o
temporada, temporada
deste, de este
ano, ano
., .
E, e
,, ,
como, como
nunca, nunca
,, ,
espera, esperar
uma, um
boa, bom
participação, participação
no, em o
GP, GP
da, de o
Espanha, Espanha
,, ,
hoje, hoje
,, ,
em, em
Barcelona, Barcelona
., .

, 

O, o
piloto, piloto
vive, viver
situação, situação
singular, singular
na, em o
equipe, equipe
Jordan, Jordan
., .
Foi, ser
6º, 6º
colocado, colocar
em, em
94, 94
e, e
deixou, deixar
a, a
de, de
ser, ser
obrigado, obrigar
a, a
trazer, trazer
patrocinadores, patrocinador
para, para
o, o
time, time
., .

, 

E, e
foi, ser
alçado, alçar
à, a o
condição, condição
de, de
`, `
`, `
sucessor, sucessor
'', ''
de, de
Ayrton, Ayrton
Senna, Senna
,, ,
tricampeão, tricampeão
mundial, mundial
morto, matar
há, há
um, um
ano, ano
,, ,
tendo, ter
apenas, apenas
dois, dois
anos, ano
de, de
F-1, F-1
., .

, 

Com, com
a, o
abertura, abertura
da, de o
temporada, temporada
,, ,
em, em
março, março
no, em o
Brasil, Brasil
,, ,
surgiu, surgir
a, a
outra, outro
realidade, realidade
desse, de esse
contexto, contexto
:, :
a, o
cobrança, cobrança
do, de o
público, público
e, e
da, de o
mídia, mídia
., .

, 

Parte, parte
da, de o
culpa, culpa
cabe, caber
ao, a o
próprio, próprio
Barrichello, Barrichello
que, que
,, ,
talvez, talvez
por, por
inexperiência, inexperiência
(, (
fará, fazer
23, 23
anos, ano
dia, dia
23, 23
), )
,, ,
cultivou, cultivar
e, e
propagou, propagar
demais, demais
a, o
esperança, esperança
na, em o
parceria, parceria
entre, entre
a, o
Jordan, Jordan
e, e
a, o
fábrica, fábrica
francesa, francês
Peugeot, Peugeot
., .

, 

Anteontem, anteontem
,, ,
depois, depois
de, de
reclamar, reclamar
publicamente, publicamente
do, de o
desempenho, desempenho
de, de
seu, seu
carro, carro
,, ,
o, o
que, que
acabou, acabar
gerando, gerar
uma, um
crise, crise
no, em o
time, time
irlandês, irlandês
,, ,
Barrichello, Barrichello
falou, falar
sobre, sobre
o, o
assunto, assunto
., .

, 

`, `
`, `
Em, em
Imola, Imola
,, ,
baixei, baixei
a, o
bola, bola
., .
Reconheço, Reconheço
que, que
até, até
então, então
ela, ela
estava, estar
muito, muito
cheia, cheio
'', ''
,, ,
disse, dizer
o, o
piloto, piloto
,, ,
para, para
justificar, justificar
,, ,
que, que
agora, agora
,, ,
o, o
problema, problema
está, estar
mesmo, mesmo
no, em o
carro, carro
., .

, 

(, (
JHM, JHM
), )

, 

LIGUE, LIGUE

, 

Ligue, Ligue
a, a
partir, partir
das, de o
13h, 13h
para, para
o, o
Folha, Folha
Informações, Informações
Esporte, Esporte
,, ,
900-0316, 900-0316
,, ,
para, para
saber, saber
o, o
resultado, resultado
do, de o
GP, GP
da, de o
Espanha, Espanha
de, de
Fórmula, Fórmula
1, 1
., .
A, o
ligação, ligação
custa, custar
R$, R$
1,17, 1,17
por, por
minuto, minuto
e, e
o, o
serviço, serviço
funciona, funcionar
em, em
todo, todo
o, o
Estado, estado
de, de
São, São
Paulo, Paulo
., .

, 

