Meus, ﻿Meu
amigos, amigo
,, ,
meus, meu
inimigos, inimigo
,, ,
não, não
deu, dar
para, para
entender, entender
por, por
que, que
a, o
diretoria, diretoria
do, de o
Corinthians, Corinthians
não, não
acertou, acertar
a, o
compra, compra
do, de o
Rivaldo, Rivaldo
no, em o
momento, momento
em, em
que, que
ele, ele
começou, começar
a, a
mostrar, mostrar
o, o
seu, seu
potencial, potencial
., .

, 

Ou, ou
por, por
que, que
não, não
fixaram, fixar
o, o
preço, preço
do, de o
seu, seu
passe, passe
desde, desde
o, o
início, início
., .
Deixaram, Deixaram
para, para
negociar, negociar
depois, depois
do, de o
sucesso, sucesso
dele, de ele
no, em o
campeonato, campeonato
e, e
na, em o
seleção, seleção
e, e
o, o
resultado, resultado
está, estar
aí, aí
., .

, 

Bem, bem
mais, mais
esperta, esperto
foi, ser
a, o
diretoria, diretoria
do, de o
São, São
Paulo, Paulo
com, com
o, o
Juninho, Juninho
., .
O, o
Corinthians, Corinthians
apenas, apenas
serviu, servir
de, de
marketing, marketing
nacional, nacional
para, para
o, o
Mogi, Mogi
Mirim, Mirim
., .

, 

Animais, Animais
e, e
times, time

, 

Já, já
se, se
sabe, saber
que, que
os, o
americanos, americano
não, não
são, ser
pessoas, pessoa
muito, muito
sérias, sério
., .
No, em o
mundo, mundo
do, de o
esportes, esporte
,, ,
então, então
,, ,
as, o
chances, chance
da, de o
Gringolândia, Gringolândia
do, de o
tio, tio
Dave, Dave
se, se
tornar, tornar
um, um
lugar, lugar
muito, muito
parecido, parecer
com, com
o, o
reino, reino
das, de o
bonecas, boneca
Barbie, Barbie
são, ser
bastante, bastante
grandes, grande
., .

, 

Lá, lá
,, ,
como, como
aqui, aqui
,, ,
os, o
times, time
–, –
seja, ser
de, de
basquete, basquete
ou, ou
de, de
futebol, futebol
–, –
também, também
são, ser
conhecidos, conhecer
por, por
apelidos, apelido
., .
Falamos, Falamos
no, em o
Peixe, Peixe
,, ,
no, em o
Leão, Leão
,, ,
no, em o
Touro, Touro
do, de o
Vale, Vale
etc., etc.

, 

Mas, mas
,, ,
por, por
mais, mais
fanáticos, fanático
que, que
possam, poder
ser, ser
os, o
torcedores, torcedor
brasileiros, brasileiro
pelos, por o
seus, seu
símbolos, símbolo
,, ,
penso, pensar
que, que
ainda, ainda
não, não
chegamos, chegar
a, a
tantas, tanto
intimidades, intimidade
com, com
o, o
mundo, mundo
da, de o
fantasia, fantasia
como, como
naquele, em aquele
país, país
–, –
onde, onde
,, ,
aliás, aliás
,, ,
um, um
grupo, grupo
de, de
feministas, feministo
passou, passar
a, a
considerar, considerar
que, que
todo, todo
ato, ato
sexual, sexual
humano, humano
que, que
não, não
tenha, ter
a, o
reprodução, reprodução
como, como
finalidade, finalidade
deve, dever
ser, ser
considerado, considerar
um, um
estupro, estupro
., .

, 

Um, um
professor, professor
da, de o
Universidade, Universidade
Xavier, Xavier
,, ,
Ohio, Ohio
,, ,
chamado, chamar
Ernest, Ernest
Fontana, Fontana
–, –
segundo, segundo
Bob, Bob
Matthews, Matthews
,, ,
do, de o
jornal, jornal
", "
USA, USA
Today, Today
", "
–, –
,, ,
está, estar
lançando, lançar
o, o
Grande, Grande
Debate, Debate
do, de o
Apelido, Apelido
dos, de o
Times, Times
Universitários, Universitários
., .

, 

Na, em o
listinha, listinha
do, de o
ocupado, ocupado
professor, professor
Matthews, Matthews
,, ,
Tigre, Tigre
é, ser
o, o
apelido, apelido
adotado, adotar
por, por
25, 25
times, time
de, de
universidades, universidade
americanas, americano
., .
Certamente, certamente
pelo, por o
aspecto, aspecto
agressivo, agressivo
:, :
os, o
tigres, tigr
da, de o
ira, ira
são, ser
preferíveis, preferível
aos, a o
camelos, camelo
da, de o
cultura, cultura
,, ,
como, como
diria, dir
o, o
poeta, poeta
., .
A, o
América, América
,, ,
realmente, realmente
,, ,
não, não
é, ser
um, um
tigre, tigre
de, de
papel, papel
., .

, 

Em, em
segundo, segundo
lugar, lugar
na, em o
lista, lista
de, de
animais, animal
preferidos, preferir
como, como
símbolo, símbolo
,, ,
está, estar
o, o
Buldogue, Buldogue
,, ,
talvez, talvez
por, por
ser, ser
metade, metade
cachorro, cachorro
metade, metade
touro, touro
., .
Ele, ele
foi, ser
adotado, adotar
por, por
22, 22
universidades, universidade
., .
Em, em
terceiro, terceiro
neste, em este
curioso, curioso
ranking, ranking
,, ,
fica, ficar
a, o
águia, águia
,, ,
com, com
19, 19
adoções, adoção
., .
Como, como
se, se
vê, ver
,, ,
também, também
por, por
lá, lá
há, haver
quem, quem
prefira, prefirar
adotar, adotar
a, o
frieza, frieza
e, e
argúcia, argúcia
da, de o
ave, ave
de, de
rapina, rapina
., .

, 

Bob, Bob
Matthews, Matthews
diz, dizer
que, que
ainda, ainda
há, haver
uma, um
lista, lista
grande, grande
de, de
animais, animal
disponíveis, disponível
,, ,
que, que
não, não
encontraram, encontrar
times, time
para, para
adotá-los, adotá lós
., .
E, e
sugere, sugerir
Girafa, Girafa
para, para
algum, algum
time, time
de, de
basquete, basquete
ou, ou
Gafanhoto, Gafanhoto
(, (
talvez, talvez
pela, por o
referência, referência
à, a o
grama, grama
que, que
há, haver
no, em o
nome, nome
do, de o
inseto, inseto
em, em
inglês, inglês
), )
para, para
um, um
time, time
de, de
futebol, futebol
., .

, 

Mas, mas
,, ,
nada, nada
bate, bater
o, o
apelido, apelido
adotado, adotar
pelo, por o
time, time
da, de o
Universidade, Universidade
da, de o
Califórinia, Califórinia
,, ,
em, em
Santa, Santa
Cruz, Cruz
., .
Seus, seu
torcedores, torcedor
adoram, adorar
ser, ser
chamados, chamar
de, de
alguma, algum
coisa, coisa
parecida, parecido
como, como
os, o
Lesmas, Lesmas
de, de
Banana, Banana
., .

, 

Pode, poder
parecer, parecer
engraçado, engraçar
para, para
nós, nós
brasileiros, brasileiro
., .
Mas, mas
,, ,
como, como
tudo, tudo
na, em o
vida, vida
,, ,
depende, depender
da, de o
perspectiva, perspectiva
de, de
quem, quem
está, estar
olhando, olhar
., .
O, o
colunista, colunista
Matthews, Matthews
,, ,
por, por
exemplo, exemplo
,, ,
inclui, incluir
o, o
Porco, Porco
como, como
um, um
dos, de o
animais, animal
não, não
recomendados, recomendar
para, para
ser, ser
símbolo, símbolo
de, de
time, time
algum, algum
., .

, 

E, e
todos, todo
nós, nós
conhecemos, conhecer
uma, um
imensa, imenso
torcida, torcida
que, que
,, ,
em, em
caso, caso
raríssimo, raríssimo
de, de
identificação, identificação
com, com
os, o
inimigos, inimigo
na, em o
história, história
do, de o
esporte, esporte
,, ,
adotou, adotar
o, o
símbolo, símbolo
da, de o
difamação, difamação
como, como
o, o
apelido, apelido
da, de o
afirmação, afirmação
de, de
sua, seu
identidade, identidade
–, –
até, até
então, então
bastante, bastante
maltratada, maltratar
pelos, por o
adversários, adversário
., .

, 

Que, que
tipo, tipo
de, de
estudos, estudo
poderia, poder
desenvolver, desenvolver
o, o
expert, expert
no, em o
assunto, assunto
,, ,
o, o
nosso, nosso
professor, professor
Fontana, Fontana
,, ,
quando, quando
descobrir, descobrir
que, que
abaixo, abaixo
do, de o
Equador, Equador
milhares, milhar
de, de
pessoas, pessoa
se, se
juntam, juntar
em, em
estádios, estádio
para, para
gritarem, gritarem
", "
Pooorco, pooorco
", "
orgulhosamente, orgulhosamente
?, ?

, 

Segundo, segundo
o, o
professor, professor
Fontana, Fontana
,, ,
os, o
times, time
devem, dever
mesmo, mesmo
procurar, procurar
seus, seu
apelidos, apelido
nos, em o
animais, animal
., .
", "
Ursos, Ursos
não, não
podem, poder
falar, falar
", "
,, ,
justifica, justificar
ele, ele
., .

, 

Mas, mas
,, ,
no, em o
país, país
das, de o
feministas, feministo
furiosas, furioso
e, e
do, de o
Politicamente, Politicamente
Correto, Correto
,, ,
espere, esperir
até, até
que, que
Associação, Associação
dos, de o
Protetores, Protetores
do, de o
Animais, Animais
comece, começar
a, a
falar, falar
por, por
eles, ele
., .

, 

Matinas, Matinas
Suzuki, Suzuki
Jr., Jr.
escreve, escrever
nesta, em este
coluna, coluna
às, a o
terças, terça
,, ,
quintas, quintas
e, e
sábados, sábado
., .

, 

