Mesmo, ﻿Mesmo
desfalcado, desfalcar
do, de o
cestinha, cestinha
Ricky, Ricky
Pierce, Pierce
,, ,
o, o
Seattle, Seattle
Supersonics, Supersonics
derrotou, derrotar
com, com
facilidade, facilidade
o, o
Los, Los
Angeles, Angeles
Lakers, Lakers
por, por
103, 103
a, a
88, 88
,, ,
em, em
casa, casa
,, ,
e, e
melhorou, melhorar
ainda, ainda
mais, mais
sua, seu
campanha, campanha
na, em o
NBA, NBA
,, ,
a, o
liga, Liga
profissional, profissional
de, de
basquete, basquete
dos, de o
EUA, EUA
., .
O, o
time, time
lidera, liderar
a, o
temporada, temporada
com, com
28, 28
vitórias, vitória
e, e
cinco, cinco
derrotas, derrota
,, ,
aparecendo, aparecer
a, a
seguir, seguir
o, o
Houston, Houston
Rockets, Rockets
com, com
28, 28
vitórias, vitória
e, e
oito, oito
derrotas, derrota
., .

, 

O, o
Seattle, Seattle
é, ser
o, o
primeiro, primeiro
colocado, colocado
na, em o
divisão, divisão
Pacífico, Pacífico
e, e
o, o
Los, Los
Angeles, Angeles
Lakers, Lakers
,, ,
o, o
pior, mau
,, ,
com, com
11, 11
vitórias, vitória
e, e
25, 25
derrotas, derrota
., .
Foi, ser
a, o
quarta, quarto
derrota, derrota
consecutiva, consecutivo
dos, de o
Lakers, Lakers
., .

, 

Outros, outro
resultados, resultado
:, :
Miami, Miami
124, 124
x, x
126, 126
L.A.Clippers, L.A.Clippers
,, ,
Milwaukee, Milwaukee
123, 123
x, x
91, 91
Detroit, Detroit
,, ,
Houston, Houston
83, 83
x, x
95, 95
Boston, Boston
,, ,
Denver, Denver
103, 103
x, x
104, 104
Portland, Portland
e, e
Phoenix, Phoenix
113, 113
x, x
103, 103
Dallas, Dallas
., .

, 

A, o
direção, direção
da, de o
NBA, NBA
anunciou, anunciar
ontem, ontem
que, que
colocará, colocar
música, música
de, de
fundo, fundo
durante, durante
a, o
apresentação, apresentação
dos, de o
seis, seis
jogadores, jogador
no, em o
concurso, concurso
de, de
enterradas, enterrada
,, ,
programado, programar
para, para
o, o
próximo, próximo
dia, dia
12, 12
,, ,
em, em
Minneapolis, Minneapolis
., .
O, o
concurso, concurso
integra, integrar
o, o
fim-de-semana, fim-de-semana
do, de o
Jogo, Jogo
das, de o
Estrelas, Estrelas
,, ,
que, que
reúne, reunir
as, o
seleções, seleção
do, de o
Leste, leste
e, e
do, de o
Oeste, Oeste
da, de o
NBA, NBA
., .
O, o
objetivo, objetivo
é, ser
animar, animar
a, o
disputa, disputa
., .
Estão, Estão
selecionados, selecionar
seis, seis
jogadores, jogador
para, para
o, o
concurso, concurso
:, :
Shaw, Shaw
Kemp, Kemp
(, (
Seattle, Seattle
), )
,, ,
Harold, Harold
Miner, Miner
(, (
Miami, Miami
), )
,, ,
Robert, Robert
Pack, Pack
(, (
Denver, Denver
), )
,, ,
Isaiah, Isaiah
Rider, Rider
(, (
Minnesota, Minnesota
), )
,, ,
James, James
Robinson, Robinson
(, (
Portland, Portland
), )
e, e
Doug, Doug
Christie, Christie
(, (
Lakers, Lakers
), )
., .

, 

