Uma, ﻿Uma
vitória, vitória
,, ,
hoje, hoje
,, ,
contra, contra
a, o
Ferroviária, Ferroviária
,, ,
em, em
Araraquara, Araraquara
,, ,
classifica, classificar
a, o
Portuguesa, Portuguesa
para, para
o, o
octogonal, octogonal
final, final
do, de o
Campeonato, Campeonato
Paulista, Paulista
., .

, 

Este, este
é, ser
o, o
cálculo, cálculo
do, de o
técnico, técnico
Candinho, Candinho
., .
`, `
`, `
Com, com
41, 41
pontos, ponto
ganhos, ganho
,, ,
asseguramos, assegurar
uma, uma
das, de o
sete, sete
vagas, vaga
'', ''
,, ,
disse, dizer
o, o
treinador, treinador
., .

, 

As, o
sete, sete
primeiras, primeiro
equipes, equipe
da, de o
Série, Série
A-1, A-1
e, e
a, o
primeira, primeiro
colocada, colocada
da, de o
Série, Série
A-2, A-2
disputam, disputar
a, o
segunda, segundo
fase, fase
do, de o
campeonato, campeonato
., .

, 

A, o
Portuguesa, Portuguesa
é, ser
a, o
atual, atual
vice-líder, vice-líder
do, de o
campeonato, campeonato
,, ,
com, com
38, 38
pontos, ponto
., .
O, o
São, São
Paulo, Paulo
é, ser
o, o
primeiro, primeiro
,, ,
com, com
41, 41
pontos, ponto
., .

, 

As, o
equipes, equipe
da, de o
Ferroviária, Ferroviária
e, e
do, de o
Rio, Rio
Branco, Branco
,, ,
que, que
ocupam, ocupar
a, o
oitava, oitavo
posição, posição
,, ,
somam, somar
26, 26
pontos, ponto
., .
Faltam, Faltam
nove, nove
rodadas, rodada
para, para
o, o
final, final
da, de o
primeira, primeiro
fase, fase
e, e
cada, cada
time, time
pode, poder
somar, somar
mais, mais
27, 27
pontos, ponto
., .

, 

Com, com
exceção, exceção
de, de
Palmeiras, Palmeiras
e, e
Araçatuba, Araçatuba
,, ,
que, que
ainda, ainda
têm, ter
dez, dez
jogos, jogo
(, (
30, 30
pontos, ponto
), )
para, para
disputar, disputar
., .

, 

`, `
`, `
Na, em o
disputa, disputa
das, de o
partidas, partida
as, o
equipes, equipe
vão, ir
perder, perder
muitos, muito
pontos, ponto
'', ''
,, ,
disse, dizer
Candinho, Candinho
., .

, 

O, o
treinador, treinador
não, não
poderá, poder
escalar, escalar
o, o
atacante, atacante
Flávio, Flávio
,, ,
vice-artilheiro, vice-artilheiro
da, de o
equipe, equipe
com, com
nove, nove
gols, gol
., .
O, o
jogador, jogador
sente, sentir
fortes, forte
dores, dor
na, em o
coxa, coxa
esquerda, esquerdo
., .

, 

Jorge, Jorge
Andrade, Andrade
será, ser
o, o
titular, titular
., .
Esta, este
será, ser
a, o
primeira, primeiro
partida, partida
em, em
que, que
o, o
jogador, jogador
atuará, atuar
desde, desde
o, o
início, início
., .

, 

`, `
`, `
Ainda, ainda
sinto, sinto
falta, falta
de, de
entrosamento, entrosamento
com, com
o, o
Paulinho, Paulinho
'', ''
,, ,
disse, dizer
o, o
jogador, jogador
referindo-se, referindo-se
ao, a o
companheiro, companheiro
de, de
ataque, ataque
., .

, 

(, (
WBJr, WBJr
., .
), )

, 

FERROVIÁRIA, FERROVIÁRIA

, 

Paulo, Paulo
Sérgio, Sérgio
;, ;
Marquinhos, Marquinhos
Capixaba, Capixaba
,, ,
Ronaldo, Ronaldo
,, ,
Laércio, Laércio
e, e
Bezerra, Bezerra
;, ;
Sílvio, Sílvio
Donizete, Donizete
,, ,
Gilmar, Gilmar
,, ,
Vilmar, Vilmar
;, ;
Catatau, Catatau
,, ,
Adalberto, Adalberto
e, e
Carlinhos, Carlinhos
., .
Técnico, Técnico
-, -
Vail, Vail
Mota, Mota

, 

PORTUGUESA, PORTUGUESA
Paulo, Paulo
César, César
;, ;
Edinho, Edinho
,, ,
Jorginho, Jorginho
,, ,
Gilmar, Gilmar
e, e
Zé, Zé
Roberto, Roberto
;, ;
Norberto, Norberto
,, ,
Capitão, Capitão
,, ,
Caio, Caio
e, e
Zinho, Zinho
;, ;
Jorge, Jorge
Andrade, Andrade
e, e
Paulinho, Paulinho
., .
Técnico, Técnico
-, -
Candinho, Candinho

, 

Local, Local
-, -
Araraquara, Araraquara

, 

Horário, Horário
-, -
20h30, 20h30

, 

Juiz, Juiz
 ,  
-, -
Dalmo, Dalmo
Bozzano, Bozzano

, 

NA, NA
TV, tv

, 

Gols, Gols
nos, em o
telejornais, telejornal
noturno, noturno

, 

