O, ﻿O
motorista, motorista
de, de
caminhão, caminhão
Antonio, Antonio
Carlos, Carlos
Gomes, Gomes
,, ,
30, 30
,, ,
santista, santista
,, ,
foi, ser
atingido, atingir
ontem, ontem
por, por
uma, um
bomba, bomba
de, de
fabricação, fabricação
caseira, caseira
atirada, atirar
por, por
torcedores, torcedor
do, de o
Palmeiras, Palmeiras
., .

, 

Ele, ele
sofreu, sofrer
ferimentos, ferimento
graves, grave
em, em
seu, seu
pé, pé
esquerdo, esquerdo
e, e
foi, ser
internado, internar
na, em o
Santa, Santa
Casa, Casa
de, de
Santos, Santos
., .
Segundo, segundo
informações, informação
preliminares, preliminar
dos, de o
médicos, médico
,, ,
Gomes, Gomes
_, _
residente, residente
em, em
Mogi, Mogi
das, de o
Cruzes, Cruzes
_, _
seria, ser
operado, operar
e, e
não, não
corre, correr
o, o
risco, risco
de, de
ter, ter
o, o
pé, pé
amputado, amputado
., .

, 

A, o
Polícia, Polícia
Militar, Militar
prendeu, prender
dois, dois
suspeitos, suspeito
de, de
terem, ter
jogado, jogar
a, o
bomba, bomba
., .
Ambos, ambos
são, ser
integrantes, integrante
da, de o
torcida, torcida
Mancha, Mancha
Verde, Verde
,, ,
do, de o
Palmeiras, Palmeiras
., .

, 

Os, o
menores, menor
Ricardo, Ricardo
Rodrigues, Rodrigues
,, ,
14, 14
,, ,
e, e
Sidnei, Sidnei
Lopes, Lopes
,, ,
15, 15
,, ,
também, também
foram, ser
feridos, ferir
na, em o
explosão, explosão
da, de o
bomba, bomba
., .
Ricardo, Ricardo
Rodrigues, Rodrigues
foi, ser
atingido, atingir
por, por
estilhaços, estilhaço
no, em o
abdome, abdome
., .
Sidnei, Sidnei
Lopes, Lopes
levou, levar
uma, um
pancada, pancada
de, de
um, um
guarda, guarda
,, ,
na, em o
confusão, confusão
., .

, 

Segundo, segundo
torcedores, torcedor
do, de o
Santos, Santos
,, ,
que, que
estavam, estar
próximos, próximo
ao, a o
local, local
da, de o
explosão, explosão
,, ,
integrantes, integrante
da, de o
Mancha, Mancha
Verde, Verde
fizeram, fazer
uma, um
roda, roda
na, em o
arquibancada, arquibancada
e, e
lançaram, lançar
a, o
bomba, bomba
com, com
o, o
auxílio, auxílio
de, de
um, um
estilingue, estilingue
., .

, 

Os, o
santistas, santista
afirmaram, afirmar
também, também
que, que
o, o
incidente, incidente
pode, poder
ter, ter
sido, ser
provocado, provocar
por, por
membros, membro
da, de o
torcida, torcida
Jovem, Jovem
,, ,
do, de o
Vasco, Vasco
,, ,
que, que
estariam, estar
infiltrados, infiltrado
na, em o
Mancha, Mancha
Verde, Verde
., .

, 

Santistas, Santistas
e, e
vascaínos, vascaíno
são, ser
considerados, considerar
`, `
`, `
inimigos, inimigo
'', ''
desde, desde
o, o
ano, ano
passado, passado
,, ,
quando, quando
,, ,
no, em o
dia, dia
11, 11
de, de
setembro, setembro
,, ,
brigaram, brigar
no, em o
estádio, estádio
de, de
São, São
Januário, Januário
,, ,
no, em o
Rio, Rio
de, de
Janeiro, Janeiro
., .

, 

