Os, ﻿Os
24, 24
clubes, clube
da, de o
primeira, primeiro
divisão, divisão
do, de o
Campeonato, Campeonato
Brasileiro, Brasileiro
vão, ir
passar, passar
a, a
votar, votar
para, para
presidente, presidente
da, de o
Confederação, Confederação
Brasileira, Brasileira
de, de
Futebol, Futebol
(, (
CBF, CBF
), )
., .
Até, até
agora, agora
só, só
as, o
27, 27
federações, federação
estaduais, estadual
participavam, participar
da, de o
escolha, escolha
., .
É, ser
a, o
mais, mais
importante, importante
mudança, mudança
estatutária, estatutário
da, de o
história, história
da, de o
entidade, entidade
., .

, 

A, o
decisão, decisão
–, –
unânime, unânime
–, –
foi, ser
tomada, tomar
ontem, ontem
por, por
26, 26
federações, federação
na, em o
assembléia, assembléia
geral, geral
da, de o
CBF, CBF
., .
A, o
entidade, entidade
continuará, continuar
recusando, recusar
a, o
filiação, filiação
direta, direto
de, de
clubes, clube
–, –
só, só
aceita, aceitar
a, o
de, de
federações, federação
., .
Se, se
o, o
Superior, Superior
Tribunal, Tribunal
de, de
Justiça, Justiça
Desportiva, Desportiva
mantiver, mantiver
o, o
veto, veto
,, ,
o, o
que, que
deve, dever
acontecer, acontecer
,, ,
estará, estar
liquidado, liquidado
o, o
projeto, projeto
de, de
Flamengo, Flamengo
,, ,
Fluminense, Fluminense
e, e
Botafogo, Botafogo
de, de
constituir, constituir
uma, um
liga, liga
carioca, carioca
independente, independente
da, de o
Federação, Federação
de, de
Futebol, Futebol
do, de o
Rio, Rio
., .

, 

A, o
eleição, eleição
na, em o
CBF, CBF
será, ser
no, em o
segundo, segundo
semestre, semestre
do, de o
ano, ano
que, que
vem, vir
., .
O, o
mandato, mandato
do, de o
empresário, empresário
Ricardo, Ricardo
Teixeira, Teixeira
na, em o
presidência, presidência
termina, terminar
em, em
janeiro, janeiro
de, de
1996, 1996
., .
Perguntado, Perguntado
pela, por o
Folha, Folha
sobre, sobre
uma, um
possível, possível
segunda, segundo
reeleição, reeleição
,, ,
ele, ele
respondeu, responder
:, :
", "
Agora, agora
eu, eu
sou, ser
candidato, candidato
apenas, apenas
a, a
ganhar, ganhar
a, o
Copa, Copa
do, de o
Mundo, Mundo
com, com
a, o
seleção, seleção
., .
", "

, 

A, o
mudança, mudança
no, em o
estatuto, estatuto
não, não
filia, filia
os, o
clubes, clube
à, a o
CBF, CBF
,, ,
apenas, apenas
permite, permitir
que, que
participem, participer
da, de o
eleição, eleição
., .
Na, em o
próxima, próximo
,, ,
votarão, votar
os, o
integrantes, integrante
do, de o
torneio, torneio
de, de
1995, 1995
., .
Se, se
forem, ser
mantidos, manter
os, o
clubes, clube
,, ,
o, o
estado, estado
com, com
maior, grande
número, número
de, de
votos, voto
será, ser
São, São
Paulo, Paulo
,, ,
seguido, seguir
do, de o
Rio, Rio
., .
Antes, antes
,, ,
o, o
voto, voto
de, de
São, São
Paulo, Paulo
tinha, ter
o, o
mesmo, mesmo
peso, peso
,, ,
por, por
exemplo, exemplo
,, ,
que, que
o, o
do, de o
Acre, Acre
., .

, 

O, o
anúncio, anúncio
das, de o
mudanças, mudança
foi, ser
feito, fazer
por, por
Teixeira, Teixeira
e, e
pelo, por o
vice-presidente, vice-presidente
de, de
futebol, futebol
do, de o
Vasco, Vasco
,, ,
Eurico, Eurico
Miranda, Miranda
., .
O, o
presidente, presidente
da, de o
Federação, federação
do, de o
Rio, Rio
,, ,
Eduardo, Eduardo
Viana, Viana
,, ,
apresentou-se, apresentar se
como, como
vencedor, vencedor
,, ,
por, por
praticamente, praticamente
enterrar, enterrar
o, o
projeto, projeto
da, de o
liga, liga
., .
Juntas, Juntas
,, ,
as, o
federações, federação
continuam, continuar
com, com
poder, poder
para, para
eleger, eleger
o, o
presidente, presidente
da, de o
CBF, CBF
,, ,
por, por
ter, ter
maioria, maioria
de, de
votos, voto
., .

, 

A, o
única, único
federação, federação
ausente, ausente
da, de o
reunião, reunião
da, de o
CBF, CBF
foi, ser
a, o
do, de o
Ceará, Ceará
., .
Dos, de o
26, 26
outros, outro
dirigentes, dirigente
,, ,
cinco, cinco
são, ser
parlamentares, parlamentar
e, e
,, ,
pelo, por o
menos, menos
dois, dois
,, ,
ex-deputados, ex-deputado
., .
O, o
presidente, presidente
da, de o
Federação, Federação
Paranaense, Paranaense
,, ,
o, o
ex-deputado, ex-deputado
federal, federal
cassado, cassar
no, em o
ano, ano
passado, passado
Onaireves, Onaireves
Moura, Moura
,, ,
enviou, enviar
um, um
representante, representante
., .

, 

A, o
assembléia, assembléia
aprovou, aprovar
por, por
unanimidade, unanimidade
as, o
contas, conta
de, de
1993, 1993
,, ,
ano, ano
em, em
que, que
o, o
presidente, presidente
da, de o
CBF, CBF
foi, ser
acusado, acusar
de, de
corrupção, corrupção
pelo, por o
empresário, empresário
Pelé, Pelé
., .
Ainda, ainda
este, este
ano, ano
a, o
mudança, mudança
estatutária, estatutário
será, ser
regulamentada, regulamentar
., .
A, o
idade, idade
dos, de o
candidatos, candidato
continuará, continuar
como, como
critério, critério
de, de
desempate, desempate
da, de o
eleição, eleição
:, :
vence, vencer
o, o
mais, mais
velho, velho
., .

, 

Teixeira, Teixeira
disse, dizer
que, que
já, já
estão, estar
escolhidos, escolhido
os, o
locais, local
onde, onde
a, o
seleção, seleção
vai, ir
se, se
hospedar, hospedar
e, e
treinar, treinar
em, em
San, San
Francisco, Francisco
e, e
Detroit, Detroit
na, em o
primeira, primeiro
fase, fase
do, de o
Mundial, Mundial
., .
O, o
dirigente, dirigente
disse, dizer
que, que
apoia, apoiar
o, o
ataque, ataque
preferido, preferer
do, de o
técnico, técnico
Parreira, Parreira
:, :
Bebeto, Bebeto
e, e
Romário, Romário
., .
O, o
presidente, presidente
da, de o
Fifa, Fifa
e, e
sogro, sogro
de, de
Teixeira, Teixeira
,, ,
João, João
Havelange, Havelange
,, ,
quer, querer
três, três
atacantes, atacante
:, :
além, além
dos, de o
dois, dois
já, já
escalados, escalar
,, ,
o, o
palmeirense, palmeirense
Edmundo, Edmundo
., .

, 

