O, ﻿O
técnico, técnico
Bernardo, Bernardo
Rezende, Rezende
não, não
quer, querer
fazer, fazer
nenhuma, nenhum
previsão, previsão
., .
Mas, mas
acredita, acreditar
que, que
1994, 1994
vai, ir
ser, ser
um, um
ano, ano
fantástico, fantástico
para, para
o, o
vôlei, vôlei
feminino, feminino
brasileiro, brasileiro
., .
Recém-empossado, Recém-empossado
no, em o
cargo, cargo
no, em o
lugar, lugar
de, de
Wadson, Wadson
Lima, Lima
,, ,
Bernardinho, Bernardinho
,, ,
34, 34
,, ,
tem, ter
pela, por o
frente, frente
a, o
missão, missão
de, de
conduzir, conduzir
o, o
time, time
ao, a o
lugar, lugar
mais, mais
alto, alto
do, de o
pódio, pódio
em, em
outubro, outubro
próximo, próximo
,, ,
quando, quando
a, o
seleção, seleção
feminina, feminino
disputa, disputar
no, em o
Brasil, Brasil
o, o
Mundial, Mundial
da, de o
categoria, categoria
., .

, 

", "
Seria, ser
incrível, incrível
pôr, pôr
as, o
mãos, mão
na, em o
medalha, medalha
de, de
ouro, ouro
., .
Mas, mas
é, ser
preciso, preciso
muito, muito
trabalho, trabalho
e, e
principalmente, principalmente
espírito, espírito
de, de
equipe, equipe
para, para
atingirmos, atingir
o, o
mesmo, mesmo
degrau, degrau
da, de o
seleção, seleção
masculina, masculino
", "
,, ,
diz, dizer
Bernardinho, Bernardinho
,, ,
que, que
viajou, viajar
ontem, ontem
com, com
o, o
time, time
para, para
a, o
Alemanha, Alemanha
,, ,
onde, onde
disputa, disputar
a, a
partir, partir
da, de o
próxima, próximo
quarta-feira, quarta-feira
o, o
Torneio, Torneio
de, de
Bremen, Bremen
., .

, 

Hoje, hoje
no, em o
comando, comando
de, de
um, um
time, time
que, que
acabou, acabar
perdendo, perder
temporariamente, temporariamente
as, o
cortadas, cortado
fulminantes, fulminante
da, de o
atacante, atacante
Ana, Ana
Moser, Moser
,, ,
que, que
após, após
uma, um
série, série
de, de
críticas, crítica
sobre, sobre
a, o
preparação, preparação
física, físico
da, de o
seleção, seleção
decidiu, decidir
pedir, pedir
dispensa, dispensa
da, de o
equipe, equipe
,, ,
Bernardinho, Bernardinho
aguarda, aguardar
novos, novo
tempos, tempo
., .
", "
Ainda, ainda
não, não
posso, poder
dizer, dizer
se, se
as, o
diferenças, diferença
estão, estar
resolvidas, resolvido
., .
Mas, mas
,, ,
acima, acima
de, de
tudo, tudo
,, ,
está, estar
o, o
objetivo, objetivo
de, de
ganhar, ganhar
o, o
Mundial, Mundial
., .
Se, se
vamos, ir
conseguir, conseguir
só, só
o, o
tempo, tempo
vai, ir
dizer, dizer
", "
,, ,
afirma, afirmar
o, o
novo, novo
técnico, técnico
., .

, 

Para, para
Bernardinho, Bernardinho
,, ,
a, o
coincidência, coincidência
em, em
ser, ser
um, um
ex-levantador, ex-levantador
como, como
seu, seu
colega, colega
José, José
Roberto, Roberto
Guimarães, Guimarães
,, ,
que, que
comanda, comandar
a, o
vitoriosa, vitorioso
seleção, seleção
masculina, masculino
,, ,
pode, poder
ajudar, ajudar
o, o
time, time
feminino, feminino
., .
E, e
faz, fazer
um, um
alerta, alerta
:, :
", "
Assim, assim
como, como
serei, ser
cobrado, cobrar
também, também
farei, farei
exigências, exigência
para, para
toda, todo
a, o
equipe, equipe
., .
Mas, mas
desde, desde
já, já
aviso, aviso
que, que
elas, ele
serão, ser
maiores, grande
para, para
a, o
Fernanda, Fernanda
., .
É, ser
uma, um
levantadora, levantadora
habilidosa, habilidoso
e, e
não, não
quero, querer
vê-la, vê-la
correr, correr
qualquer, qualquer
risco, risco
de, de
acomodação, acomodação
", "
., .

, 

Dono, dono
da, de o
cadeia, cadeia
de, de
restaurantes, restaurante
Delírio, Delírio
Tropical, Tropical
,, ,
no, em o
centro, centro
do, de o
Rio, Rio
,, ,
o, o
carioca, carioca
Bernardinho, Bernardinho
está, estar
há, haver
dez, dez
anos, ano
casado, casado
com, com
a, o
atacante, atacante
Vera, Vera
Mossa, Mossa
,, ,
uma, um
das, de o
musas, musa
do, de o
vôlei, vôlei
nos, em o
anos, ano
80, 80
,, ,
que, que
atualmente, atualmente
joga, jogar
na, em o
Itália, Itália
., .
Talvez, talvez
por, por
isso, isso
,, ,
comandar, comandar
um, um
time, time
feminino, feminino
não, não
o, ele
assusta, assustar
., .
", "
Existem, Existem
jogadores, jogador
e, e
jogadoras, jogadora
difíceis, difícil
de, de
lidar, lidar
., .
Não, não
é, ser
exclusivo, exclusivo
das, de o
mulheres, mulher
., .
Agora, agora
,, ,
o, o
que, que
não, não
pode, poder
acontecer, acontecer
é, ser
que, que
a, o
vaidade, vaidade
de, de
uma, um
se, se
sobreponha, sobreponhar
a, a
da, de o
outra, outro
., .
A, o
força, força
de, de
um, um
grupo, grupo
está, estar
na, em o
soma, soma
de, de
suas, seu
individualidades, individualidade
", "
,, ,
receita, receitar
., .

, 

Segundo, segundo
ele, ele
,, ,
a, o
cobrança, cobrança
para, para
a, o
conquista, conquista
do, de o
título, título
mundial, mundial
será, ser
bem, bem
grande, grande
., .
", "
Muita, muito
gente, gente
acredita, acreditar
que, que
esta, este
é, ser
a, o
última, último
chance, chance
desta, de este
geração, geração
., .
Mas, mas
não, não
penso, pensar
assim, assim
., .
Nosso, nosso
time, time
é, ser
muito, muito
jovem, jovem
ainda, ainda
", "
,, ,
diz, dizer
o, o
técnico, técnico
., .

, 

Para, para
amenizar, amenizar
as, o
pressões, pressão
externas, externo
,, ,
Bernardinho, Bernardinho
afirma, afirmar
que, que
um, um
apoio, apoio
psicológico, psicológico
será, ser
dado, dar
às, a o
jogadoras, jogadora
., .
Mas, mas
,, ,
segundo, segundo
ele, ele
,, ,
este, este
virá, vir
na, em o
forma, forma
de, de
ajuda, ajuda
ao, a o
grupo, grupo
e, e
não, não
para, para
solucionar, solucionar
problemas, problema
individuais, individual
., .
", "
Não, não
vou, ir
cansar, cansar
de, de
repetir, repetir
que, que
daqui, de aqui
para, para
frente, frente
devemos, dever
falar, falar
em, em
nós, nós
e, e
não, não
colocar, colocar
as, o
questões, questão
no, em o
singular, singular
., .
O, o
espírito, espírito
de, de
equipe, equipe
tem, ter
que, que
prevalecer, prevalecer
", "
,, ,
afirma, afirmar
o, o
treinador, treinador
., .

, 

