No, ﻿No
primeiro, primeiro
domingo, domingo
de, de
futebol, futebol
paulista, paulista
,, ,
não, não
temos, ter
em, em
campo, campo
o, o
campeão, campeão
Palmeiras, Palmeiras
., .
Espertamente, espertamente
,, ,
seus, seu
dirigentes, dirigente
conseguiram, conseguir
espichar, espichar
um, um
pouco, pouco
mais, mais
o, o
tempo, tempo
de, de
preparação, preparação
da, de o
equipe, equipe
,, ,
ampliando, ampliar
,, ,
também, também
,, ,
a, o
margem, margem
de, de
possibilidade, possibilidade
de, de
renovação, renovação
dos, de o
contratos, contrato
de, de
algumas, algum
de, de
suas, seu
principais, principal
estrelas, estrela
., .
O, o
argumento, argumento
é, ser
de, de
que, que
,, ,
enquanto, enquanto
os, o
outros, outro
já, já
gozavam, gozar
os, o
primeiros, primeiro
dias, dia
de, de
férias, férias
,, ,
o, o
Palmeiras, Palmeiras
disputava, disputar
o, o
título, título
brasileiro, brasileiro
,, ,
em, em
nome, nome
do, de o
futebol, futebol
paulista, paulista
., .
Nada, nada
mais, mais
justo, justo
., .

, 

Pode, poder
até, até
ser, ser
que, que
o, o
Palmeiras, Palmeiras
não, não
consiga, consigar
iniciar, iniciar
sua, seu
caminhada, caminhada
em, em
direção, direção
ao, a o
bi, bi
com, com
sua, seu
constelação, constelação
completa, completo
., .
Nem, nem
se, se
espere, esperar
que, que
já, já
comece, começar
em, em
ponto, ponto
de, de
bala, bala
,, ,
o, o
que, que
,, ,
aliás, aliás
,, ,
seria, ser
arriscado, arriscar
,, ,
além, além
de, de
quase, quase
impossível, impossível
., .
Mas, mas
bastará, bastar
colocar, colocar
em, em
campo, campo
metade, metade
daquele, de aquele
time, time
,, ,
mais, mais
Rincón, Rincón
,, ,
que, que
já, já
é, ser
favorito, favorito
na, em o
estréia, estréia
., .

, 

Aliás, aliás
,, ,
por, por
falar, falar
em, em
Rincón, Rincón
,, ,
o, o
técnico, técnico
Luxemburgo, Luxemburgo
já, já
avisou, avisar
que, que
o, o
colombiano, colombiano
será, ser
seu, seu
reserva, reserva
de, de
luxo, luxo
., .
Se, se
assim, assim
for, ser
,, ,
será, ser
uma, um
arma, arma
letal, letal
apontada, apontar
para, para
a, o
cabeça, cabeça
de, de
todos, todo
os, o
adversários, adversário
., .
Já, já
pensaram, pensar
naquele, em aquele
negrão, negr
disparando, disparar
sobre, sobre
inimigos, inimigo
já, já
cansados, cansar
no, em o
segundo, segundo
tempo, tempo
?, ?

, 

Contudo, contudo
,, ,
eu, eu
arriscaria, arriscar
uma, um
jogada, jogada
:, :
a, o
passagem, passagem
de, de
Mazinho, Mazinho
para, para
a, o
lateral-direita, lateral-direita
,, ,
com, com
a, o
natural, natural
entrada, entrada
de, de
Rincón, Rincón
pelo, por o
meio, meio
., .
Claro, claro
que, que
o, o
Palmeiras, Palmeiras
perderia, perder
em, em
reflexão, reflexão
e, e
segurança, segurança
no, em o
meio-campo, meio-campo
,, ,
mas, mas
ganharia, ganhar
em, em
agressividade, agressividade
e, e
rapidez, rapidez
., .

, 

Num, em um
momento, momento
qualquer, qualquer
deste, de este
campeonato, campeonato
,, ,
isso, isso
irá, ir
acontecer, acontecer
., .
Aí, aí
vai, ir
ser, ser
uma, um
festa, festa
verde, verde
,, ,
aos, a o
compassos, compasso
da, de o
mais, mais
viva, vivo
tarantella, tarantello
., .

, 

*, *

, 

O, o
outro, outro
supercampeão, supercampeão
,, ,
porém, porém
,, ,
entra, entrar
em, em
campo, campo
neste, em este
domingo, domingo
,, ,
para, para
enfrentar, enfrentar
o, o
Santo, Santo
André, André
,, ,
na, em o
casa, casa
do, de o
inimigo, inimigo
., .
Embora, embora
desfigurado, desfigurar
,, ,
pela, por o
ausência, ausência
de, de
Telê, Telê
no, em o
banco, banco
,, ,
e, e
ainda, ainda
sem, sem
as, o
contratações, contratação
desejadas, desejar
,, ,
sempre, sempre
é, ser
o, o
São, São
Paulo, Paulo
,, ,
com, com
um, um
meio-campo, meio-campo
equilibrado, equilibrado
e, e
uma, um
parelha, parelha
de, de
beques, beque
lá, lá
atrás, atrás
de, de
assustar, assustar
qualquer, qualquer
um, um
–, –
Júnior, Júnior
Baiano, Baiano
e, e
Gilmar, Gilmar
., .
Até, até
mesmo, mesmo
(, (
ou, ou
principalmente, principalmente
), )
seus, seu
próprios, próprio
torcedores, torcedor
., .

, 

*, *

, 

Ah, ah
,, ,
que, que
boa, bom
chance, chance
terá, ter
o, o
Corinthians, Corinthians
de, de
descontar, descontar
esta, este
tarde, tarde
a, o
desfeita, desfeita
que, que
a, o
Lusa, Lusa
lhe, ele
fez, fazer
,, ,
ao, a o
negar-lhe, negar-lhe
Dener, Dener
..., ...

, 

Mas, mas
algo, algo
me, eu
diz, dizer
que, que
esse, esse
novo, novo
Corinthians, Corinthians
vai, ir
penar, penar
um, um
pouco, pouco
antes, antes
de, de
se, se
entrosar, entrosar
., .
Claro, claro
,, ,
pois, pois
se, se
meio, meio
time, time
acaba, acabar
de, de
arribar, arribar
no, em o
Parque, Parque
e, e
até, até
o, o
técnico, técnico
é, ser
um, um
estreante, estreante
,, ,
como, como
esperar, esperar
que, que
a, o
equipe, equipe
já, já
comece, começar
engrenada, engrenar
?, ?
Ainda, ainda
mais, mais
que, que
Casagrande, Casagrande
é, ser
dúvida, dúvida
para, para
o, o
clássico, clássico
de, de
hoje, hoje
., .
E, e
ele, ele
,, ,
com, com
sua, seu
experiência, experiência
,, ,
sim, sim
,, ,
poderia, poder
organizar, organizar
seus, seu
companheiros, companheiro
na, em o
hora, hora
do, de o
vamos, ir
ver, ver
., .

, 

A, a
propósito, propósito
,, ,
Afrânio, Afrânio
Riul, Riul
me, eu
disse, dizer
outro, outro
dia, dia
que, que
pensava, pensar
em, em
aproveitar, aproveitar
Casão, casão
lá, lá
na, em o
frente, frente
,, ,
em, em
dupla, dupla
com, com
Viola, Viola
., .
Um, um
dueto, dueto
de, de
arrancar, arrancar
do, de o
peito, peito
inflado, inflar
o, o
coração, coração
corintiano, corintiano
,, ,
sem, sem
dúvida, dúvida
,, ,
pois, pois
trata-se, tratar se
dos, de o
dois, dois
maiores, grande
carinhos, carinho
da, de o
Fiel, Fiel
., .

, 

Não, não
tive, ter
chance, chance
de, de
dar, dar
minha, meu
opinião, opinião
a, a
Riul, Riul
., .
Faço-o, Faço-o
agora, agora
., .
O, o
