O, ﻿O
segundo, segundo
mais, mais
movimentado, movimentar
aeroporto, aeroporto
internacional, internacional
do, de o
mundo, mundo
,, ,
o, o
Dallas, Dallas
/, /
Fort, Fort
Worth, Worth
(, (
DFW, DFW
), )
,, ,
no, em o
Texas, Texas
,, ,
deve, dever
entrar, entrar
na, em o
rota, rota
do, de o
passageiro, passageiro
brasileiro, brasileiro
., .

, 

É, ser
que, que
a, o
American, American
Airlines, Airlines
,, ,
maior, grande
companhia, companhia
aérea, aéreo
norte-americana, norte-americano
,, ,
está, estar
operando, operar
vôos, vôo
diários, diário
para, para
esse, esse
enorme, enorme
complexo, complexo
que, que
,, ,
nos, em o
EUA, EUA
,, ,
só, só
é, ser
superado, superar
em, em
número, número
de, de
operações, operação
(, (
aterrissagens, aterrissagem
e, e
decolagens, decolagem
), )
pelo, por o
aeroporto, aeroporto
de, de
Chicago, Chicago
O'Hare, O'Hare
., .

, 

No, em o
ano, ano
passado, passado
cerca, cerca
de, de
52,6, 52,6
milhões, milhão
de, de
passageiros, passageiro
passaram, passar
pelo, por o
aeroporto, aeroporto
de, de
Dallas, Dallas
/, /
Fort, Fort
Worth, Worth
,, ,
que, que
hospeda, hospedar
o, o
maior, grande
terminal, terminal
da, de o
American, American
Airlines, Airlines
e, e
o, o
segundo, segundo
maior, grande
da, de o
Delta, Delta
Airlines, Airlines
., .

, 

Serviço, Serviço
rápido, rápido
,, ,
custos, custo
menores, pequeno
e, e
localização, localização
estratégica, estratégico
no, em o
centro, centro
do, de o
território, território
dos, de o
EUA, EUA
são, ser
as, o
vantagens, vantagem
apregoadas, apregoar
pela, por o
direção, direção
desse, de esse
aeroporto, aeroporto
,, ,
identificado, identificar
mundialmente, mundialmente
pela, por o
sigla, sigla
DFW, DFW
., .

, 

Com, com
mais, mais
de, de
2.400, 2.400
vôos, vôo
diários, diário
que, que
se, se
destinam, destinar
a, a
210, 210
mercados, mercado
diferentes, diferente
_, _
57, 57
deles, de ele
internacionais, internacional
,, ,
servindo, servir
,, ,
além, além
de, de
São, São
Paulo, Paulo
,, ,
cidades, cidade
como, como
Londres, Londres
,, ,
Tóquio, Tóquio
,, ,
Frankfurt, Frankfurt
,, ,
Paris, Paris
,, ,
Hong, Hong
Kong, Kong
,, ,
Cidade, Cidade
do, de o
México, México
,, ,
Toronto, Toronto
e, e
Vancouver, Vancouver
_, _
,, ,
passaram, passar
por, por
esse, esse
terminal, terminal
aéreo, aéreo
em, em
1994, 1994
mais, mais
de, de
790, 790
mil, mil
toneladas, tonelada
de, de
carga, carga
., .

, 

Projeções, Projeções
para, para
o, o
futuro, futuro

, 

Mas, mas
o, o
aeroporto, aeroporto
DFW, DFW
,, ,
que, que
nos, em o
seus, seu
21, 21
anos, ano
de, de
existência, existência
colecionou, colecionar
alguns, algum
dos, de o
recordes, recorde
mundiais, mundial
da, de o
aviação, aviação
,, ,
pode, poder
chegar, chegar
ao, a o
ano, ano
2000, 2000
com, com
o, o
título, título
de, de
aeroporto, aeroporto
mais, mais
movimentado, movimentar
do, de o
mundo, mundo
., .

, 

A, o
previsão, previsão
é, ser
da, de o
Administração, Administração
Federal, Federal
de, de
Aviação, Aviação
(, (
FAA, FAA
), )
,, ,
o, o
órgão, órgão
que, que
regulamenta, regulamentar
a, o
aviação, aviação
no, em o
território, território
norte-americano, norte-americano
., .

, 

A, o
área, área
do, de o
aeroporto, aeroporto
DFW, DFW
,, ,
7.138, 7.138
hectares, hectare
_, _
território, território
maior, grande
do, de o
que, que
a, o
ilha, ilha
de, de
Manhattan, Manhattan
,, ,
onde, onde
está, estar
Nova, Nova
York, York
_, _
,, ,
é, ser
maior, grande
do, de o
que, que
as, o
dos, de o
aeroportos, aeroporto
JFK, JFK
de, de
Nova, Nova
York, York
,, ,
O'Hare, O'Hare
de, de
Chicago, Chicago
e, e
internacional, internacional
de, de
Los, Los
Angeles, Angeles
somadas, somar
., .

, 

Esse, esse
fator, fator
lhe, ele
dá, dar
vantagens, vantagem
sobre, sobre
os, o
demais, demais
e, e
há, haver
quem, quem
projete, projeter
para, para
2005, 2005
que, que
cerca, cerca
de, de
850, 850
mil, mil
toneladas, tonelada
de, de
carga, carga
devam, der
passar, passar
pelo, por o
aeroporto, aeroporto
DFW, DFW
_, _
total, total
que, que
exclui, excluir
o, o
correio, correio
aéreo, aéreo
., .

, 

Até, até
2010, 2010
esse, esse
mesmo, mesmo
terminal, terminal
aéreo, aéreo
deverá, dever
ter, ter
movimento, movimento
de, de
100, 100
milhões, milhão
de, de
passageiros, passageiro
/, /
ano, ano
e, e
é, ser
provável, provável
que, que
muitos, muito
deles, de ele
sejam, ser
provenientes, proveniente
do, de o
Brasil, Brasil
., .

, 

Quem, quem
parte, parte
de, de
São, São
Paulo, Paulo
rumo, rumo
a, a
Dallas, Dallas
/, /
Fort, Fort
Worth, Worth
em, em
classe, classe
econômica, econômico
encontra, encontrar
bilhetes, bilhetes
promocionais, promocional
válidos, válir
por, por
um, um
mínimo, mínimo
de, de
sete, sete
e, e
máximo, grande
de, de
21, 21
dias, dia
por, por
US$, US$
849, 849
,, ,
mas, mas
é, ser
preciso, preciso
voltar, voltar
até, até
15, 15
de, de
junho, junho
., .
Passagens, Passagens
válidas, váler
por, por
dois, dois
meses, mês
custam, custar
US$, US$
1.242, 1.242
., .

, 

AMERICAN, AMERICAN
AIRLINES, AIRLINES
:, :
tel., tel.
(, (
011, 011
), )
214-4000, 214-4000
., .

, 

