A, ﻿A
seleção, seleção
masculina, masculino
de, de
vôlei, vôlei
enfrenta, enfrentar
a, o
Espanha, Espanha
pela, por o
Liga, Liga
Mundial, Mundial
com, com
três, três
desfalques, desfalque
., .

, 

Além, além
de, de
Carlão, Carlão
,, ,
que, que
fraturou, fraturar
o, o
pé, pé
direito, direito
,, ,
e, e
Marcelo, Marcelo
Negrão, Negrão
,, ,
contundido, contunder
no, em o
ombro, ombro
direito, direito
,, ,
Max, Max
não, não
poderá, poder
jogar, jogar
., .

, 

Segundo, segundo
a, o
assessoria, assessoria
de, de
imprensa, imprensa
da, de o
CBV, CBV
(, (
Confederação, Confederação
Brasileira, Brasileira
de, de
Vôlei, Vôlei
), )
,, ,
ele, ele
fraturou, fraturar
dois, dois
dedos, dedo
da, de o
mão, mão
esquerda, esquerdo
., .

, 

Domingos, Domingos
Pereira, Pereira
,, ,
pai, pai
do, de o
jogador, jogador
,, ,
disse, dizer
que, que
Max, Max
foi, ser
atacado, atacar
por, por
uma, um
gangue, gangue
de, de
adolescentes, adolescente
sábado, sábado
à, a o
noite, noite
,, ,
em, em
Bauru, Bauru
(, (
345, 345
km, km
a, a
noroeste, noroeste
de, de
São, São
Paulo, Paulo
), )
., .

, 

Seu, seu
irmão, irmão
Alex, Alex
levou, levar
um, um
tiro, tiro
na, em o
perna, perno
e, e
pancadas, pancada
na, em o
cabeça, cabeça
,, ,
mas, mas
não, não
corre, correr
risco, risco
de, de
vida, vida
., .

, 

`, `
`, `
Meus, meus
filhos, filho
nem, nem
conheciam, conhecer
os, o
agressores, agressor
'', ''
,, ,
disse, dizer
Domingos, Domingos
., .

, 

Max, Max
esteve, estar
no, em o
hotel, hotel
The, The
Hill, Hill
,, ,
em, em
que, que
está, estar
a, o
equipe, equipe
em, em
São, São
Paulo, Paulo
,, ,
domingo, domingo
à, a o
noite, noite
., .

, 

O, o
técnico, técnico
José, José
Roberto, Roberto
Guimarães, Guimarães
não, não
quis, querer
comentar, comentar
o, o
ocorrido, ocorrer
., .
`, `
`, `
É, ser
melhor, bom
que, que
o, o
próprio, próprio
jogador, jogador
diga, digar
à, a o
imprensa, imprensa
o, o
que, que
aconteceu, acontecer
'', ''
,, ,
afirmou, afirmar
., .

, 

Ele, ele
lamentou, lamentar
a, o
contusão, contusão
do, de o
meio-de-rede, meio-de-rede
., .
`, `
`, `
Max, Max
seria, ser
titular, titular
nos, em o
próximos, próximo
jogos, jogo
'', ''
,, ,
disse, dizer
., .

, 

Carlão, Carlão
,, ,
Marcelo, Marcelo
Negrão, Negrão
e, e
Max, Max
ficarão, ficar
no, em o
Rio, Rio
de, de
Janeiro, Janeiro
com, com
Leandro, Leandro
,, ,
que, que
também, também
não, não
viaja, viajar
à, a o
Europa, Europa
., .

, 

O, o
técnico, técnico
preferiu, preferir
Talmo, Talmo
a, a
Leandro, Leandro
para, para
jogar, jogar
na, em o
Espanha, Espanha
., .

, 

Em, em
Belo, Belo
Horizonte, Horizonte
,, ,
a, o
L'Ácqua, L'Ácqua
di, di
Fiori, Fiori
anunciou, anunciar
que, que
não, não
irá, ir
renovar, renovar
o, o
patrocínio, patrocínio
do, de o
time, time
feminino, feminino
de, de
vôlei, vôlei
do, de o
Minas, Minas
Tênis, Tênis
., .

, 

O, o
motivo, motivo
alegado, alegar
pelo, por o
presidente, presidente
da, de o
L'Ácqua, L'Ácqua
,, ,
Leopoldo, Leopoldo
Mesquita, Mesquita
,, ,
foi, ser
o, o
`, `
`, `
pequeno, pequeno
retorno, retorno
'', ''
do, de o
investimento, investimento
de, de
US$, US$
800, 800
mil, mil
nos, em o
últimos, último
12, 12
meses, mês
., .

, 

(, (
JCA, JCA
), )

, 

*, *
Colaborou, colaborar
Agência, Agência
Folha, Folha
,, ,
em, em
Bauru, Bauru
e, e
Belo, Belo
Horizonte, Horizonte

, 

