O, ﻿O
vencedor, vencedor
das, de o
Mil, Mil
Milhas, Milhas
do, de o
ano, ano
passado, passado
,, ,
o, o
brasileiro, brasileiro
Antonio, Antonio
Herman, Herman
de, de
Azevedo, Azevedo
,, ,
39, 39
,, ,
chegou, chegar
na, em o
segunda, segundo
posição, posição
ontem, ontem
com, com
seu, seu
Porsche, Porsche
RSR, RSR
Biturbo, Biturbo
e, e
teve, ter
no, em o
pódio, pódio
a, o
companhia, companhia
do, de o
colega, colega
economista, economista
e, e
banqueiro, banqueiro
André, André
Lara, Lara
Resende, Resende
,, ,
ex-negociador, ex-negociador
da, de o
dívida, dívida
externa, externo
brasileira, brasileiro
e, e
sócio, sócio
do, de o
Banco, Banco
Matrix, Matrix
,, ,
que, que
chegou, chegar
em, em
terceiro, terceiro
com, com
um, um
Porsche, Porsche
RSR, RSR
3.8, 3.8
., .
De, de
Azevedo, Azevedo
,, ,
como, como
é, ser
chamado, chamar
pelos, por o
alemães, alemão
,, ,
é, ser
presidente, presidente
da, de o
Associação, Associação
Brasileira, Brasileira
de, de
Bancos, Bancos
Comerciais, Comerciais
e, e
Múltiplos, Múltiplos
e, e
vice-presidente, vice-presidente
do, de o
Banco, Banco
Itamaraty, Itamaraty
., .

, 

Os, o
dois, dois
correram, correr
pela, por o
equipe, equipe
Konrad, Konrad
,, ,
do, de o
alemão, alemão
Franz, Franz
Konrad, Konrad
,, ,
o, o
outro, outro
vencedor, vencedor
da, de o
prova, prova
em, em
93, 93
., .
No, em o
final, final
da, de o
prova, prova
,, ,
Resende, Resende
demosntrou, demosntrar
ter, ter
mais, mais
intimidade, intimidade
para, para
falar, falar
com, com
a, o
imprensa, imprensa
sobre, sobre
economia, economia
que, que
sobre, sobre
seu, seu
desempenho, desempenho
na, em o
pista, pista
., .
Visivelmente, visivelmente
assustado, assustar
,, ,
ele, ele
definia, definiar
sua, seu
primeira, primeiro
experiência, experiência
de, de
competir, competir
sob, sob
chuva, chuva
e, e
a, o
noite, noite
., .
", "
A, o
visibillidade, visibillidade
era, ser
zero, zero
., .
Foi, ser
muito, muito
sofrido, sofrer
mas, mas
fantástico, fantástico
", "
,, ,
disse, dizer
., .

, 

Toninho, Toninho
Herman, Herman
disse, dizer
que, que
ficou, ficar
sem, sem
a, o
segunda, segundo
marcha, marcha
do, de o
carro, carro
e, e
por, por
isso, isso
não, não
conseguiu, conseguir
se, se
aproximar, aproximar
do, de o
Porsche, Porsche
de, de
Christian, Christian
e, e
Wilsinho, Wilsinho
,, ,
que, que
venceu, vencer
pela, por o
primeira, primeira
vez, vez
a, o
prova, prova
., .
", "
Eles, eles
escolheram, escolher
melhor, bom
a, o
relação, relação
de, de
marchas, marcha
", "
,, ,
afirmou, afirmar
., .
Herman, Herman
vai, ir
disputar, disputar
agora, agora
as, o
24, 24
Horas, Horas
de, de
Daytona, Daytona
,, ,
nos, em o
EUA, EUA
,, ,
daqui, de aqui
a, a
15, 15
dias, dia
., .
(, (
ME, ME
), )

, 

