O, ﻿O
técnico, técnico
Zagallo, Zagallo
disse, dizer
ontem, ontem
não, não
acreditar, acreditar
que, que
a, o
má, má
fase, fase
do, de o
zagueiro, zagueiro
Márcio, Márcio
Santos, Santos
se, se
deva, deva
à, a o
repercussão, repercussão
das, de o
fotos, foto
que, que
o, o
jogador, jogador
tirou, tirar
seminu, seminu
para, para
uma, um
revista, revista
francesa, francês
em, em
janeiro, janeiro
., .

, 

`, `
`, `
Na, em o
seleção, seleção
,, ,
ele, ele
só, só
joga, jogar
vestido, vestir
'', ''
,, ,
disse, dizer
o, o
treinador, treinador
., .
`, `
`, `
Não, não
tenho, ter
nada, nada
contra, contra
as, o
fotos, foto
,, ,
que, que
são, ser
um, um
problema, problema
particular, particular
dele, de ele
., .
Eu, eu
só, só
observo, observor
mulher, mulher
nua, nuo
., .
De, de
homem, homem
,, ,
não, não
gosto, gostar
,, ,
não, não
., .
'', ''

, 

Titular, Titular
da, de o
seleção, seleção
brasileira, brasileiro
na, em o
Copa, copa
do, de o
Mundo-94, Mundo-94
,, ,
Márcio, Márcio
está, estar
em, em
má, má
fase, fase
., .
Foi, ser
considerado, considerar
o, o
principal, principal
responsável, responsável
pelas, por o
duas, dois
últimas, último
derrotas, derrota
da, de o
sua, seu
equipe, equipe
,, ,
a, o
Fiorentina, Fiorentina
(, (
Itália, Itália
), )
., .

, 

Torcedores, torcedores
do, de o
clube, clube
dizem, dizer
que, que
,, ,
desde, desde
que, que
posou, posar
seminu, seminu
,, ,
com, com
um, um
pano, pano
tapando, tapar
o, o
sexo, sexo
,, ,
Márcio, Márcio
tem, ter
jogado, jogar
mal, mal
., .

, 

Ele, ele
estava, estar
convocado, convocado
para, para
o, o
amistoso, amistoso
da, de o
seleção, seleção
contra, contra
Israel, Israel
,, ,
mas, mas
foi, ser
afastado, afastar
porque, porque
disse, dizer
estar, estar
estressado, estressado
., .

, 

As, o
dificuldades, dificuldade
de, de
Márcio, Márcio
preocupam, preocupar
Zagallo, Zagallo
., .
Embora, embora
não, não
afirme, afirmar
em, em
público, público
,, ,
o, o
técnico, técnico
pensa, pensar
em, em
escalar, escalar
a, o
zaga, zago
tetracampeã, tetracampeã
mundial, mundial
_, _
Márcio, Márcio
Santos, Santos
e, e
Aldair, Aldair
_, _
para, para
disputar, disputar
a, a
Olimpíada-96, Olimpíada-96
,, ,
em, em
Atlanta, Atlanta
(, (
EUA, EUA
), )
., .

, 

A, o
seleção, seleção
olímpica, olímpico
só, só
pode, poder
ter, ter
jogadores, jogador
nascidos, nascido
até, até
1º, 1º
de, de
janeiro, janeiro
de, de
1973, 1973
,, ,
com, com
exceção, exceção
de, de
três, três
atletas, atleta
com, com
idade, idade
liberada, liberar
., .

, 

Zagallo, Zagallo
quer, querer
convocar, convocar
os, o
dois, dois
zagueiros, zagueiro
e, e
um, um
volante, volante
(, (
provavelmente, provavelmente
Dunga, Dunga
), )
com, com
idade, idade
liberada, liberar
., .

, 

Dos, de o
22, 22
jogadores, jogador
que, que
viajarão, viajar
para, para
o, o
jogo, jogo
com, com
a, o
seleção, seleção
israelense, israelense
na, em o
próxima, próximo
quarta-feira, quarta-feira
,, ,
11, 11
têm, ter
idade, idade
para, para
integrar, integrar
a, o
equipe, equipe
olímpica, olímpico
., .

, 

Antes, antes
da, de o
Olimpíada, olimpíada
,, ,
o, o
Brasil, Brasil
vai, ir
disputar, disputar
um, um
torneio, torneio
classificatório, classificatório
na, em o
América, América
do, de o
Sul, Sul
,, ,
no, em o
qual, qual
é, ser
considerado, considerar
favorito, favorito
., .

, 

(, (
MM, MM
), )

, 

