Embore, ﻿Embore
ocupe, ocupe
a, o
menor, pequeno
área, área
dos, de o
11, 11
mil, mil
hectares, hectare
do, de o
Walt, Walt
Disney, disney
World, World
,, ,
o, o
Magic, Magic
Kingdom, Kingdom
dificilmente, dificilmente
desaponta, desapontar
seus, seu
visitantes, visitante
–, –
o, o
mesmo, mesmo
não, não
se, se
pode, poder
dizer, dizer
do, de o
Epcot, Epcot
Center, Center
., .
Estrategicamente, estrategicamente
localizado, localizar
na, em o
entrada, entrada
do, de o
parque, parque
,, ,
o, o
monumental, monumental
castelo, castelo
da, de o
Cinderela, Cinderela
,, ,
de, de
55, 55
metros, metro
,, ,
é, ser
o, o
primeiro, primeiro
sinal, sinal
de, de
que, que
no, em o
Reino, Reino
Mágico, Mágico
todos, todo
os, o
sonhos, sonho
infantis, infantil
podem, poder
se, se
tornar, tornar
realidade, realidade
–, –
pelo, por o
menos, menos
por, por
um, um
ou, ou
dois, dois
dias, dia
., .

, 

É, ser
esse, esse
o, o
tempo, tempo
necessário, necessário
para, para
brincar, brincar
em, em
suas, seu
mais, mais
de, de
40, 40
atrações, atração
., .
As, o
melhores, bom
são, ser
a, o
Space, Space
Mountain, Mountain
,, ,
Big, Big
Thunder, Thunder
Mountain, Mountain
Railroad, Railroad
,, ,
Splash, Splash
Mountain, Mountain
,, ,
Piratas, Piratas
of, of
The, The
Caribbean, Caribbean
,, ,
Peter, Peter
's, 's
Pan, Pan
Flight, Flight
e, e
It, It
's, 's
a, o
Small, small
World, World
–, –
realmente, realmente
imperdíveis, imperdível
., .
Mas, mas
o, o
feitiço, feitiço
fica, ficar
mesmo, mesmo
por, por
conta, conta
da, de o
The, The
Main, Main
Street, Street
Electrical, Electrical
Parade, Parade
,, ,
um, um
desfile, desfile
de, de
todos, todo
os, o
personagens, personagem
Disney, Disney
em, em
carros, carro
alegóricos, alegórico
enfeitados, enfeitar
com, com
um, um
milhão, milhão
de, de
luzes, luz
pisca-pisca, pisca-pisca
., .

, 

Há, haver
dez, dez
anos, ano
,, ,
quando, quando
foi, ser
inaugurado, inaugurar
,, ,
Epcot, Epcot
Center, Center
também, também
foi, ser
sucesso, sucesso
absoluto, absoluto
., .
O, o
Protótipo, Protótipo
Experimental, Experimental
da, de o
Comunidade, Comunidade
do, de o
Amanhã, Amanhã
antecipava, antecipar
idéias, idéia
e, e
avanços, avanço
tecnológicos, tecnológico
., .
Mas, mas
a, o
evolução, evolução
foi, ser
mais, mais
rápida, rápido
que, que
os, o
computadores, computador
da, de o
equipe, equipe
de, de
criação, criação
de, de
Walt, Walt
Disney, Disney
., .
Hoje, hoje
,, ,
algumas, algum
atrações, atração
estão, estar
ultrapassadas, ultrapassado
., .
Isso, isso
não, não
significa, significar
,, ,
entretanto, entretanto
,, ,
que, que
não, não
vale, valer
a, o
pena, pena
visitá-lo, visitar ele
., .
Apenas, apenas
racionalize, racionalizar
o, o
tempo, tempo
., .

, 

Na, em o
entrada, entrada
,, ,
depois, depois
de, de
passar, passar
pela, por o
imponente, imponente
geosfera, geosferar
prateada, prateado
–, –
com, com
500, 500
toneladas, tonelada
,, ,
50, 50
metros, metro
de, de
diâmetro, diâmetro
,, ,
55, 55
metros, metro
de, de
altura, altura
e, e
62, 62
mil, mil
m3, m3
de, de
volume, volume
–, –
,, ,
você, você
será, ser
conduzido, conduzir
à, a o
Spaceship, Spaceship
Earth, Earth
(, (
Espaçonave, Espaçonave
Terra, Terra
), )
,, ,
um, um
túnel, túnel
do, de o
tempo, tempo
que, que
se, se
inicia, iniciar
na, em o
era, ser
Cro-Magnon, Cro-Magnon
,, ,
mais, mais
ou, ou
menos, menos
há, haver
30, 30
ou, ou
40, 40
mil, mil
anos, ano
,, ,
e, e
termina, terminar
nos, em o
tempos, tempo
modernos, moderno
., .
Anote, anote
., .
É, ser
a, a
mais, mais
interessante, interessante
delas, de elas
., .

, 

Se, se
você, você
não, não
domina, dominar
bem, bem
o, o
inglês, inglês
,, ,
há, haver
pouco, pouco
a, a
se, se
aprender, aprender
no, em o
Future, Future
World, World
., .
Experimente, Experimente
o, o
The, The
Living, Living
Seas, Seas
(, (
Os, Os
Mares, Mares
Vivos, Vivos
), )
,, ,
uma, um
viagem, viagem
pelo, por o
mar, mar
do, de o
Caribe, Caribe
em, em
companhia, companhia
de, de
arraias, arraia
,, ,
tubarões, tubarão
e, e
golfinhos, golfinho
,, ,
e, e
o, o
Wonders, Wonders
of, of
Life, Life
(, (
Maravilhas, Maravilhas
da, de o
Vida, Vida
), )
,, ,
onde, onde
você, você
é, ser
miniaturizado, miniaturizar
e, e
passeia, passeio
pela, por o
corpo, corpo
humano, humano
através, através
dos, de o
efeitos, efeito
especiais, especial
criados, criar
por, por
George, George
Lucas, Lucas
,, ,
diretor, diretor
de, de
", "
Guerra, Guerra
nas, em o
Estrelas, Estrelas
", "
., .

, 

O, o
melhor, bom
está, estar
no, em o
World, World
Showcase, Showcase
(, (
Vitrine, Vitrine
do, de o
Mundo, Mundo
), )
,, ,
uma, um
viagem, viagem
pelas, por o
imagens, imagem
mais, mais
marcantes, marcante
de, de
11, 11
países, país
–, –
México, México
,, ,
Noruega, Noruega
,, ,
China, China
,, ,
Alemanha, Alemanha
,, ,
Itália, Itália
,, ,
EUA, EUA
,, ,
Japão, Japão
,, ,
Marrocos, Marrocos
,, ,
França, França
,, ,
Reino, Reino
Unido, Unido
e, e
Canadá, Canadá
., .
É, ser
um, um
bom, bom
lugar, lugar
para, para
comer, comer
e, e
fazer, fazer
compras, compra
., .
Um, um
conselho, conselho
:, :
mesmo, mesmo
se, se
você, você
estiver, estar
cansado, cansado
,, ,
não, não
vá, ir
embora, embora
sem, sem
ver, ver
o, o
Illuminattions, Illuminattions
,, ,
um, um
espetacular, espetacular
show, show
em, em
que, que
raios, raio
laser, laser
,, ,
fogos, fogo
de, de
artifício, artifício
,, ,
luzes, luz
e, e
chafarizes, chafariz
dançam, dançar
ao, a o
som, som
de, de
uma, um
sinfônica, sinfônica
., .

, 

(, (
Patrícia, Patrícia
Trudes, Trudes
da, de o
Veiga, Veiga
), )

, 

DICA, DICA
-, -
Em, em
Magic, Magic
Kingdom, Kingdom
,, ,
o, o
City, City
Hall, Hall
informa, informar
os, o
horários, horário
dos, de o
shows, show
dos, de o
personagens, personagem
,, ,
na, em o
Fantasyland, Fantasyland
,, ,
e, e
da, de o
Electrical, Electrical
Parade, Parade
,, ,
na, em o
Main, Main
Street, Street
(, (
o, o
melhor, bom
local, local
para, para
assisti-la, assisti-la
é, ser
da, de o
plataforma, plataforma
da, de o
WDW, WDW
Railroad, Railroad
), )
., .
Em, em
Epcot, Epcot
Center, Center
,, ,
os, o
horários, horário
dos, de o
shows, show
dos, de o
personagens, personagem
costuma, costumar
estar, estar
fixado, fixado
na, em o
entrada, entrada
do, de o
World, World
Showcase, Showcase
., .
Balões, Balões
infláveis, inflável
também, também
sinalizam, sinalizar
a, o
presença, presença
de, de
Mickey, Mickey
,, ,
Minnie, Minnie
e, e
sua, seu
turma, turma
pelo, por o
parque, parque
., .
Basta, Basta
segui-lo, segui-lo
., .
O, o
Illuminations, Illuminations
acontece, acontecer
diariamente, diariamente
,, ,
às, a o
21h, 21h
., .

, 

