Os, ﻿Os
vôos, vôo
para, para
Tel, Tel
Aviv, Aviv
são, ser
cercados, cercar
por, por
um, um
aparato, aparato
de, de
segurança, segurança
que, que
indicam, indicar
como, como
é, ser
inseguro, inseguro
ir, ir
para, para
Israel, Israel
., .

, 

O, o
país, país
vive, viver
um, um
conflito, conflito
permanente, permanente
com, com
seus, seu
vizinhos, vizinho
árabes, árabe
,, ,
desde, desde
sua, seu
fundação, fundação
em, em
1948, 1948
., .
A, o
razão, razão
é, ser
que, que
o, o
território, território
foi, ser
ocupado, ocupar
durante, durante
milhares, milhar
de, de
anos, ano
por, por
palestinos, palestino
,, ,
que, que
,, ,
com, com
a, o
criação, criação
de, de
Israel, Israel
,, ,
ficaram, ficar
sem, sem
pátria, pátria
., .

, 

Com, com
o, o
acordo, acordo
entre, entre
palestinos, palestino
e, e
israelenses, israelense
,, ,
em, em
1993, 1993
,, ,
os, o
palestinos, palestino
passaram, passar
a, a
governar, governar
,, ,
com, com
poderes, poder
limitados, limitar
,, ,
a, o
Faixa, Faixa
de, de
Gaza, Gaza
,, ,
no, em o
sudoeste, sudoeste
de, de
Israel, Israel
,, ,
e, e
a, o
cidade, cidade
de, de
Jericó, Jericó
,, ,
na, em o
Cisjordânia, Cisjordânia
., .

, 

Em, em
razão, razão
desse, de esse
conflito, conflito
,, ,
os, o
vôos, vôo
para, para
Israel, Israel
são, ser
alvos, alvo
potenciais, potencial
de, de
terroristas, terrorista
muçulmanos, muçulmano
,, ,
especialmente, especialmente
palestinos, palestino
e, e
iranianos, iraniano
., .
Daí, de aí
a, o
razão, razão
da, de o
segurança, segurança
., .

, 

Antes, antes
de, de
ser, ser
embarcadas, embarcadas
,, ,
todas, todo
as, o
malas, mala
são, ser
revistadas, revistadas
_, _
pelos, por o
próprios, próprio
passageiros, passageiro
,, ,
sob, sob
a, o
supervisão, supervisão
de, de
agentes, agente
de, de
segurança, segurança
., .
Mas, mas
os, o
cuidados, cuidado
começam, começar
antes, antes
., .

, 

Cada, cada
passageiro, passageiro
é, ser
entrevistado, entrevistar
por, por
um, um
agente, agente
de, de
segurança, segurança
de, de
Israel, Israel
,, ,
que, que
faz, fazer
perguntas, pergunta
como, como
:, :

, 

`, `
`, `
Quem, quem
arrumou, arrumar
sua, seu
mala, mala
?, ?
Alguém, Alguém
pediu, pedir
para, para
que, que
você, você
levasse, levar
um, um
pacote, pacote
,, ,
uma, um
carta, carta
que, que
seja, ser
a, a
Israel, Israel
?, ?
Desde, desde
que, que
fechou, fechar
a, o
mala, mala
,, ,
por, por
quanto, quanto
tempo, tempo
ela, ela
ficou, ficar
desacompanhada, desacompanhado
., .
'', ''

, 

A, o
seleção, seleção
não, não
foi, ser
avisada, avisar
de, de
nenhum, nenhum
risco, risco
especial, especial
para, para
o, o
jogo, jogo
., .

, 

