A, ﻿A
diretoria, diretoria
do, de o
Palmeiras, Palmeiras
prometeu, prometer
,, ,
mas, mas
ainda, ainda
não, não
pagou, pagar
os, o
prêmios, prêmio
atrasados, atrasar
aos, a o
jogadores, jogador
da, de o
equipe, equipe
., .
O, o
resultado, resultado
é, ser
uma, um
revolta, revolta
generalizada, generalizado
no, em o
elenco, elenco
., .

, 

Apenas, apenas
as, o
`, `
`, `
luvas, luva
'', ''
(, (
gratificação, gratificação
recebida, receber
pelo, por o
jogador, jogador
quando, quando
este, este
renova, renova
seu, seu
contrato, contrato
), )
do, de o
lateral, lateral
Roberto, Roberto
Carlos, Carlos
foram, ser
pagas, paga
ontem, ontem
,, ,
cerca, cerca
de, de
R$, R$
21, 21
mil, mil
., .

, 

`, `
`, `
Ainda, Ainda
faltam, faltar
os, o
bichos, bicho
(, (
prêmios, prêmio
por, por
resultado, resultado
), )
referentes, referente
ao, a o
final, final
de, de
março, março
e, e
abril, abril
e, e
o, o
prêmio, prêmio
pela, por o
classificação, classificação
na, em o
primeira, primeiro
fase, fase
da, de o
Libertadores, Libertadores
'', ''
,, ,
disse, dizer
o, o
zagueiro, zagueiro
Antônio, Antônio
Carlos, Carlos
,, ,
capitão, capitão
do, de o
time, time
,, ,
e, e
representante, representante
dos, de o
jogadores, jogador
nas, em o
negociações, negociação
com, com
a, o
diretoria, diretoria
., .

, 

O, o
prêmio, prêmio
da, de o
vitória, vitória
sobre, sobre
o, o
Bolívar, Bolívar
e, e
a, o
consequente, consequente
classificação, classificação
para, para
as, o
quartas-de-final, quarta-de-final
da, de o
Taça, Taça
Libertadores, Libertadores
também, também
não, não
foi, ser
pago, pagar
., .

, 

`, `
`, `
Não, não
foi, ser
pago, pagar
e, e
nem, nem
discutido, discutir
., .
Nós, nós
não, não
aceitamos, aceitar
a, o
proposta, proposta
feita, fazer
pelo, por o
clube, clube
., .
É, ser
muito, muito
baixa, baixo
'', ''
,, ,
justificou, justificar
Antônio, Antônio
Carlos, Carlos
., .

, 

O, o
vice-presidente, vice-presidente
de, de
futebol, futebol
do, de o
Palmeiras, Palmeiras
,, ,
Seraphim, Seraphim
del, del
Grande, Grande
,, ,
reconheceu, reconhecer
anteontem, anteontem
que, que
o, o
clube, clube
enfrenta, enfrentar
problemas, problema
financeiros, financeiro
., .

, 

Segundo, segundo
ele, ele
,, ,
as, o
arrecadações, arrecadação
no, em o
Paulista, Paulista
são, ser
baixas, baixo
e, e
o, o
clube, clube
é, ser
obrigado, obrigar
a, a
recorrer, recorrer
a, a
empréstimos, empréstimo
bancários, bancário
para, para
saldar, saldar
suas, seu
dívidas, dívida
., .

, 

`, `
`, `
Não, não
concordo, concordo
com, com
essa, esse
justificativa, justificativa
porque, porque
os, o
próprios, próprio
dirigentes, dirigente
são, ser
responsáveis, responsável
por, por
isso, isso
., .
Foram, Foram
eles, eles
que, que
planejaram, planejar
o, o
campeonato, campeonato
'', ''
,, ,
disse, dizer
Antônio, Antônio
Carlos, Carlos
., .

, 

`, `
`, `
O, o
Palmeiras, Palmeiras
tem, ter
muito, muito
dinheiro, dinheiro
,, ,
mas, mas
os, o
jogadores, jogador
estão, estar
em, em
último, último
plano, plano
'', ''
,, ,
disse, dizer
Roberto, Roberto
Carlos, Carlos
., .

, 

Ontem, ontem
,, ,
os, o
dirigentes, dirigente
não, não
se, se
pronunciaram, pronunciar
., .
Procurados, Procurados
pela, por o
Folha, Folha
,, ,
não, não
foram, ser
encontrados, encontrar
., .

, 

O, o
presidente, presidente
Mustafá, Mustafá
Contursi, Contursi
disse, dizer
que, que
o, o
problema, problema
é, ser
exclusivo, exclusivo
da, de o
diretoria, diretoria
de, de
futebol, futebol
., .

, 

`, `
`, `
Minha, Minha
posição, posição
é, ser
desgastante, desgastante
., .
Os, o
colegas, colega
vivem, viver
reclamando, reclamar
comigo, comigo
e, e
os, o
dirigentes, dirigente
não, não
me, eu
respondem, responder
., .
Esse, esse
atraso, atraso
atrapalha, atrapalhar
nosso, nosso
desempenho, desempenho
e, e
gera, gerar
um, um
clima, clima
ruim, ruim
'', ''
,, ,
afirmou, afirmar
Antônio, Antônio
Carlos, Carlos
., .

, 

O, o
representante, representante
dos, de o
jogadores, jogador
espera, esperar
que, que
as, o
dívidas, dívida
`, `
`, `
sejam, ser
sanadas, sanar
logo, logo
e, e
não, não
se, se
repitam, repitar
'', ''
., .

, 

