O, ﻿O
primeiro-ministro, primeiro-ministro
israelense, israelense
,, ,
Ytzhak, Ytzhak
Rabin, Rabin
,, ,
foi, ir
ao, a o
estádio, estádio
Ramat-Gan, Ramat-Gan
,, ,
ontem, ontem
,, ,
para, para
ver, ver
o, o
jogo, jogo
entre, entre
Brasil, Brasil
e, e
Israel, Israel
., .

, 

Ele, ele
chegou, chegar
no, em o
início, início
da, de o
partida, partida
e, e
saiu, sair
no, em o
final, final
,, ,
sempre, sempre
cercado, cercar
pelos, por o
seus, seu
guarda-costas, guarda-costa
., .

, 

No, em o
estádio, estádio
,, ,
havia, haver
também, também
atiradores, atirador
de, de
elite, elite
disfarçados, disfarçar
e, e
especialistas, especialista
em, em
bombas, bomba
., .

, 

Essa, esse
cautela, cautela
contrastou, contrastar
com, com
o, o
clima, clima
de, de
festa, festa
que, que
havia, haver
no, em o
estádio, estádio
,, ,
motivado, motivar
pela, por o
presença, presença
da, de o
seleção, seleção
brasileira, brasileiro
., .

, 

A, o
torcida, torcida
pró-Brasil, pró-Brasil
foi, ser
a, o
primeira, primeiro
a, a
chegar, chegar
e, e
se, se
instalou, instalar
no, em o
setor, setor
da, de o
arquibancada, arquibancada
em, em
frente, frente
ao, a o
meio, meio
do, de o
campo, campo
., .

, 

Como, como
estava, estar
previsto, previsto
,, ,
houve, haver
desfile, desfile
da, de o
Batucada, Batucada
Tel, Tel
Aviv, Aviv
,, ,
que, que
tem, ter
um, um
israelense, israelense
como, como
chefe, chefe
de, de
bateria, bateria
,, ,
e, e
da, de o
escola, escola
de, de
Samba, Samba
Coco, Coco
Loco, Loco
,, ,
formada, formar
basicamente, basicamente
por, por
brasileiras, brasileira
., .

, 

No, em o
sistema, sistema
de, de
som, som
do, de o
estádio, estádio
tocou-se, tocar se
mais, mais
música, música
brasileira, brasileiro
do, de o
que, que
israelense, israelense
., .
Gal, Gal
Costa, Costa
,, ,
Caetano, Caetano
Velloso, Velloso
e, e
Jorge, Jorge
Ben, Ben
Jor, Jor
tiveram, ter
interpretações, interpretação
reproduzidas, reproduzir
., .

, 

Mas, mas
bastou, bastar
um, um
gol, gol
israelense, israelense
para, para
o, o
clima, clima
mudar, mudar
., .
Nos, em o
últimos, último
dez, dez
minutos, minuto
,, ,
os, o
brasileiros, brasileiro
foram, ser
vaiados, vaiar
cada, cada
vez, vez
que, que
tocaram, tocar
na, em o
bola, bola
., .

, 

(, (
MD, MD
), )

, 

