Três, ﻿Três
escudos, escudo
da, de o
Confederação, Confederação
Brasileira, Brasileira
de, de
Futebol, futebol
impressos, impresso
em, em
", "
ton-sur-ton, ton-sur-ton
", "
(, (
uma, um
tonalidade, tonalidade
de, de
amarelo, amarelo
sobre, sobre
outra, outro
mais, mais
clara, claro
da, de o
mesma, mesmo
cor, cor
), )
é, ser
a, o
principal, principal
mudança, mudança
na, em o
nova, novo
camisa, camisa
da, de o
seleção, seleção
brasileira, brasileiro
., .
Eles, eles
ocupam, ocupar
quase, quase
toda, todo
a, o
frente, frente
da, de o
camisa, camisa
,, ,
apresentada, apresentar
ontem, ontem
na, em o
sede, sede
da, de o
CBF, CBF
no, em o
Rio, Rio
., .

, 

O, o
uniforme, uniforme
com, com
que, que
o, o
Brasil, Brasil
disputará, disputar
a, o
Copa, copa
combina, combinar
ousadias, ousadio
estéticas, estético
com, com
a, o
tradição, tradição
do, de o
verde-amarelo, verde-amarelo
., .
Passa, passar
a, a
ter, ter
gola, gola
em, em
", "
V, V
", "
,, ,
um, um
", "
must, must
", "
das, de o
décadas, década
de, de
50, 50
e, e
60, 60
., .
Detalhes, Detalhes
em, em
verde, verde
enfeitam, enfeitar
as, o
mangas, manga
., .
O, o
escudo, escudo
da, de o
CBF, CBF
e, e
as, o
três, três
estrelas, estrela
(, (
dos, de o
três, três
títulos, título
mundiais, mundial
), )
continuam, continuar
bordados, bordado
do, de o
lado, lado
esquerdo, esquerdo
., .
No, em o
direito, direito
,, ,
sai, sair
o, o
logotipo, logotipo
e, e
cresce, crescer
para, para
20, 20
centímetros, centímetro
quadrados, quadrados
o, o
nome, nome
do, de o
fabricante, fabricante
,, ,
a, o
Umbro, Umbro
., .

, 

", "
A, o
nova, novo
camisa, camisa
tem, ter
mais, mais
leveza, leveza
,, ,
é, ser
mais, mais
bela, belo
", "
,, ,
opina, opinar
o, o
técnico, técnico
Carlos, Carlos
Alberto, Alberto
Parreira, Parreira
., .
No, em o
ambiente, ambiente
descontraído, descontrair
do, de o
lançamento, lançamento
da, de o
camisa, camisa
,, ,
ele, ele
prometeu, prometer
que, que
a, o
camisa, camisa
deve, dever
ser, ser
mudada, mudar
depois, depois
da, de o
Copa, copa
com, com
a, o
inclusão, inclusão
de, de
mais, mais
uma, um
estrela, estrela
para, para
representar, representar
o, o
tetracampeonato, tetracampeonato
., .
A, o
seleção, seleção
levará, levar
400, 400
camisas, camisa
na, em o
delegação, delegação
que, que
vai, ir
ao, a o
Mundial, Mundial
dos, de o
Estados, Estados
Unidos, Unidos
., .
No, em o
Brasil, Brasil
,, ,
elas, ele
serão, ser
vendidas, vender
nas, em o
lojas, loja
por, por
cerca, cerca
de, de
US$, US$
35, 35
(, (
cerca, cerca
de, de
CR$, CR$
15, 15
mil, mil
), )
., .

, 

A, o
empresa, empresa
prevê, prever
faturamento, faturamento
mínimo, mínimo
de, de
US$, US$
5, 5
milhões, milhão
este, este
ano, ano
com, com
a, o
venda, venda
das, de o
camisas, camisa
oficias, oficio
e, e
de, de
camisetas, camiseta
com, com
motivos, motivo
da, de o
seleção, seleção
., .
O, o
contrato, contrato
de, de
quatro, quatro
anos, ano
com, com
a, o
CBF, CBF
termina, terminar
no, em o
fim, fim
do, de o
ano, ano
., .
O, o
valor, valor
,, ,
não, não
confirmado, confirmar
oficialmente, oficialmente
,, ,
é, ser
de, de
US$, US$
4, 4
milhões, milhão
no, em o
total, total
,, ,
entre, entre
dinheiro, dinheiro
,, ,
material, material
de, de
treinamento, treinamento
e, e
de, de
jogos, jogo
., .

, 

Agora, agora
cada, cada
meia, meia
branca, branco
tem, ter
dois, dois
escudos, escudo
da, de o
CBF, CBF
., .
O, o
calção, calção
,, ,
azul, azul
,, ,
mostra, mostrar
o, o
escudo, escudo
no, em o
lado, lado
direito, direito
e, e
o, o
nome, nome
do, de o
fabricante, fabricante
no, em o
esquerdo, esquerdo
., .
Sobre, sobre
o, o
número, número
da, de o
camisa, camisa
,, ,
atrás, atrás
,, ,
será, ser
escrito, escrever
o, o
nome, nome
do, de o
jogador, jogador
., .
O, o
uniforme, uniforme
número, número
2, 2
,, ,
com, com
camisa, camisa
azul, azul
,, ,
permanece, permanecer
o, o
mesmo, mesmo
., .

, 

O, o
novo, novo
tecido, tecido
utilizado, utilizar
na, em o
camisa, camisa
é, ser
poliéster, poliéster
em, em
jacquard, jacquard
diagonal, diagonal
., .
O, o
antigo, antigo
era, ser
produzido, produzir
com, com
linhas, linha
horizontais, horizontal
., .
Segundo, segundo
a, a
Umbro, umbro
,, ,
isso, isso
impede, impedir
que, que
fique, ficar
muito, muito
mais, mais
pesado, pesado
com, com
o, o
suor, suor
dos, de o
jogadores, jogador
., .
Não, não
foram, ser
fornecidas, fornecer
informações, informação
sobre, sobre
o, o
peso, peso
da, de o
antiga, antigo
camisa, camisa
e, e
da, de o
nova, novo
antes, antes
e, e
depois, depois
dos, de o
jogos.(Mário, jogos.(Mário
Magalhães, Magalhães
), )

, 

